TABLE_CATALOG,TABLE_SCHEMA,TABLE_NAME,TABLE_TYPE
20201227_ConvertCenter,dbo,ELS_AddPointLog_BatchGold_SelectLog,BASE TABLE
20201227_ConvertCenter,dbo,ELS_GetPoint_Log,BASE TABLE
20201227_ConvertCenter,dbo,ExchangeGash_Log_test,BASE TABLE
20201227_ConvertCenter,dbo,SystemError_Log,BASE TABLE
20201227_ConvertCenter,dbo,ELSGamePoint,BASE TABLE
20201227_ConvertCenter,dbo,ELS_GameType,BASE TABLE
20201227_ConvertCenter,dbo,ELS_Itemlist,BASE TABLE
20201227_ConvertCenter,dbo,ELS_ChangeLog,BASE TABLE
20201227_ConvertCenter,dbo,ELSTransLog,BASE TABLE
20201227_ConvertCenter,dbo,ELS_LoginLog,BASE TABLE
20201227_ConvertCenter,dbo,Card_Log,BASE TABLE
20201227_ConvertCenter,dbo,Card_Table,BASE TABLE
20201227_ConvertCenter,dbo,ELSGamePoint_bak20160324,BASE TABLE
20201227_ConvertCenter,dbo,Card_Create,BASE TABLE
20201227_ConvertCenter,dbo,AccountID_Info_bak20160324,BASE TABLE
20201227_ConvertCenter,dbo,EventItemCode_List,BASE TABLE
20201227_ConvertCenter,dbo,ELS_TestAccountid,BASE TABLE
20201227_ConvertCenter,dbo,ConvertCenterItemList,VIEW
20201227_ConvertCenter,dbo,EST_AddPointLog,BASE TABLE
20201227_ConvertCenter,dbo,CardEvent_18,BASE TABLE
20201227_ConvertCenter,dbo,EST_AddPointApply,BASE TABLE
20201227_ConvertCenter,dbo,CardEvent_17,BASE TABLE
20201227_ConvertCenter,dbo,Card_Event_List,BASE TABLE
20201227_ConvertCenter,dbo,ExchangeGash_Log,BASE TABLE
20201227_ConvertCenter,dbo,CardEvent_18_II,BASE TABLE
20201227_ConvertCenter,dbo,Event_List,BASE TABLE
20201227_ConvertCenter,dbo,ELSTransLogTest,BASE TABLE
20201227_ConvertCenter,dbo,EST_AddPointLog_BatchGold,BASE TABLE
20201227_ConvertCenter,dbo,ELS_Product,BASE TABLE
20201227_ConvertCenter,dbo,ExchangeGash_Log_ELS,BASE TABLE
20201227_ConvertCenter,dbo,ELSGamePoint_EventToPoint,BASE TABLE
20201227_ConvertCenter,dbo,AccountID_Info,BASE TABLE
20201227_ConvertCenter,dbo,EST_MinusPointLog,BASE TABLE
20201227_ConvertCenter,dbo,ELSAddGPoint_Log,BASE TABLE
20201227_ConvertCenter,dbo,ELSGamePointTest,BASE TABLE
20201227_ConvertCenter,dbo,ELS_AddPointLog_BatchGold,BASE TABLE
20201227_ConvertCenter,dbo,ELSMember,BASE TABLE
20201227_ConvertCenter,dbo,TEMP_TransLog_Package,BASE TABLE
20201227_ConvertCenter,dbo,ELSGamePoint_20120503BK,BASE TABLE
