schemaname,tablename,rowcounts,totalspacemb,usedspacemb,unusedspacemb
dbo,CardEvent_18,1745,0,0,0
dbo,CardEvent_18_II,1545,0,0,0
dbo,ELS_AddPointLog_BatchGold,436,0,0,0
dbo,ELS_AddPointLog_BatchGold_SelectLog,292,0,0,0
dbo,ELS_ChangeLog,0,0,0,0
dbo,ELS_GameType,0,0,0,0
dbo,ELS_GetPoint_Log,0,0,0,0
dbo,ELS_Itemlist,0,0,0,0
dbo,ELS_LoginLog,0,0,0,0
dbo,ELS_Product,9,0,0,0
dbo,ELS_TestAccountid,0,0,0,0
dbo,Card_Event_List,70,0,0,0
dbo,ELSGamePoint_EventToPoint,4,0,0,0
dbo,ELSGamePointTest,4,0,0,0
dbo,ELSMember,0,0,0,0
dbo,ELSTransLogTest,21,0,0,0
dbo,EST_AddPointApply,66,0,0,0
dbo,EST_AddPointLog,1120,0,0,0
dbo,EST_MinusPointLog,8,0,0,0
dbo,Event_List,123,0,0,0
dbo,EventItemCode_List,2120,0,0,0
dbo,TEMP_TransLog_Package,149,0,0,0
dbo,ExchangeGash_Log_test,23969,2,2,0
dbo,CardEvent_17,90400,4,4,0
dbo,AccountID_Info_bak20160324,243720,17,17,0
dbo,AccountID_Info,248928,32,29,2
dbo,Card_Log,453044,70,68,2
dbo,SystemError_Log,330333,86,80,5
dbo,EST_AddPointLog_BatchGold,306751,104,102,1
dbo,ELSGamePoint_20120503BK,1631510,130,130,0
dbo,ELSGamePoint_bak20160324,2698229,230,230,0
dbo,Card_Create,4002218,445,444,0
dbo,Card_Table,4001974,460,460,0
dbo,ELSAddGPoint_Log,3072568,670,669,1
dbo,ELSGamePoint,3382236,687,676,11
dbo,ExchangeGash_Log,3035109,857,840,17
dbo,ExchangeGash_Log_ELS,15687355,6563,6562,0
dbo,ELSTransLog,31487088,13659,13655,4
