TABLE_CATALOG,TABLE_SCHEMA,TABLE_NAME,COLUMN_NAME,ORDINAL_POSITION,COLUMN_DEFAULT,IS_NULLABLE,DATA_TYPE,CHARACTER_MAXIMUM_LENGTH,CHARACTER_OCTET_LENGTH,NUMERIC_PRECISION,NUMERIC_PRECISION_RADIX,NUMERIC_SCALE,DATETIME_PRECISION,CHARACTER_SET_CATALOG,CHARACTER_SET_SCHEMA,CHARACTER_SET_NAME,COLLATION_CATALOG,COLLATION_SCHEMA,COLLATION_NAME,DOMAIN_CATALOG,DOMAIN_SCHEMA,DOMAIN_NAME
20201227_Game01,dbo,GPost_Period,PostNo,1,,NO,bigint,,,19.0,10.0,0.0,,,,,,,,,,
20201227_Game01,dbo,GPost_Period,Period,2,,YES,tinyint,,,3.0,10.0,0.0,,,,,,,,,,
20201227_Game01,dbo,GEVent_New,UserUID,1,,NO,int,,,10.0,10.0,0.0,,,,,,,,,,
20201227_Game01,dbo,GEVent_New,UnitUID,2,,YES,bigint,,,19.0,10.0,0.0,,,,,,,,,,
20201227_Game01,dbo,GEVent_New,RegDate,3,,YES,smalldatetime,,,,,,0.0,,,,,,,,,
20201227_Game01,dbo,GItem_Log_MonthlyLog_201504,ItemUID,1,,NO,bigint,,,19.0,10.0,0.0,,,,,,,,,,
20201227_Game01,dbo,GItem_Log_MonthlyLog_201504,UnitUID,2,,NO,bigint,,,19.0,10.0,0.0,,,,,,,,,,
20201227_Game01,dbo,GItem_Log_MonthlyLog_201504,ItemID,3,,NO,int,,,10.0,10.0,0.0,,,,,,,,,,
20201227_Game01,dbo,GItem_Log_MonthlyLog_201504,InventoryCategory,4,,NO,tinyint,,,3.0,10.0,0.0,,,,,,,,,,
20201227_Game01,dbo,GItem_Log_MonthlyLog_201504,SlotID,5,,NO,tinyint,,,3.0,10.0,0.0,,,,,,,,,,
20201227_Game01,dbo,GItem_Log_MonthlyLog_201504,UsageType,6,,NO,tinyint,,,3.0,10.0,0.0,,,,,,,,,,
20201227_Game01,dbo,GItem_Log_MonthlyLog_201504,Quantity,7,,NO,int,,,10.0,10.0,0.0,,,,,,,,,,
20201227_Game01,dbo,GItem_Log_MonthlyLog_201504,Endurance,8,,NO,int,,,10.0,10.0,0.0,,,,,,,,,,
20201227_Game01,dbo,GItem_Log_MonthlyLog_201504,RegDate,9,,NO,smalldatetime,,,,,,0.0,,,,,,,,,
20201227_Game01,dbo,GItem_Log_MonthlyLog_201504,DelDate,10,,NO,datetime,,,,,,3.0,,,,,,,,,
20201227_Game01,dbo,GItem_Log_MonthlyLog_201504,Deleted,11,,NO,tinyint,,,3.0,10.0,0.0,,,,,,,,,,
