type,layers,gamename,startdate,enddate,parenthivedb,parentdbname,parenttablename,parentcolumnname,orihivedb,oridbname,oritablename,oricolumnname,hivedb,dbname,tablename,columnname,logstartdate,logenddate,dtbeforeday,dtafterday,logfilename,log,sql,memo,memo2
all,1,els,2019-12-01,,,,,,all,game01,datadigrationtime,,extract,game01,datadigrationtime,,,,,,,,,尚未確定(0M),
all,1,els,2019-12-01,,,,,,all,game01,escountrycode,,extract,game01,escountrycode,,,,,,,,,尚未確定(0M),
all,1,els,2019-12-01,,,,,,all,game01,gadvertisementevent,,extract,game01,gadvertisementevent,,,,,,,,,尚未確定(0M),
all,1,els,2019-12-01,,,,,,all,game01,gbase_item,,extract,game01,gbase_item,,,,,,,,,尚未確定(0M),
all,1,els,2019-12-01,,,,,,all,game01,gblacklist,,extract,game01,gblacklist,,,,,,,,,尚未確定(大於1M),
all,1,els,2019-12-01,,,,,,all,game01,gcashchain,,extract,game01,gcashchain,,,,,,,,,尚未確定(0M),
all,1,els,2019-12-01,,,,,,all,game01,gcbteventdata_item,,extract,game01,gcbteventdata_item,,,,,,,,,尚未確定(0M),
all,1,els,2019-12-01,,,,,,all,game01,gcbteventdata_nickname,,extract,game01,gcbteventdata_nickname,,,,,,,,,尚未確定(0M),
all,1,els,2019-12-01,,,,,,all,game01,gcomeback,,extract,game01,gcomeback,,,,,,,,,尚未確定(0M),
all,1,els,2019-12-01,,,,,,all,game01,gcoreskillslotsize,,extract,game01,gcoreskillslotsize,,,,,,,,,尚未確定(0M),
all,1,els,2019-12-01,,,,,,all,game01,gcouple_weddinginfo,,extract,game01,gcouple_weddinginfo,,,,,,,,,尚未確定(大於1M),
all,1,els,2019-12-01,,,,,,all,game01,gcouple_weddinginvitation,,extract,game01,gcouple_weddinginvitation,,,,,,,,,尚未確定(大於1M),
all,1,els,2019-12-01,,,,,,all,game01,gcouple_weddinginvitationinfo,,extract,game01,gcouple_weddinginvitationinfo,,,,,,,,,尚未確定(大於1M),
all,1,els,2019-12-01,,,,,,all,game01,gcreateunitcnt,,extract,game01,gcreateunitcnt,,,,,,,,,尚未確定(0M),
all,1,els,2019-12-01,,,,,,all,game01,gdarkgate_lastdate,,extract,game01,gdarkgate_lastdate,,,,,,,,,尚未確定(0M),
all,1,els,2019-12-01,,,,,,all,game01,gdeletednickname,,extract,game01,gdeletednickname,,,,,,,,,尚未確定(0M),
all,1,els,2019-12-01,,,,,,all,game01,gdenycode,,extract,game01,gdenycode,,,,,,,,,尚未確定(0M),
all,1,els,2019-12-01,,,,,,all,game01,gdungeoncode,,extract,game01,gdungeoncode,,,,,,,,,副本相關(0M),
all,1,els,2019-12-01,,,,,,all,game01,gdungeoninfo,,extract,game01,gdungeoninfo,,,,,,,,,副本相關(0M),
all,1,els,2019-12-01,,,,,,all,game01,gelresonanceskillexpand,,extract,game01,gelresonanceskillexpand,,,,,,,,,尚未確定(0M),
all,1,els,2019-12-01,,,,,,all,game01,gequipitemexpand,,extract,game01,gequipitemexpand,,,,,,,,,尚未確定(0M),
all,1,els,2019-12-01,,,,,,all,game01,get_el_info,,extract,game01,get_el_info,,,,,,,,,尚未確定(0M),
all,1,els,2019-12-01,,,,,,all,game01,get_super_el_info,,extract,game01,get_super_el_info,,,,,,,,,尚未確定(0M),
all,1,els,2019-12-01,,,,,,all,game01,gevent3vs3pvpdata,,extract,game01,gevent3vs3pvpdata,,,,,,,,,尚未確定(0M),
all,1,els,2019-12-01,,,,,,all,game01,gevent_angelcoin,,extract,game01,gevent_angelcoin,,,,,,,,,尚未確定(0M),
all,1,els,2019-12-01,,,,,,all,game01,gevent_bloodbrother_110811,,extract,game01,gevent_bloodbrother_110811,,,,,,,,,尚未確定(0M),
all,1,els,2019-12-01,,,,,,all,game01,gevent_charmitem,,extract,game01,gevent_charmitem,,,,,,,,,尚未確定(0M),
all,1,els,2019-12-01,,,,,,all,game01,gevent_chung_0428,,extract,game01,gevent_chung_0428,,,,,,,,,尚未確定(0M),
all,1,els,2019-12-01,,,,,,all,game01,gevent_couple,,extract,game01,gevent_couple,,,,,,,,,尚未確定(0M),
all,1,els,2019-12-01,,,,,,all,game01,gevent_dungeon_point,,extract,game01,gevent_dungeon_point,,,,,,,,,尚未確定(0M),
