TABLE_CATALOG,TABLE_SCHEMA,TABLE_NAME,TABLE_TYPE
20201227_Game01,dbo,GPost_Period,BASE TABLE
20201227_Game01,dbo,GEVent_New,BASE TABLE
20201227_Game01,dbo,GItem_Log_MonthlyLog_201504,BASE TABLE
20201227_Game01,dbo,GItem_Log_MonthlyLog_201809,BASE TABLE
20201227_Game01,dbo,GItem_Log,BASE TABLE
20201227_Game01,dbo,GPost_Log_MonthlyLog_202004,BASE TABLE
20201227_Game01,dbo,GItem_60006351,BASE TABLE
20201227_Game01,dbo,GPost_Log_MonthlyLog_201612,BASE TABLE
20201227_Game01,dbo,Gunit_OLD,BASE TABLE
20201227_Game01,dbo,GEvent_Stone110,BASE TABLE
20201227_Game01,dbo,GItemLock,BASE TABLE
20201227_Game01,dbo,GPost_Log_MonthlyLog_201504,BASE TABLE
20201227_Game01,dbo,TempItemList,BASE TABLE
20201227_Game01,dbo,GPost_Log_MonthlyLog_201809,BASE TABLE
20201227_Game01,dbo,GRank_Arcade,BASE TABLE
20201227_Game01,dbo,GPost_Log,BASE TABLE
20201227_Game01,dbo,GNote,BASE TABLE
20201227_Game01,dbo,GRank_Star,BASE TABLE
20201227_Game01,dbo,GGuild_SendPost,BASE TABLE
20201227_Game01,dbo,GItem_Log_MonthlyLog_201805,BASE TABLE
20201227_Game01,dbo,GUnitPVP_Season4_20160819,BASE TABLE
20201227_Game01,dbo,GItem_Log_MonthlyLog_201708,BASE TABLE
20201227_Game01,dbo,GItem_Log_MonthlyLog_201510,BASE TABLE
20201227_Game01,dbo,GEvent_TimeSpace_Point,BASE TABLE
20201227_Game01,dbo,TempItemLogList,BASE TABLE
20201227_Game01,dbo,vGItemEquippedList,VIEW
20201227_Game01,dbo,GNote_PageCNT,BASE TABLE
20201227_Game01,dbo,TempItemListAfter,BASE TABLE
20201227_Game01,dbo,vGUnitPVP_Season3,VIEW
20201227_Game01,dbo,GPost_Log_MonthlyLog_201805,BASE TABLE
20201227_Game01,dbo,GPost_Log_MonthlyLog_201708,BASE TABLE
20201227_Game01,dbo,GItem_Log_MonthlyLog_202005,BASE TABLE
20201227_Game01,dbo,GEvent3vs3PVPData,BASE TABLE
20201227_Game01,dbo,GItem_Log_MonthlyLog_201505,BASE TABLE
20201227_Game01,dbo,GBossRaidUnitRecord,BASE TABLE
20201227_Game01,dbo,GUnitPVP_Season3,BASE TABLE
20201227_Game01,dbo,GUser_20181206,BASE TABLE
20201227_Game01,dbo,GPost_Log_MonthlyLog_202005,BASE TABLE
20201227_Game01,dbo,GEventCBT,BASE TABLE
20201227_Game01,dbo,GPost_Log_MonthlyLog_201505,BASE TABLE
20201227_Game01,dbo,GHousingInfo,BASE TABLE
20201227_Game01,dbo,GSkill_Expand,BASE TABLE
20201227_Game01,dbo,GEquipItemExpand,BASE TABLE
20201227_Game01,dbo,vGUserBankItem,VIEW
20201227_Game01,dbo,GItem_Log_MonthlyLog_201709,BASE TABLE
20201227_Game01,dbo,GEventEveLimit,BASE TABLE
20201227_Game01,dbo,GItem_Log_MonthlyLog_201601,BASE TABLE
20201227_Game01,dbo,GItemCode,BASE TABLE
20201227_Game01,dbo,GHousingStructure,BASE TABLE
20201227_Game01,dbo,GPost_Log_MonthlyLog_201709,BASE TABLE
20201227_Game01,dbo,GHousingSpecialStructure,BASE TABLE
20201227_Game01,dbo,Tool_Log,BASE TABLE
20201227_Game01,dbo,GItem_Log_MonthlyLog_201506,BASE TABLE
20201227_Game01,dbo,GPost_Log_MonthlyLog_201601,BASE TABLE
20201227_Game01,dbo,GDungeonCode,BASE TABLE
20201227_Game01,dbo,GTutor,BASE TABLE
20201227_Game01,dbo,vGGuild_Create,VIEW
20201227_Game01,dbo,GItem_Log_MonthlyLog_201906,BASE TABLE
20201227_Game01,dbo,GUnit_ED,BASE TABLE
20201227_Game01,dbo,GSkill_Unsealed_Return,BASE TABLE
20201227_Game01,dbo,GDungeonClear,BASE TABLE
20201227_Game01,dbo,GPost_Log_MonthlyLog_201506,BASE TABLE
20201227_Game01,dbo,GEventDungeonData,BASE TABLE
20201227_Game01,dbo,GItem_Log_MonthlyLog_202009,BASE TABLE
20201227_Game01,dbo,GPost_Log_MonthlyLog_201906,BASE TABLE
20201227_Game01,dbo,vGItem_Log_MonthlyLog_All,VIEW
20201227_Game01,dbo,GPhotoZoneWorld,BASE TABLE
20201227_Game01,dbo,GItem_Log_MonthlyLog_201907,BASE TABLE
20201227_Game01,dbo,GItem_Log_MonthlyLog_201409,BASE TABLE
20201227_Game01,dbo,GPhotoZoneCamera,BASE TABLE
20201227_Game01,dbo,GPost_Log_MonthlyLog_202009,BASE TABLE
20201227_Game01,dbo,GItem_Log_MonthlyLog_201810,BASE TABLE
20201227_Game01,dbo,GEquipItemList,BASE TABLE
20201227_Game01,dbo,GItem_Log_MonthlyLog_201507,BASE TABLE
20201227_Game01,dbo,GPost_Log_MonthlyLog_201907,BASE TABLE
20201227_Game01,dbo,GSkill_Unsealed_20140917,BASE TABLE
20201227_Game01,dbo,GPetSlot,BASE TABLE
20201227_Game01,dbo,GPost_Log_MonthlyLog_201810,BASE TABLE
20201227_Game01,dbo,GItem_Log_MonthlyLog_201608,BASE TABLE
20201227_Game01,dbo,GPetAccompany,BASE TABLE
20201227_Game01,dbo,GPost_Log_MonthlyLog_201507,BASE TABLE
20201227_Game01,dbo,GServerItemQuantityTarget,BASE TABLE
20201227_Game01,dbo,GItem_Log_MonthlyLog_201811,BASE TABLE
20201227_Game01,dbo,GPetAccompany_Log,BASE TABLE
20201227_Game01,dbo,GElResonanceSkillPeriod_20180222,BASE TABLE
20201227_Game01,dbo,GPost_Log_MonthlyLog_201608,BASE TABLE
20201227_Game01,dbo,GItem_Log_MonthlyLog_201602,BASE TABLE
20201227_Game01,dbo,GItemSocket_Extract,BASE TABLE
20201227_Game01,dbo,GPetExpedition,BASE TABLE
20201227_Game01,dbo,GServerItemQuantity,BASE TABLE
20201227_Game01,dbo,GUnitPVPTag,BASE TABLE
20201227_Game01,dbo,GPost_Log_MonthlyLog_201811,BASE TABLE
20201227_Game01,dbo,GFriendList,BASE TABLE
20201227_Game01,dbo,GItem_Log_MonthlyLog_201408,BASE TABLE
20201227_Game01,dbo,GPetExpedition_Log,BASE TABLE
20201227_Game01,dbo,GGuild_Skill,BASE TABLE
20201227_Game01,dbo,GDenyCode,BASE TABLE
20201227_Game01,dbo,GTitle_Bookmark,BASE TABLE
20201227_Game01,dbo,GPost_Log_MonthlyLog_201602,BASE TABLE
20201227_Game01,dbo,GPost_Socket_Extract,BASE TABLE
20201227_Game01,dbo,GPetExpeditionMission,BASE TABLE
20201227_Game01,dbo,vGServerItemQuantity,VIEW
20201227_Game01,dbo,GGuild_SkillPoint,BASE TABLE
20201227_Game01,dbo,GUnitSpendSpirit,BASE TABLE
20201227_Game01,dbo,GFriendRecommendMother,BASE TABLE
20201227_Game01,dbo,GFriendRecommendDaughter,BASE TABLE
20201227_Game01,dbo,GItem_Log_MonthlyLog_202006,BASE TABLE
20201227_Game01,dbo,GUnit_EXP_20150617_624027,BASE TABLE
20201227_Game01,dbo,GFriendRecommendDaughter_Log,BASE TABLE
20201227_Game01,dbo,GItemEnchant,BASE TABLE
20201227_Game01,dbo,GItem_Log_MonthlyLog_201508,BASE TABLE
20201227_Game01,dbo,GItem_Log_MonthlyLog_201806,BASE TABLE
20201227_Game01,dbo,GFriendRecommendFriendshipPoint,BASE TABLE
20201227_Game01,dbo,GResurrectionStone,BASE TABLE
20201227_Game01,dbo,GItemPeriod,BASE TABLE
20201227_Game01,dbo,GPost_Log_MonthlyLog_202006,BASE TABLE
20201227_Game01,dbo,GItem_Log_MonthlyLog_201410,BASE TABLE
20201227_Game01,dbo,GFriendRecommendFriendshipPoint_Log,BASE TABLE
20201227_Game01,dbo,GItemSocket,BASE TABLE
20201227_Game01,dbo,GPost_Log_MonthlyLog_201508,BASE TABLE
20201227_Game01,dbo,GItem_Log_MonthlyLog_201609,BASE TABLE
20201227_Game01,dbo,GPost_Log_MonthlyLog_201806,BASE TABLE
20201227_Game01,dbo,GItemSocket_Random,BASE TABLE
20201227_Game01,dbo,GSpirit,BASE TABLE
20201227_Game01,dbo,GItem_Log_MonthlyLog_201710,BASE TABLE
20201227_Game01,dbo,GBankShare,BASE TABLE
20201227_Game01,dbo,GItem_Log_MonthlyLog_201411,BASE TABLE
20201227_Game01,dbo,GPost_Log_MonthlyLog_201609,BASE TABLE
20201227_Game01,dbo,GPost_Socket_Random_old,BASE TABLE
20201227_Game01,dbo,GPost_Log_MonthlyLog_201710,BASE TABLE
20201227_Game01,dbo,GSkillSlot3_New_20171130,BASE TABLE
20201227_Game01,dbo,GGuild_Dungeon,BASE TABLE
20201227_Game01,dbo,jerry_accountlist,BASE TABLE
20201227_Game01,dbo,GEvent_UserRecord,BASE TABLE
20201227_Game01,dbo,GGuild_Dungeon_First,BASE TABLE
20201227_Game01,dbo,GItemAttribute,BASE TABLE
20201227_Game01,dbo,GItem_Log_MonthlyLog_201711,BASE TABLE
20201227_Game01,dbo,GPost_Attribute,BASE TABLE
20201227_Game01,dbo,GGuild_Quest,BASE TABLE
20201227_Game01,dbo,GUnitPVEWeeklyStarRanker,BASE TABLE
20201227_Game01,dbo,GRank_GuildDungeon,BASE TABLE
20201227_Game01,dbo,GDenyOption,BASE TABLE
20201227_Game01,dbo,GPost_Enchant,BASE TABLE
20201227_Game01,dbo,GGuild_Dungeon_WeekReward,BASE TABLE
20201227_Game01,dbo,GPost_Script_Log,BASE TABLE
20201227_Game01,dbo,GPost_Log_MonthlyLog_201711,BASE TABLE
20201227_Game01,dbo,GPost_Seal,BASE TABLE
20201227_Game01,dbo,GGuild_Quest_Join,BASE TABLE
20201227_Game01,dbo,GItem_Log_MonthlyLog_201603,BASE TABLE
20201227_Game01,dbo,GCoreSkill,BASE TABLE
20201227_Game01,dbo,GPost_Socket,BASE TABLE
20201227_Game01,dbo,GGuild_Quest_Log,BASE TABLE
20201227_Game01,dbo,GFriendSystem_UnitInfo,BASE TABLE
20201227_Game01,dbo,GQuestCode,BASE TABLE
20201227_Game01,dbo,GCoreSkillEquip,BASE TABLE
20201227_Game01,dbo,GPost_Socket_Random,BASE TABLE
20201227_Game01,dbo,GGuild_Quest_Log_Repeat,BASE TABLE
20201227_Game01,dbo,GItem_Log_MonthlyLog_201908,BASE TABLE
20201227_Game01,dbo,GGuild_Skin,BASE TABLE
20201227_Game01,dbo,GPost_Log_MonthlyLog_201603,BASE TABLE
20201227_Game01,dbo,GCoreSkillSlot,BASE TABLE
20201227_Game01,dbo,GFriendSystem_LastReset,BASE TABLE
20201227_Game01,dbo,GQuests_Complete,BASE TABLE
20201227_Game01,dbo,GCoreSkillSlotSize,BASE TABLE
20201227_Game01,dbo,GUnitClassChangeStage,BASE TABLE
20201227_Game01,dbo,GPost_Log_MonthlyLog_201908,BASE TABLE
20201227_Game01,dbo,GPShopInfo_ExpirationDate,BASE TABLE
20201227_Game01,dbo,GItem_Log_MonthlyLog_201412,BASE TABLE
20201227_Game01,dbo,Rank_SpaceTime_Week,BASE TABLE
20201227_Game01,dbo,GTitle_Mission,BASE TABLE
20201227_Game01,dbo,GQuests,BASE TABLE
20201227_Game01,dbo,GGuild_Emblem,BASE TABLE
20201227_Game01,dbo,GPVPBalanceEvent,BASE TABLE
20201227_Game01,dbo,GPost,BASE TABLE
20201227_Game01,dbo,Rank_SpaceTime_Month,BASE TABLE
20201227_Game01,dbo,GHenirRankingMyRecord,BASE TABLE
20201227_Game01,dbo,GSkill,BASE TABLE
20201227_Game01,dbo,GQuest_20151021_638845,BASE TABLE
20201227_Game01,dbo,Rank_SpaceTime_Day,BASE TABLE
20201227_Game01,dbo,GItemSocket_Reforging,BASE TABLE
20201227_Game01,dbo,GSkillCode,BASE TABLE
20201227_Game01,dbo,GPetNameChangeLog,BASE TABLE
20201227_Game01,dbo,GSkillSlot2,BASE TABLE
20201227_Game01,dbo,GPShopItemSocket,BASE TABLE
20201227_Game01,dbo,GUnitSpaExp,BASE TABLE
20201227_Game01,dbo,GPShopItem,BASE TABLE
20201227_Game01,dbo,ESCountryCode,BASE TABLE
20201227_Game01,dbo,GItem_Log_MonthlyLog_202007,BASE TABLE
20201227_Game01,dbo,LSpecialJobChangeLog,BASE TABLE
20201227_Game01,dbo,GPost_Wedding,BASE TABLE
20201227_Game01,dbo,GSkillSlot,BASE TABLE
20201227_Game01,dbo,GGuild_Bank_20150827,BASE TABLE
20201227_Game01,dbo,GItem_Log_MonthlyLog_201511,BASE TABLE
20201227_Game01,dbo,GPost_Log_MonthlyLog_202007,BASE TABLE
20201227_Game01,dbo,GCouple_Info,BASE TABLE
20201227_Game01,dbo,GPreset,BASE TABLE
20201227_Game01,dbo,GGuild_Bank_Log_20150827,BASE TABLE
20201227_Game01,dbo,Temp_SCL,BASE TABLE
20201227_Game01,dbo,GPet_AutoUseItem,BASE TABLE
20201227_Game01,dbo,GEvent_Jumping,BASE TABLE
20201227_Game01,dbo,GItem_Log_MonthlyLog_201812,BASE TABLE
20201227_Game01,dbo,GUnitDungeonRating,BASE TABLE
20201227_Game01,dbo,GUnit_ED_OLD_20180905,BASE TABLE
