schemaname,tablename,rowcounts,totalspacemb,usedspacemb,unusedspacemb
dbo,_DBTemp,87,0,0,0
dbo,DataDigrationTime,29,0,0,0
dbo,ESCountryCode,1,0,0,0
dbo,GAdvertisementEvent,0,0,0,0
dbo,GBase_Item,137,0,0,0
dbo,GBossRaid2020RankerLog,1509,0,0,0
dbo,GCashChain,622,0,0,0
dbo,GCashChainLog,3231,0,0,0
dbo,GCBTEventData_Item,0,0,0,0
dbo,GCBTEventData_NickName,0,0,0,0
dbo,GBossRaid2018RankerLog,12592,0,0,0
dbo,GCollectionBookSynergyExtend,5008,0,0,0
dbo,GComeBack,0,0,0,0
dbo,GCoreSkillSlotSize,0,0,0,0
dbo,GCreateUnitCnt,0,0,0,0
dbo,GDarkGate_LastDate,0,0,0,0
dbo,GDeletedNickname,0,0,0,0
dbo,GDenyCode,12,0,0,0
dbo,GDungeonCode,132,0,0,0
dbo,GDungeonInfo,0,0,0,0
dbo,GElResonanceSkillExpand,8960,0,0,0
dbo,Get_EL_Info,0,0,0,0
dbo,Get_Super_EL_Info,0,0,0,0
dbo,GEvent_AngelCoin,0,0,0,0
dbo,GEvent_BloodBrother_110811,0,0,0,0
dbo,GEvent_CharmItem,0,0,0,0
dbo,GEVent_Chung_0428,0,0,0,0
dbo,GElResonanceSkillPeriod_20180222,80,0,0,0
dbo,GEquipItemExpand,6791,0,0,0
dbo,GEvent_Couple,2433,0,0,0
dbo,GEvent_Dungeon_Point,0,0,0,0
dbo,GEvent_Letter,0,0,0,0
dbo,GEVent_New,0,0,0,0
dbo,GEvent_SkillDrink,0,0,0,0
dbo,GEvent_Stone110,0,0,0,0
dbo,GEvent_TimeSpace_Point,0,0,0,0
dbo,GEvent_UnitClass,21,0,0,0
dbo,GEvent_UnitLimit,8,0,0,0
dbo,GEvent_Vs_Death,0,0,0,0
dbo,GEvent_Vs_Kill,0,0,0,0
dbo,GEvent_WebPost,0,0,0,0
dbo,GEvent3vs3PVPData,0,0,0,0
dbo,GEventBankShare,0,0,0,0
dbo,GEventCBT,0,0,0,0
dbo,GEventEveBuff,0,0,0,0
