TABLE_CATALOG,TABLE_SCHEMA,TABLE_NAME,COLUMN_NAME,ORDINAL_POSITION,COLUMN_DEFAULT,IS_NULLABLE,DATA_TYPE,CHARACTER_MAXIMUM_LENGTH,CHARACTER_OCTET_LENGTH,NUMERIC_PRECISION,NUMERIC_PRECISION_RADIX,NUMERIC_SCALE,DATETIME_PRECISION,CHARACTER_SET_CATALOG,CHARACTER_SET_SCHEMA,CHARACTER_SET_NAME,COLLATION_CATALOG,COLLATION_SCHEMA,COLLATION_NAME,DOMAIN_CATALOG,DOMAIN_SCHEMA,DOMAIN_NAME
Statistics,dbo,LUnitConnectLog,LogID,1,,NO,bigint,,,19.0,10.0,0.0,,,,,,,,,,
Statistics,dbo,LUnitConnectLog,ServerUID,2,,YES,int,,,10.0,10.0,0.0,,,,,,,,,,
Statistics,dbo,LUnitConnectLog,UnitUID,3,,YES,bigint,,,19.0,10.0,0.0,,,,,,,,,,
Statistics,dbo,LUnitConnectLog,NickName,4,,YES,nvarchar,50.0,100.0,,,,,,,UNICODE,,,SQL_Latin1_General_CP1_CI_AS,,,
Statistics,dbo,LUnitConnectLog,UnitClass,5,,YES,tinyint,,,3.0,10.0,0.0,,,,,,,,,,
Statistics,dbo,LUnitConnectLog,Exp,6,,YES,int,,,10.0,10.0,0.0,,,,,,,,,,
Statistics,dbo,LUnitConnectLog,Level,7,,YES,tinyint,,,3.0,10.0,0.0,,,,,,,,,,
Statistics,dbo,LUnitConnectLog,logintime,8,,YES,datetime,,,,,,3.0,,,,,,,,,
Statistics,dbo,LUnitConnectLog,logouttime,9,,YES,datetime,,,,,,3.0,,,,,,,,,
Statistics,dbo,LUnitConnectLog,PlayTime,10,,YES,int,,,10.0,10.0,0.0,,,,,,,,,,
Statistics,dbo,LUnitConnectLog,PCBangFlag,11,,YES,bit,,,,,,,,,,,,,,,
Statistics,dbo,LUnitConnectLog,AuthLevel,12,,YES,tinyint,,,3.0,10.0,0.0,,,,,,,,,,
Statistics,dbo,LUnitConnectLog,loginLevel,13,,YES,tinyint,,,3.0,10.0,0.0,,,,,,,,,,
Statistics,dbo,LUnitConnectLog,UserUID,14,,YES,bigint,,,19.0,10.0,0.0,,,,,,,,,,
Statistics,dbo,LUnitConnectLog,DisconnectReason,15,,YES,int,,,10.0,10.0,0.0,,,,,,,,,,
