TABLE_CATALOG,TABLE_SCHEMA,TABLE_NAME,COLUMN_NAME,ORDINAL_POSITION,COLUMN_DEFAULT,IS_NULLABLE,DATA_TYPE,CHARACTER_MAXIMUM_LENGTH,CHARACTER_OCTET_LENGTH,NUMERIC_PRECISION,NUMERIC_PRECISION_RADIX,NUMERIC_SCALE,DATETIME_PRECISION,CHARACTER_SET_CATALOG,CHARACTER_SET_SCHEMA,CHARACTER_SET_NAME,COLLATION_CATALOG,COLLATION_SCHEMA,COLLATION_NAME,DOMAIN_CATALOG,DOMAIN_SCHEMA,DOMAIN_NAME
LINWORLD101_20200630,dbo,__temp_account_extra_temp,account,1,,NO,varchar,16.0,16.0,,,,,,,cp950,,,Chinese_Taiwan_Stroke_CI_AS,,,
LINWORLD101_20200630,dbo,__temp_account_extra_temp,extraslot,2,,NO,int,,,10.0,10.0,0.0,,,,,,,,,,
LINWORLD101_20200630,dbo,__temp_account_extra_temp,data,3,,NO,int,,,10.0,10.0,0.0,,,,,,,,,,
LINWORLD101_20200630,dbo,__temp_account_extra_temp,account_id,4,,NO,int,,,10.0,10.0,0.0,,,,,,,,,,
LINWORLD102_20200630,dbo,__temp_account_extra_temp_02,account,1,,NO,varchar,16.0,16.0,,,,,,,cp950,,,Chinese_Taiwan_Stroke_CI_AS,,,
LINWORLD102_20200630,dbo,__temp_account_extra_temp_02,extraslot,2,,NO,int,,,10.0,10.0,0.0,,,,,,,,,,
LINWORLD102_20200630,dbo,__temp_account_extra_temp_02,data,3,,NO,int,,,10.0,10.0,0.0,,,,,,,,,,
LINWORLD102_20200630,dbo,__temp_account_extra_temp_02,account_id,4,,NO,int,,,10.0,10.0,0.0,,,,,,,,,,
LINWORLD101_20200630,dbo,__temp_CharacterSpellDelete_Gunju,user_id,1,,NO,varchar,12.0,12.0,,,,,,,cp950,,,Chinese_Taiwan_Stroke_CI_AS,,,
LINWORLD101_20200630,dbo,__temp_CharacterSpellDelete_Gunju,uid,2,,NO,int,,,10.0,10.0,0.0,,,,,,,,,,
LINWORLD101_20200630,dbo,__temp_CharacterSpellDelete_Gunju,real_account,3,,NO,varchar,12.0,12.0,,,,,,,cp950,,,Chinese_Taiwan_Stroke_CI_AS,,,
LINWORLD101_20200630,dbo,__temp_CharacterSpellDelete_Gunju,account_id,4,,NO,int,,,10.0,10.0,0.0,,,,,,,,,,
LINWORLD101_20200630,dbo,__temp_CharacterSpellDelete_Gunju,class,5,,NO,tinyint,,,3.0,10.0,0.0,,,,,,,,,,
LINWORLD101_20200630,dbo,__temp_CharacterSpellDelete_Gunju,spells,6,,NO,binary,32.0,32.0,,,,,,,,,,,,,
LINWORLD101_20200630,dbo,__temp_CharacterSpellDelete_Gunju,compareSpells,7,,YES,binary,32.0,32.0,,,,,,,,,,,,,
LINWORLD101_20200630,dbo,__temp_CharacterSpellDelete_Gunju,spell_115,8,,YES,tinyint,,,3.0,10.0,0.0,,,,,,,,,,
LINWORLD101_20200630,dbo,__temp_CharacterSpellDelete_Gunju,spell_117,9,,YES,tinyint,,,3.0,10.0,0.0,,,,,,,,,,
LINWORLD101_20200630,dbo,__temp_CharacterSpellDelete_Gunju,itemAmount,10,((0)),NO,int,,,10.0,10.0,0.0,,,,,,,,,,
LINWORLD101_20200630,dbo,__temp_CharacterSpellDelete_Han,user_id,1,,NO,varchar,12.0,12.0,,,,,,,cp950,,,Chinese_Taiwan_Stroke_CI_AS,,,
LINWORLD101_20200630,dbo,__temp_CharacterSpellDelete_Han,uid,2,,NO,int,,,10.0,10.0,0.0,,,,,,,,,,
LINWORLD101_20200630,dbo,__temp_CharacterSpellDelete_Han,real_account,3,,NO,varchar,12.0,12.0,,,,,,,cp950,,,Chinese_Taiwan_Stroke_CI_AS,,,
LINWORLD101_20200630,dbo,__temp_CharacterSpellDelete_Han,account_id,4,,NO,int,,,10.0,10.0,0.0,,,,,,,,,,
LINWORLD101_20200630,dbo,__temp_CharacterSpellDelete_Han,class,5,,NO,tinyint,,,3.0,10.0,0.0,,,,,,,,,,
LINWORLD101_20200630,dbo,__temp_CharacterSpellDelete_Han,spells,6,,NO,binary,32.0,32.0,,,,,,,,,,,,,
LINWORLD101_20200630,dbo,__temp_CharacterSpellDelete_Han,compareSpells,7,,YES,binary,32.0,32.0,,,,,,,,,,,,,
LINWORLD101_20200630,dbo,__temp_CharacterSpellDelete_Han,spell_107,8,,YES,tinyint,,,3.0,10.0,0.0,,,,,,,,,,
LINWORLD101_20200630,dbo,__temp_CharacterSpellDelete_Han,spell_137,9,,YES,tinyint,,,3.0,10.0,0.0,,,,,,,,,,
LINWORLD101_20200630,dbo,__temp_del_bookmark_20151002,user_id,1,,NO,varchar,12.0,12.0,,,,,,,cp950,,,Chinese_Taiwan_Stroke_CI_AS,,,
LINWORLD101_20200630,dbo,__temp_del_bookmark_20151002,bookmark,2,,NO,varchar,30.0,30.0,,,,,,,cp950,,,Chinese_Taiwan_Stroke_CI_AS,,,
LINWORLD101_20200630,dbo,__temp_del_bookmark_20151002,world,3,,NO,smallint,,,5.0,10.0,0.0,,,,,,,,,,
LINWORLD101_20200630,dbo,__temp_del_bookmark_20151002,x,4,,NO,smallint,,,5.0,10.0,0.0,,,,,,,,,,
LINWORLD101_20200630,dbo,__temp_del_bookmark_20151002,y,5,,NO,smallint,,,5.0,10.0,0.0,,,,,,,,,,
LINWORLD101_20200630,dbo,__temp_del_bookmark_20151002,uid,6,,NO,int,,,10.0,10.0,0.0,,,,,,,,,,
LINWORLD101_20200630,dbo,__temp_del_bookmark_20151002,id,7,,NO,int,,,10.0,10.0,0.0,,,,,,,,,,
