TABLE_CATALOG,TABLE_SCHEMA,TABLE_NAME,TABLE_TYPE
LINWORLD101_20200630,dbo,__temp_account_extra_temp,BASE TABLE
LINWORLD102_20200630,dbo,__temp_account_extra_temp_02,BASE TABLE
LINWORLD101_20200630,dbo,__temp_CharacterSpellDelete_Gunju,BASE TABLE
LINWORLD101_20200630,dbo,__temp_CharacterSpellDelete_Han,BASE TABLE
LINWORLD101_20200630,dbo,__temp_del_bookmark_20151002,BASE TABLE
LINWORLD101_20200630,dbo,__temp_del_bookmark_20170504,BASE TABLE
LINWORLD101_20200630,dbo,__temp_del_bookmark_20171108,BASE TABLE
LINWORLD101_20200630,dbo,__temp_del_bookmark_20180103,BASE TABLE
LINWORLD101_20200630,dbo,__temp_F2PExpList,BASE TABLE
LINWORLD101_20200630,dbo,__temp_MonthExpList,BASE TABLE
LINWORLD101_20200630,dbo,__temp_time_overflow_user_item,BASE TABLE
LINWORLD101_20200630,dbo,__temp_user_data_exp_adjust,BASE TABLE
LINWORLD101_20200630,dbo,__temp_user_item_change_spellbook_Gunju,BASE TABLE
LINWORLD101_20200630,dbo,__temp_user_item_WandCallLightning,BASE TABLE
LINWORLD101_20200630,dbo,__temp_user_item_weddingRing,BASE TABLE
LINWORLD101_20200630,dbo,__tempTimeOverflowItemList_TWN,BASE TABLE
LINWORLD101_20200630,dbo,__user_item_craft_item_20181031,BASE TABLE
LINWORLD101_20200630,dbo,__user_Slots,BASE TABLE
LINWORLD101_20200630,dbo,_indexshift,BASE TABLE
LINWORLD101_20200630,dbo,_indexshift_2nd,BASE TABLE
LINWORLD101_20200630,dbo,_process,BASE TABLE
LINWORLD101_20200630,dbo,_process_2nd,BASE TABLE
LINWORLD101_20200630,dbo,_temp_tencent_bm,BASE TABLE
LINWORLD101_20200630,dbo,_temp_tencent_bm_101,BASE TABLE
LINWORLD102_20200630,dbo,_temp_tencent_bm_102,BASE TABLE
LINWORLD102_20200630,dbo,_temp_tencent_bm_102_202005,BASE TABLE
LINWORLD123_20200630,dbo,_temp_tencent_bm_123,BASE TABLE
LINWORLD101_20200630,dbo,Account_Contents_Data,BASE TABLE
LINWORLD101_20200630,dbo,account_extra,BASE TABLE
LINWORLD101_20200630,dbo,achievement_completed_achievement,BASE TABLE
LINWORLD101_20200630,dbo,achievement_criteria_progress,BASE TABLE
LINWORLD101_20200630,dbo,admin_ranking,BASE TABLE
LINWORLD101_20200630,dbo,agit,BASE TABLE
LINWORLD101_20200630,dbo,agit_giran,BASE TABLE
LINWORLD101_20200630,dbo,alliance,BASE TABLE
LINWORLD101_20200630,dbo,ArcaActivation,BASE TABLE
LINWORLD101_20200630,dbo,ArenaUser,BASE TABLE
LINWORLD101_20200630,dbo,backup_agit,BASE TABLE
LINWORLD101_20200630,dbo,bbs,BASE TABLE
LINWORLD101_20200630,dbo,bbs_burned,BASE TABLE
LINWORLD101_20200630,dbo,bbs_cgiran,BASE TABLE
LINWORLD101_20200630,dbo,bbs_ckent,BASE TABLE
LINWORLD101_20200630,dbo,bbs_corc,BASE TABLE
LINWORLD101_20200630,dbo,bbs_cwinda,BASE TABLE
LINWORLD101_20200630,dbo,bbs_elven,BASE TABLE
LINWORLD101_20200630,dbo,blood_pledge,BASE TABLE
LINWORLD101_20200630,dbo,blood_pledge_join,BASE TABLE
LINWORLD101_20200630,dbo,blood_pledge_rest_exp_reduce_effciency,BASE TABLE
LINWORLD101_20200630,dbo,booking_data,BASE TABLE
LINWORLD101_20200630,dbo,bookmark,BASE TABLE
LINWORLD101_20200630,dbo,bookmark_store,BASE TABLE
LINWORLD101_20200630,dbo,castle,BASE TABLE
LINWORLD101_20200630,dbo,castle_npc,BASE TABLE
LINWORLD101_20200630,dbo,char_change,BASE TABLE
LINWORLD101_20200630,dbo,char_name_change,BASE TABLE
LINWORLD102_20200630,dbo,char_name_change_201701,BASE TABLE
LINWORLD101_20200630,dbo,char_name_change_202005,BASE TABLE
LINWORLD101_20200630,dbo,cn_rank_adena,BASE TABLE
LINWORLD101_20200630,dbo,cn_rank_character,BASE TABLE
LINWORLD101_20200630,dbo,cn_rank_item_enchant,BASE TABLE
LINWORLD101_20200630,dbo,cn_rank_payment,BASE TABLE
LINWORLD101_20200630,dbo,cn_rank_pk,BASE TABLE
LINWORLD101_20200630,dbo,cn_rank_pledge,BASE TABLE
LINWORLD101_20200630,dbo,col_reward_item,BASE TABLE
LINWORLD101_20200630,dbo,col_reward_score,BASE TABLE
LINWORLD101_20200630,dbo,col_reward_time,BASE TABLE
LINWORLD101_20200630,dbo,col_score,BASE TABLE
LINWORLD101_20200630,dbo,craft_success_stats,BASE TABLE
LINWORLD101_20200630,dbo,curUser,BASE TABLE
LINWORLD101_20200630,dbo,DeckranBackup,BASE TABLE
LINWORLD101_20200630,dbo,deckrancheck,BASE TABLE
LINWORLD101_20200630,dbo,delete_user_item_0_4,BASE TABLE
