schemaname,tablename,rowcounts,totalspacemb,usedspacemb,unusedspacemb
dbo,__temp_account_extra_temp,0,0,0,0
dbo,__temp_account_extra_temp_02,0,0,0,0
dbo,__temp_del_bookmark_20151002,866,0,0,0
dbo,__temp_del_bookmark_20170504,18253,0,0,0
dbo,__temp_del_bookmark_20180103,0,0,0,0
dbo,__temp_F2PExpList,99,0,0,0
dbo,__temp_MonthExpList,99,0,0,0
dbo,__temp_user_item_weddingRing,1035,0,0,0
dbo,__tempTimeOverflowItemList_TWN,148,0,0,0
dbo,__user_item_craft_item_20181031,3839,0,0,0
dbo,__user_Slots,6466,0,0,0
dbo,_indexshift,10,0,0,0
dbo,_indexshift_2nd,9,0,0,0
dbo,_process,70,0,0,0
dbo,_process_2nd,68,0,0,0
dbo,_temp_tencent_bm,11086,0,0,0
dbo,_temp_tencent_bm_101,6481,0,0,0
dbo,_temp_tencent_bm_102,667,0,0,0
dbo,_temp_tencent_bm_102_202005,210,0,0,0
dbo,_temp_tencent_bm_123,299,0,0,0
dbo,__temp_user_item_change_spellbook_Gunju,5959,0,0,0
dbo,account_extra,0,0,0,0
dbo,admin_ranking,0,0,0,0
dbo,agit,129,0,0,0
dbo,agit_giran,0,0,0,0
dbo,alliance,26,0,0,0
dbo,ArcaActivation,6973,0,0,0
dbo,backup_agit,129,0,0,0
dbo,bbs,2,0,0,0
dbo,bbs_burned,0,0,0,0
dbo,bbs_cgiran,0,0,0,0
dbo,bbs_ckent,0,0,0,0
dbo,bbs_corc,0,0,0,0
dbo,bbs_cwinda,0,0,0,0
dbo,bbs_elven,0,0,0,0
dbo,blood_pledge_join,69,0,0,0
dbo,blood_pledge_rest_exp_reduce_effciency,24,0,0,0
dbo,booking_data,0,0,0,0
dbo,bookmark_store,107,0,0,0
dbo,castle,7,0,0,0
dbo,castle_npc,33,0,0,0
dbo,char_change,0,0,0,0
dbo,cn_rank_adena,50,0,0,0
dbo,cn_rank_character,200,0,0,0
dbo,cn_rank_item_enchant,100,0,0,0
dbo,cn_rank_payment,50,0,0,0
dbo,cn_rank_pk,200,0,0,0
dbo,cn_rank_pledge,20,0,0,0
dbo,col_reward_item,5,0,0,0
dbo,col_reward_score,21,0,0,0
dbo,col_reward_time,1,0,0,0
dbo,col_score,84,0,0,0
dbo,craft_success_stats,115,0,0,0
dbo,curUser,0,0,0,0
dbo,DeckranBackup,0,0,0,0
dbo,deckrancheck,0,0,0,0
dbo,event_score,1336,0,0,0
dbo,eventExp,0,0,0,0
dbo,furniture,500,0,0,0
dbo,game_time,1,0,0,0
dbo,GP_NPC_MATCH,40,0,0,0
dbo,inn,204,0,0,0
dbo,InstanceDungeonRenewal_201706,7184,0,0,0
dbo,ip_trace,0,0,0,0
dbo,item_boost,0,0,0,0
dbo,item_cost,0,0,0,0
dbo,item_magic_attr,2446,0,0,0
dbo,item_rental,0,0,0,0
dbo,item_seal,0,0,0,0
dbo,item21546bless1,5,0,0,0
dbo,item21546bless129,2,0,0,0
dbo,ItemName,0,0,0,0
dbo,lastrace,2,0,0,0
dbo,delete_user_item_2,50,0,0,0
dbo,DelRoleResult,0,0,0,0
dbo,dogfight,0,0,0,0
dbo,Drawing_SgradeHistory,10447,0,0,0
dbo,log_sihon_rank,92,0,0,0
dbo,map_time_limit,1056,0,0,0
dbo,MerchantLimitGoods,6,0,0,0
dbo,mobile_user,0,0,0,0
dbo,NoticeContent,0,0,0,0
dbo,regnpc,0,0,0,0
dbo,S121_del_20160727,0,0,0,0
dbo,server_value,13,0,0,0
dbo,servernum,1,0,0,0
dbo,Siege_BloodPledge_Point,24,0,0,0
dbo,Siege_Castle_History,475,0,0,0
dbo,Siege_Castle_Property,7,0,0,0
dbo,sihon_tower_history_rank,3,0,0,0
dbo,sihon_tower_rank,0,0,0,0
dbo,sihon_tower_rewardItem,9,0,0,0
