TABLE_CATALOG,TABLE_SCHEMA,TABLE_NAME,TABLE_TYPE
LinDBF2P_20200630,dbo,QueuingRequests,BASE TABLE
LinDBF2P_20200630,dbo,card_try,BASE TABLE
LinDBF2P_20200630,dbo,company,BASE TABLE
LinDBF2P_20200630,dbo,Console_Satellite_Out_08,BASE TABLE
LinDBF2P_20200630,dbo,coupon_account,BASE TABLE
LinDBF2P_20200630,dbo,curUser,BASE TABLE
LinDBF2P_20200630,dbo,total_user,BASE TABLE
LinDBF2P_20200630,dbo,holiday,BASE TABLE
LinDBF2P_20200630,dbo,Auto_Block_ID,BASE TABLE
LinDBF2P_20200630,dbo,iplog,BASE TABLE
LinDBF2P_20200630,dbo,iplog_new,BASE TABLE
LinDBF2P_20200630,dbo,ipspecific,BASE TABLE
LinDBF2P_20200630,dbo,iptable,BASE TABLE
LinDBF2P_20200630,dbo,ispstoplog,BASE TABLE
LinDBF2P_20200630,dbo,quiz,BASE TABLE
LinDBF2P_20200630,dbo,deckrancheck,BASE TABLE
LinDBF2P_20200630,dbo,Results,BASE TABLE
LinDBF2P_20200630,dbo,user_account,BASE TABLE
LinDBF2P_20200630,dbo,shop,BASE TABLE
LinDBF2P_20200630,dbo,space_temp,BASE TABLE
LinDBF2P_20200630,dbo,ssn,BASE TABLE
LinDBF2P_20200630,dbo,st_db_size,BASE TABLE
LinDBF2P_20200630,dbo,st_diskspace_history,BASE TABLE
LinDBF2P_20200630,dbo,st_diskspace_now,BASE TABLE
LinDBF2P_20200630,dbo,st_iplog,BASE TABLE
LinDBF2P_20200630,dbo,st_iptable,BASE TABLE
LinDBF2P_20200630,dbo,st_server_load,BASE TABLE
LinDBF2P_20200630,dbo,st_space,BASE TABLE
LinDBF2P_20200630,dbo,st_user,BASE TABLE
LinDBF2P_20200630,dbo,st_user_data,BASE TABLE
LinDBF2P_20200630,dbo,SumResult,BASE TABLE
LinDBF2P_20200630,dbo,user_block,BASE TABLE
LinDBF2P_20200630,dbo,ssn_account,BASE TABLE
LinDBF2P_20200630,dbo,user_password,BASE TABLE
LinDBF2P_20200630,dbo,user_cnt,BASE TABLE
LinDBF2P_20200630,dbo,PCRegister,BASE TABLE
LinDBF2P_20200630,dbo,User_info,BASE TABLE
LinDBF2P_20200630,dbo,User_lock_reason,BASE TABLE
LinDBF2P_20200630,dbo,block_reason_code,BASE TABLE
LinDBF2P_20200630,dbo,user_memo,BASE TABLE
LinDBF2P_20200630,dbo,block_msg,BASE TABLE
LinDBF2P_20200630,dbo,winners,BASE TABLE
LinDBF2P_20200630,dbo,block_id_max,BASE TABLE
LinDBF2P_20200630,dbo,PlaySafe,BASE TABLE
LinDBF2P_20200630,dbo,block_history,BASE TABLE
LinDBF2P_20200630,dbo,bad_userlist,BASE TABLE
LinDBF2P_20200630,dbo,AccountSecurityService,BASE TABLE
LinDBF2P_20200630,dbo,AccountGameSlot,BASE TABLE
LinDBF2P_20200630,dbo,VW_ServiceMonitor,VIEW
LinDBF2P_20200630,dbo,VW_TotalUsersQuery,VIEW
LinDBF2P_20200630,dbo,beanfun_beta,BASE TABLE
LinDBF2P_20200630,dbo,GameAccountTask_600041_BE_1,BASE TABLE
LinDBF2P_20200630,dbo,GameAccountTask_600041_BE_2,BASE TABLE
LinDBF2P_20200630,dbo,GameAccountTask_600041_BE_3,BASE TABLE
LinDBF2P_20200630,dbo,GameAccountTask_600041_BE_4,BASE TABLE
LinDBF2P_20200630,dbo,Console_Satellite_Out_01,BASE TABLE
LinDBF2P_20200630,dbo,GameAccountTask_600041_BE_5,BASE TABLE
LinDBF2P_20200630,dbo,Console_Satellite_Out_02,BASE TABLE
LinDBF2P_20200630,dbo,Console_Satellite_Out_03,BASE TABLE
LinDBF2P_20200630,dbo,Console_Satellite_Out_04,BASE TABLE
LinDBF2P_20200630,dbo,TEMP_F2P_TAM,BASE TABLE
LinDBF2P_20200630,dbo,Console_Satellite_Out_05,BASE TABLE
LinDBF2P_20200630,dbo,Console_Satellite_Out,BASE TABLE
LinDBF2P_20200630,dbo,dtproperties,BASE TABLE
LinDBF2P_20200630,dbo,LockTask,BASE TABLE
LinDBF2P_20200630,dbo,GoodLock_Event_List,BASE TABLE
LinDBF2P_20200630,dbo,Auto_Block_Gama,BASE TABLE
LinDBF2P_20200630,dbo,BE_600041,BASE TABLE
LinDBF2P_20200630,dbo,VW_account,VIEW
LinDBF2P_20200630,dbo,wanted,BASE TABLE
LinDBF2P_20200630,dbo,bank_id,BASE TABLE
LinDBF2P_20200630,dbo,User_char,BASE TABLE
LinDBF2P_20200630,dbo,bank_money,BASE TABLE
LinDBF2P_20200630,dbo,bankbook,BASE TABLE
LinDBF2P_20200630,dbo,account_uid,BASE TABLE
LinDBF2P_20200630,dbo,Console_Satellite_Out_06,BASE TABLE
LinDBF2P_20200630,dbo,billing_audit,BASE TABLE
LinDBF2P_20200630,dbo,server_kind,BASE TABLE
LinDBF2P_20200630,dbo,card,BASE TABLE
LinDBF2P_20200630,dbo,card_money,BASE TABLE
LinDBF2P_20200630,dbo,card_process,BASE TABLE
LinDBF2P_20200630,dbo,Console_Satellite_Out_07,BASE TABLE
LinDBF2P_20200630,dbo,card_rv,BASE TABLE
LinDBF2P_20200630,dbo,card_sl,BASE TABLE
