schemaname,tablename,rowcounts,totalspacemb,usedspacemb,unusedspacemb
dbo,Console_Satellite_Out_03,0,0,0,0
dbo,Console_Satellite_Out_04,0,0,0,0
dbo,Console_Satellite_Out_05,0,0,0,0
dbo,Console_Satellite_Out_06,0,0,0,0
dbo,Console_Satellite_Out_07,0,0,0,0
dbo,Console_Satellite_Out_08,0,0,0,0
dbo,coupon_account,0,0,0,0
dbo,curUser,0,0,0,0
dbo,deckrancheck,0,0,0,0
dbo,GameAccountTask_600041_BE_1,0,0,0,0
dbo,GameAccountTask_600041_BE_2,0,0,0,0
dbo,GameAccountTask_600041_BE_3,0,0,0,0
dbo,GameAccountTask_600041_BE_4,0,0,0,0
dbo,GameAccountTask_600041_BE_5,0,0,0,0
dbo,GoodLock_Event_List,0,0,0,0
dbo,holiday,0,0,0,0
dbo,iplog,0,0,0,0
dbo,iplog_new,0,0,0,0
dbo,ipspecific,0,0,0,0
dbo,iptable,0,0,0,0
dbo,ispstoplog,0,0,0,0
dbo,LockTask,0,0,0,0
dbo,PCRegister,0,0,0,0
dbo,PlaySafe,0,0,0,0
dbo,QueuingRequests,0,0,0,0
dbo,quiz,0,0,0,0
dbo,Results,0,0,0,0
dbo,server_kind,0,0,0,0
dbo,shop,0,0,0,0
dbo,space_temp,0,0,0,0
dbo,ssn,0,0,0,0
dbo,ssn_account,0,0,0,0
dbo,st_db_size,0,0,0,0
dbo,st_diskspace_history,0,0,0,0
dbo,st_diskspace_now,0,0,0,0
dbo,st_iplog,0,0,0,0
dbo,st_iptable,0,0,0,0
dbo,st_server_load,0,0,0,0
dbo,st_space,0,0,0,0
dbo,st_user,0,0,0,0
dbo,st_user_data,0,0,0,0
dbo,SumResult,0,0,0,0
dbo,AccountSecurityService,0,0,0,0
dbo,Auto_Block_Gama,0,0,0,0
dbo,Auto_Block_ID,2160,0,0,0
dbo,bad_userlist,0,0,0,0
dbo,bank_id,0,0,0,0
dbo,bank_money,0,0,0,0
dbo,bankbook,0,0,0,0
dbo,BE_600041,0,0,0,0
dbo,beanfun_beta,0,0,0,0
dbo,billing_audit,0,0,0,0
dbo,block_history,0,0,0,0
dbo,block_id_max,0,0,0,0
dbo,block_msg,0,0,0,0
dbo,block_reason_code,0,0,0,0
dbo,card,0,0,0,0
dbo,card_money,0,0,0,0
dbo,card_process,0,0,0,0
dbo,card_rv,0,0,0,0
dbo,card_sl,0,0,0,0
dbo,card_try,0,0,0,0
dbo,company,0,0,0,0
dbo,Console_Satellite_Out,0,0,0,0
dbo,Console_Satellite_Out_01,0,0,0,0
dbo,user_block,0,0,0,0
dbo,User_char,0,0,0,0
dbo,user_cnt,0,0,0,0
dbo,User_lock_reason,20,0,0,0
dbo,user_memo,0,0,0,0
dbo,wanted,0,0,0,0
dbo,winners,0,0,0,0
dbo,Console_Satellite_Out_02,0,1,0,0
dbo,TEMP_F2P_TAM,27913,1,1,0
dbo,AccountGameSlot,214952,11,11,0
dbo,total_user,677398,14,14,0
dbo,account_uid,1358603,89,89,0
dbo,user_account,1358603,270,270,0
dbo,user_password,1358603,272,272,0
dbo,User_info,1358603,288,288,0
