type,layers,gamename,startdate,enddate,parenthivedb,parentdbname,parenttablename,parentcolumnname,orihivedb,oridbname,oritablename,oricolumnname,hivedb,dbname,tablename,columnname,logstartdate,logenddate,dtbeforeday,dtafterday,logfilename,log,sql,memo,memo2
all,1,lineage,2019-12-01,,,,,,all,lindbf2p,accountgameslot,,extract,lindbf2p,accountgameslot,,,,,,,,,尚未確定(大於10M),
all,1,lineage,2019-12-01,,,,,,all,lindbf2p,accountsecurityservice,,extract,lindbf2p,accountsecurityservice,,,,,,,,,尚未確定(0M),
all,1,lineage,2019-12-01,,,,,,all,lindbf2p,auto_block_gama,,extract,lindbf2p,auto_block_gama,,,,,,,,,尚未確定(0M),
all,1,lineage,2019-12-01,,,,,,all,lindbf2p,bad_userlist,,extract,lindbf2p,bad_userlist,,,,,,,,,尚未確定(0M),
all,1,lineage,2019-12-01,,,,,,all,lindbf2p,bank_id,,extract,lindbf2p,bank_id,,,,,,,,,尚未確定(0M),
all,1,lineage,2019-12-01,,,,,,all,lindbf2p,bank_money,,extract,lindbf2p,bank_money,,,,,,,,,尚未確定(0M),
all,1,lineage,2019-12-01,,,,,,all,lindbf2p,bankbook,,extract,lindbf2p,bankbook,,,,,,,,,尚未確定(0M),
all,1,lineage,2019-12-01,,,,,,all,lindbf2p,beanfun_beta,,extract,lindbf2p,beanfun_beta,,,,,,,,,尚未確定(0M),
all,1,lineage,2019-12-01,,,,,,all,lindbf2p,billing_audit,,extract,lindbf2p,billing_audit,,,,,,,,,尚未確定(0M),
all,1,lineage,2019-12-01,,,,,,all,lindbf2p,block_history,,extract,lindbf2p,block_history,,,,,,,,,尚未確定(0M),
all,1,lineage,2019-12-01,,,,,,all,lindbf2p,block_id_max,,extract,lindbf2p,block_id_max,,,,,,,,,尚未確定(0M),
all,1,lineage,2019-12-01,,,,,,all,lindbf2p,block_msg,,extract,lindbf2p,block_msg,,,,,,,,,尚未確定(0M),
all,1,lineage,2019-12-01,,,,,,all,lindbf2p,block_reason_code,,extract,lindbf2p,block_reason_code,,,,,,,,,尚未確定(0M),
all,1,lineage,2019-12-01,,,,,,all,lindbf2p,card,,extract,lindbf2p,card,,,,,,,,,尚未確定(0M),
all,1,lineage,2019-12-01,,,,,,all,lindbf2p,card_money,,extract,lindbf2p,card_money,,,,,,,,,尚未確定(0M),
