type,layers,gamename,startdate,enddate,parenthivedb,parentdbname,parenttablename,parentcolumnname,orihivedb,oridbname,oritablename,oricolumnname,hivedb,dbname,tablename,columnname,logstartdate,logenddate,dtbeforeday,dtafterday,logfilename,log,sql,memo,memo2
all,1,lineage,2019-12-01,,,,,,all,linworld_f2p,account_contents_data,,extract,linworld_f2p,account_contents_data,,,,,,,,,尚未確定(大於10M),
all,1,lineage,2019-12-01,,,,,,all,linworld_f2p,account_extra,,extract,linworld_f2p,account_extra,,,,,,,,,尚未確定(0M),
all,1,lineage,2019-12-01,,,,,,all,linworld_f2p,admin_ranking,,extract,linworld_f2p,admin_ranking,,,,,,,,,尚未確定(0M),
all,1,lineage,2019-12-01,,,,,,all,linworld_f2p,agit,,extract,linworld_f2p,agit,,,,,,,,,血盟小屋(小於500K),
all,1,lineage,2019-12-01,,,,,,all,linworld_f2p,agit_giran,,extract,linworld_f2p,agit_giran,,,,,,,,,尚未確定(0M),
all,1,lineage,2019-12-01,,,,,,all,linworld_f2p,alliance,,extract,linworld_f2p,alliance,,,,,,,,,同盟資訊?(小於500K),
all,1,lineage,2019-12-01,,,,,,all,linworld_f2p,arcaactivation,,extract,linworld_f2p,arcaactivation,,,,,,,,,尚未確定(小於500K),
all,1,lineage,2019-12-01,,,,,,all,linworld_f2p,bbs,,extract,linworld_f2p,bbs,,,,,,,,,尚未確定(小於500K),
all,1,lineage,2019-12-01,,,,,,all,linworld_f2p,bbs_burned,,extract,linworld_f2p,bbs_burned,,,,,,,,,尚未確定(0M),
all,1,lineage,2019-12-01,,,,,,all,linworld_f2p,bbs_cgiran,,extract,linworld_f2p,bbs_cgiran,,,,,,,,,尚未確定(0M),
all,1,lineage,2019-12-01,,,,,,all,linworld_f2p,bbs_ckent,,extract,linworld_f2p,bbs_ckent,,,,,,,,,尚未確定(0M),
all,1,lineage,2019-12-01,,,,,,all,linworld_f2p,bbs_corc,,extract,linworld_f2p,bbs_corc,,,,,,,,,尚未確定(0M),
all,1,lineage,2019-12-01,,,,,,all,linworld_f2p,bbs_cwinda,,extract,linworld_f2p,bbs_cwinda,,,,,,,,,尚未確定(0M),
all,1,lineage,2019-12-01,,,,,,all,linworld_f2p,bbs_elven,,extract,linworld_f2p,bbs_elven,,,,,,,,,尚未確定(0M),
all,1,lineage,2019-12-01,,,,,,all,linworld_f2p,blood_pledge,,extract,linworld_f2p,blood_pledge,,,,,,,,,血盟(大於1M),
all,1,lineage,2019-12-01,,,,,,all,linworld_f2p,blood_pledge_join,,extract,linworld_f2p,blood_pledge_join,,,,,,,,,尚未確定(小於500K),
all,1,lineage,2019-12-01,,,,,,all,linworld_f2p,blood_pledge_rest_exp_reduce_effciency,,extract,linworld_f2p,blood_pledge_rest_exp_reduce_effciency,,,,,,,,,尚未確定(小於500K),
all,1,lineage,2019-12-01,,,,,,all,linworld_f2p,booking_data,,extract,linworld_f2p,booking_data,,,,,,,,,尚未確定(0M),
all,1,lineage,2019-12-01,,,,,,all,linworld_f2p,bookmark_store,,extract,linworld_f2p,bookmark_store,,,,,,,,,座標記憶(小於500K),
all,1,lineage,2019-12-01,,,,,,all,linworld_f2p,castle,,extract,linworld_f2p,castle,,,,,,,,,城堡(小於500K),
all,1,lineage,2019-12-01,,,,,,all,linworld_f2p,castle_npc,,extract,linworld_f2p,castle_npc,,,,,,,,,尚未確定(小於500K),
all,1,lineage,2019-12-01,,,,,,all,linworld_f2p,char_change,,extract,linworld_f2p,char_change,,,,,,,,,尚未確定(0M),
all,1,lineage,2019-12-01,,,,,,all,linworld_f2p,char_name_change,,extract,linworld_f2p,char_name_change,,,,,,,,,尚未確定(大於10M),
all,1,lineage,2019-12-01,,,,,,all,linworld_f2p,cn_rank_adena,,extract,linworld_f2p,cn_rank_adena,,,,,,,,,尚未確定(小於500K),
all,1,lineage,2019-12-01,,,,,,all,linworld_f2p,cn_rank_character,,extract,linworld_f2p,cn_rank_character,,,,,,,,,尚未確定(小於500K),
all,1,lineage,2019-12-01,,,,,,all,linworld_f2p,cn_rank_item_enchant,,extract,linworld_f2p,cn_rank_item_enchant,,,,,,,,,尚未確定(小於500K),
all,1,lineage,2019-12-01,,,,,,all,linworld_f2p,cn_rank_payment,,extract,linworld_f2p,cn_rank_payment,,,,,,,,,尚未確定(小於500K),
all,1,lineage,2019-12-01,,,,,,all,linworld_f2p,cn_rank_pk,,extract,linworld_f2p,cn_rank_pk,,,,,,,,,尚未確定(小於500K),
all,1,lineage,2019-12-01,,,,,,all,linworld_f2p,cn_rank_pledge,,extract,linworld_f2p,cn_rank_pledge,,,,,,,,,尚未確定(小於500K),
all,1,lineage,2019-12-01,,,,,,all,linworld_f2p,col_reward_item,,extract,linworld_f2p,col_reward_item,,,,,,,,,海戰設定表格(小於500K),
all,1,lineage,2019-12-01,,,,,,all,linworld_f2p,col_reward_score,,extract,linworld_f2p,col_reward_score,,,,,,,,,海戰玩家排名(小於500K),
all,1,lineage,2019-12-01,,,,,,all,linworld_f2p,col_reward_time,,extract,linworld_f2p,col_reward_time,,,,,,,,,海戰更新時間(小於500K),
all,1,lineage,2019-12-01,,,,,,all,linworld_f2p,craft_success_stats,,extract,linworld_f2p,craft_success_stats,,,,,,,,,尚未確定(小於500K),
all,1,lineage,2019-12-01,,,,,,all,linworld_f2p,curuser,,extract,linworld_f2p,curuser,,,,,,,,,尚未確定(0M),
all,1,lineage,2019-12-01,,,,,,all,linworld_f2p,deckrancheck,,extract,linworld_f2p,deckrancheck,,,,,,,,,尚未確定(0M),
all,1,lineage,2019-12-01,,,,,,all,linworld_f2p,delete_user_item_0_4,,extract,linworld_f2p,delete_user_item_0_4,,,,,,,,,尚未確定(大於1M),
all,1,lineage,2019-12-01,,,,,,all,linworld_f2p,delete_user_item_2,,extract,linworld_f2p,delete_user_item_2,,,,,,,,,尚未確定(小於500K),
all,1,lineage,2019-12-01,,,,,,all,linworld_f2p,dogfight,,extract,linworld_f2p,dogfight,,,,,,,,,尚未確定(0M),
all,1,lineage,2019-12-01,,,,,,all,linworld_f2p,drawing_sgradehistory,,extract,linworld_f2p,drawing_sgradehistory,,,,,,,,,尚未確定(小於500K),
all,1,lineage,2019-12-01,,,,,,all,linworld_f2p,emblem,,extract,linworld_f2p,emblem,,,,,,,,,尚未確定(大於1M),
all,1,lineage,2019-12-01,,,,,,all,linworld_f2p,event_score,,extract,linworld_f2p,event_score,,,,,,,,,尚未確定(小於500K),
all,1,lineage,2019-12-01,,,,,,all,linworld_f2p,eventexp,,extract,linworld_f2p,eventexp,,,,,,,,,尚未確定(0M),
all,1,lineage,2019-12-01,,,,,,all,linworld_f2p,furniture,,extract,linworld_f2p,furniture,,,,,,,,,傢俱(小於500K),
all,1,lineage,2019-12-01,,,,,,all,linworld_f2p,game_time,,extract,linworld_f2p,game_time,,,,,,,,,尚未確定(小於500K),
all,1,lineage,2019-12-01,,,,,,all,linworld_f2p,gp_npc_match,,extract,linworld_f2p,gp_npc_match,,,,,,,,,尚未確定(小於500K),
