TABLE_CATALOG,TABLE_SCHEMA,TABLE_NAME,COLUMN_NAME,ORDINAL_POSITION,COLUMN_DEFAULT,IS_NULLABLE,DATA_TYPE,CHARACTER_MAXIMUM_LENGTH,CHARACTER_OCTET_LENGTH,NUMERIC_PRECISION,NUMERIC_PRECISION_RADIX,NUMERIC_SCALE,DATETIME_PRECISION,CHARACTER_SET_CATALOG,CHARACTER_SET_SCHEMA,CHARACTER_SET_NAME,COLLATION_CATALOG,COLLATION_SCHEMA,COLLATION_NAME,DOMAIN_CATALOG,DOMAIN_SCHEMA,DOMAIN_NAME
LINWORLD1_Global_20200605,dbo,__2KUpdateMap,mapNo,1,,NO,smallint,,,5.0,10.0,0.0,,,,,,,,,,
LINWORLD1_Global_20200605,dbo,__2KUpdateMap,mapName,2,,NO,nvarchar,100.0,200.0,,,,,,,UNICODE,,,Chinese_Taiwan_Stroke_CI_AS,,,
LINWORLD7_Global_20200605,dbo,__backup_blood_pledge_join_20200326,char_db_id,1,,NO,bigint,,,19.0,10.0,0.0,,,,,,,,,,
LINWORLD7_Global_20200605,dbo,__backup_blood_pledge_join_20200326,target_pledge_id,2,,NO,int,,,10.0,10.0,0.0,,,,,,,,,,
LINWORLD7_Global_20200605,dbo,__backup_blood_pledge_join_20200326,char_name,3,,NO,nvarchar,50.0,100.0,,,,,,,UNICODE,,,Chinese_Taiwan_Stroke_CI_AS,,,
LINWORLD7_Global_20200605,dbo,__backup_blood_pledge_join_20200326,target_pledge_name,4,,NO,nvarchar,50.0,100.0,,,,,,,UNICODE,,,Chinese_Taiwan_Stroke_CI_AS,,,
LINWORLD7_Global_20200605,dbo,__backup_blood_pledge_join_20200326,msg,5,,YES,nvarchar,200.0,400.0,,,,,,,UNICODE,,,Chinese_Taiwan_Stroke_CI_AS,,,
LINWORLD7_Global_20200605,dbo,__backup_blood_pledge_join_20200326,date,6,,NO,datetime,,,,,,3.0,,,,,,,,,
LINWORLD7_Global_20200605,dbo,__backup_blood_pledge_join_20200326,char_class,7,,NO,tinyint,,,3.0,10.0,0.0,,,,,,,,,,
LINWORLD7_Global_20200605,dbo,__backup_pledge_member_info_20200326,pledge_id,1,,NO,int,,,10.0,10.0,0.0,,,,,,,,,,
LINWORLD7_Global_20200605,dbo,__backup_pledge_member_info_20200326,char_id,2,,NO,int,,,10.0,10.0,0.0,,,,,,,,,,
LINWORLD7_Global_20200605,dbo,__backup_pledge_member_info_20200326,memo,3,,YES,varbinary,62.0,62.0,,,,,,,,,,,,,
LINWORLD7_Global_20200605,dbo,__backup_pledge_member_info_20200326,ID,4,,NO,bigint,,,19.0,10.0,0.0,,,,,,,,,,
LINWORLD7_Global_20200605,dbo,__backup_pledge_member_info_20200326,join_date,5,,NO,smalldatetime,,,,,,0.0,,,,,,,,,
LINWORLD7_Global_20200605,dbo,__backup_pledge_member_info_20200326,rank,6,,NO,tinyint,,,3.0,10.0,0.0,,,,,,,,,,
LINWORLD1_Global_20200605,dbo,__craft_success_stats,npc_id,1,,NO,int,,,10.0,10.0,0.0,,,,,,,,,,
LINWORLD1_Global_20200605,dbo,__craft_success_stats,craft_id,2,,NO,int,,,10.0,10.0,0.0,,,,,,,,,,
LINWORLD1_Global_20200605,dbo,__craft_success_stats,cur_success_cnt,3,,NO,int,,,10.0,10.0,0.0,,,,,,,,,,
LINWORLD1_Global_20200605,dbo,__craft_success_stats,max_success_cnt,4,,NO,int,,,10.0,10.0,0.0,,,,,,,,,,
LINWORLD1_Global_20200605,dbo,__temp_2K_bookmark_20181227,user_id,1,,NO,varchar,12.0,12.0,,,,,,,cp950,,,Chinese_Taiwan_Stroke_CI_AS,,,
LINWORLD1_Global_20200605,dbo,__temp_2K_bookmark_20181227,bookmark,2,,NO,varchar,30.0,30.0,,,,,,,cp950,,,Chinese_Taiwan_Stroke_CI_AS,,,
LINWORLD1_Global_20200605,dbo,__temp_2K_bookmark_20181227,world,3,,NO,smallint,,,5.0,10.0,0.0,,,,,,,,,,
LINWORLD1_Global_20200605,dbo,__temp_2K_bookmark_20181227,x,4,,NO,smallint,,,5.0,10.0,0.0,,,,,,,,,,
LINWORLD1_Global_20200605,dbo,__temp_2K_bookmark_20181227,y,5,,NO,smallint,,,5.0,10.0,0.0,,,,,,,,,,
LINWORLD1_Global_20200605,dbo,__temp_2K_bookmark_20181227,uid,6,,NO,int,,,10.0,10.0,0.0,,,,,,,,,,
LINWORLD1_Global_20200605,dbo,__temp_2K_bookmark_20181227,id,7,,NO,int,,,10.0,10.0,0.0,,,,,,,,,,
LINWORLD1_Global_20200605,dbo,__temp_befor2K_user_item_01,id,1,,NO,int,,,10.0,10.0,0.0,,,,,,,,,,
LINWORLD1_Global_20200605,dbo,__temp_befor2K_user_item_01,user_id,2,,NO,varchar,16.0,16.0,,,,,,,cp950,,,Chinese_Taiwan_Stroke_CI_AS,,,
LINWORLD1_Global_20200605,dbo,__temp_befor2K_user_item_01,item_id,3,,NO,smallint,,,5.0,10.0,0.0,,,,,,,,,,
LINWORLD1_Global_20200605,dbo,__temp_befor2K_user_item_01,amount,4,,NO,int,,,10.0,10.0,0.0,,,,,,,,,,
LINWORLD1_Global_20200605,dbo,__temp_befor2K_user_item_01,enchant,5,,NO,tinyint,,,3.0,10.0,0.0,,,,,,,,,,
LINWORLD1_Global_20200605,dbo,__temp_befor2K_user_item_01,eroded,6,,NO,tinyint,,,3.0,10.0,0.0,,,,,,,,,,
LINWORLD1_Global_20200605,dbo,__temp_befor2K_user_item_01,bless,7,,NO,tinyint,,,3.0,10.0,0.0,,,,,,,,,,
LINWORLD1_Global_20200605,dbo,__temp_befor2K_user_item_01,ident,8,,NO,bit,,,,,,,,,,,,,,,
LINWORLD1_Global_20200605,dbo,__temp_befor2K_user_item_01,ready,9,,NO,bit,,,,,,,,,,,,,,,
LINWORLD1_Global_20200605,dbo,__temp_befor2K_user_item_01,wished,10,,NO,bit,,,,,,,,,,,,,,,
LINWORLD1_Global_20200605,dbo,__temp_befor2K_user_item_01,warehouse,11,,NO,tinyint,,,3.0,10.0,0.0,,,,,,,,,,
LINWORLD1_Global_20200605,dbo,__temp_befor2K_user_item_01,data,12,,NO,int,,,10.0,10.0,0.0,,,,,,,,,,
LINWORLD1_Global_20200605,dbo,__temp_befor2K_user_item_01,uid,13,,NO,int,,,10.0,10.0,0.0,,,,,,,,,,
LINWORLD1_Global_20200605,dbo,__temp_befor2K_user_item_01,item_attribute_extension_flags,14,,NO,bigint,,,19.0,10.0,0.0,,,,,,,,,,
LINWORLD1_Global_20200605,dbo,__temp_befor2K_user_item_02,id,1,,NO,int,,,10.0,10.0,0.0,,,,,,,,,,
LINWORLD1_Global_20200605,dbo,__temp_befor2K_user_item_02,user_id,2,,NO,varchar,16.0,16.0,,,,,,,cp950,,,Chinese_Taiwan_Stroke_CI_AS,,,
LINWORLD1_Global_20200605,dbo,__temp_befor2K_user_item_02,item_id,3,,NO,smallint,,,5.0,10.0,0.0,,,,,,,,,,
LINWORLD1_Global_20200605,dbo,__temp_befor2K_user_item_02,amount,4,,NO,int,,,10.0,10.0,0.0,,,,,,,,,,
LINWORLD1_Global_20200605,dbo,__temp_befor2K_user_item_02,enchant,5,,NO,tinyint,,,3.0,10.0,0.0,,,,,,,,,,
LINWORLD1_Global_20200605,dbo,__temp_befor2K_user_item_02,eroded,6,,NO,tinyint,,,3.0,10.0,0.0,,,,,,,,,,
LINWORLD1_Global_20200605,dbo,__temp_befor2K_user_item_02,bless,7,,NO,tinyint,,,3.0,10.0,0.0,,,,,,,,,,
LINWORLD1_Global_20200605,dbo,__temp_befor2K_user_item_02,ident,8,,NO,bit,,,,,,,,,,,,,,,
LINWORLD1_Global_20200605,dbo,__temp_befor2K_user_item_02,ready,9,,NO,bit,,,,,,,,,,,,,,,
LINWORLD1_Global_20200605,dbo,__temp_befor2K_user_item_02,wished,10,,NO,bit,,,,,,,,,,,,,,,
LINWORLD1_Global_20200605,dbo,__temp_befor2K_user_item_02,warehouse,11,,NO,tinyint,,,3.0,10.0,0.0,,,,,,,,,,
LINWORLD1_Global_20200605,dbo,__temp_befor2K_user_item_02,data,12,,NO,int,,,10.0,10.0,0.0,,,,,,,,,,
LINWORLD1_Global_20200605,dbo,__temp_befor2K_user_item_02,uid,13,,NO,int,,,10.0,10.0,0.0,,,,,,,,,,
LINWORLD1_Global_20200605,dbo,__temp_befor2K_user_item_02,item_attribute_extension_flags,14,,NO,bigint,,,19.0,10.0,0.0,,,,,,,,,,
LINWORLD1_Global_20200605,dbo,__temp_befor2K_user_settings_backup,user_uid,1,,NO,int,,,10.0,10.0,0.0,,,,,,,,,,
LINWORLD1_Global_20200605,dbo,__temp_befor2K_user_settings_backup,settings,2,,YES,binary,4000.0,4000.0,,,,,,,,,,,,,
LINWORLD1_Global_20200605,dbo,__temp_change_category_27370,id,1,,NO,int,,,10.0,10.0,0.0,,,,,,,,,,
LINWORLD1_Global_20200605,dbo,__temp_change_category_27370,user_id,2,,NO,varchar,16.0,16.0,,,,,,,cp950,,,Chinese_Taiwan_Stroke_CI_AS,,,
