TABLE_CATALOG,TABLE_SCHEMA,TABLE_NAME,TABLE_TYPE
LINWORLD1_Global_20200605,dbo,__2KUpdateMap,BASE TABLE
LINWORLD7_Global_20200605,dbo,__backup_blood_pledge_join_20200326,BASE TABLE
LINWORLD7_Global_20200605,dbo,__backup_pledge_member_info_20200326,BASE TABLE
LINWORLD1_Global_20200605,dbo,__craft_success_stats,BASE TABLE
LINWORLD1_Global_20200605,dbo,__temp_2K_bookmark_20181227,BASE TABLE
LINWORLD1_Global_20200605,dbo,__temp_befor2K_user_item_01,BASE TABLE
LINWORLD1_Global_20200605,dbo,__temp_befor2K_user_item_02,BASE TABLE
LINWORLD1_Global_20200605,dbo,__temp_befor2K_user_settings_backup,BASE TABLE
LINWORLD1_Global_20200605,dbo,__temp_change_category_27370,BASE TABLE
LINWORLD2_Global_20200605,dbo,__temp_change_category_27370_2,BASE TABLE
LINWORLD1_Global_20200605,dbo,__temp_CharacterSpellDelete_backup,BASE TABLE
LINWORLD1_Global_20200605,dbo,__temp_CharacterSpellDelete_Gunju,BASE TABLE
LINWORLD1_Global_20200605,dbo,__temp_CharacterSpellDelete_Han,BASE TABLE
LINWORLD1_Global_20200605,dbo,__temp_crystal_user_item_20200122,BASE TABLE
LINWORLD1_Global_20200605,dbo,__temp_crystal_user_town_20200122,BASE TABLE
LINWORLD1_Global_20200605,dbo,__temp_del_bookmark_20181227_2k,BASE TABLE
LINWORLD1_Global_20200605,dbo,__temp_delete_craft_item_20191211,BASE TABLE
LINWORLD1_Global_20200605,dbo,__temp_han_user_item_sigong_15963,BASE TABLE
LINWORLD1_Global_20200605,dbo,__temp_han_user_item_sigong_16164,BASE TABLE
LINWORLD1_Global_20200605,dbo,__temp_quest_20200115,BASE TABLE
LINWORLD1_Global_20200605,dbo,__temp_RestartLocation,BASE TABLE
LINWORLD1_Global_20200605,dbo,__temp_time_overflow_user_item,BASE TABLE
LINWORLD1_Global_20200605,dbo,__temp_topaz_user_item_20200408,BASE TABLE
LINWORLD1_Global_20200605,dbo,__temp_user_data_change_restartXY,BASE TABLE
LINWORLD1_Global_20200605,dbo,__temp_user_data_max_wis_backup,BASE TABLE
LINWORLD1_Global_20200605,dbo,__temp_user_item_change_17894_17901,BASE TABLE
LINWORLD1_Global_20200605,dbo,__temp_user_item_change_17902_17909,BASE TABLE
LINWORLD1_Global_20200605,dbo,__temp_user_item_change_838_839_840,BASE TABLE
