schemaname,tablename,rowcounts,totalspacemb,usedspacemb,unusedspacemb
dbo,__2KUpdateMap,230,0,0,0
dbo,__backup_blood_pledge_join_20200326,3,0,0,0
dbo,__backup_pledge_member_info_20200326,1,0,0,0
dbo,__craft_success_stats,59,0,0,0
dbo,__temp_2K_bookmark_20181227,367,0,0,0
dbo,__temp_befor2K_user_item_01,13666,0,0,0
dbo,__temp_befor2K_user_item_02,304,0,0,0
dbo,__temp_change_category_27370,3161,0,0,0
dbo,__temp_change_category_27370_2,3161,0,0,0
dbo,__temp_crystal_user_item_20200122,1124,0,0,0
dbo,__temp_crystal_user_town_20200122,1064,0,0,0
dbo,__temp_del_bookmark_20181227_2k,744,0,0,0
dbo,__temp_topaz_user_item_20200408,164,0,0,0
dbo,__temp_user_data_change_restartXY,1875,0,0,0
dbo,__temp_user_data_max_wis_backup,8545,0,0,0
dbo,__temp_user_item_change_17894_17901,380,0,0,0
dbo,__temp_user_item_change_17902_17909,531,0,0,0
dbo,__temp_user_item_change_838_839_840,144,0,0,0
dbo,__temp_user_item_change_spellbook_Gunju,27,0,0,0
dbo,__temp_user_item_WandCallLightning,2037,0,0,0
dbo,__temp_user_Spells_101_110,657,0,0,0
dbo,__temp_user_Spells_120,121,0,0,0
dbo,__temp_user_Spells_120_20191204,6,0,0,0
dbo,__temp_user_Spells_145,2803,0,0,0
dbo,__temp_user_Spells_187_192,759,0,0,0
dbo,__temp_user_Spells_208_213,1037,0,0,0
dbo,__temp_user_Spells_backup,3191,0,0,0
dbo,__tempTimeOverflowItemList_TWNSpecial,166,0,0,0
dbo,__update_quest_20200122,889,0,0,0
dbo,__user_item_craft_item_20181031,108,0,0,0
dbo,__temp_han_user_item_sigong_15963,0,0,0,0
dbo,__temp_han_user_item_sigong_16164,0,0,0,0
dbo,__temp_RestartLocation,272,0,0,0
dbo,Account_Contents_Data,214,0,0,0
dbo,account_extra,0,0,0,0
dbo,Account_Point,0,0,0,0
dbo,account_uid,1,0,0,0
dbo,aden_event_coin,0,0,0,0
dbo,aden_event_coin2,0,0,0,0
dbo,admin_ranking,0,0,0,0
dbo,agit_giran,0,0,0,0
dbo,alliance,47,0,0,0
dbo,ArcaActivation,0,0,0,0
dbo,base_chr,0,0,0,0
dbo,base_con,0,0,0,0
dbo,base_dex,0,0,0,0
dbo,base_int,0,0,0,0
