TABLE_CATALOG,TABLE_SCHEMA,TABLE_NAME,COLUMN_NAME,ORDINAL_POSITION,COLUMN_DEFAULT,IS_NULLABLE,DATA_TYPE,CHARACTER_MAXIMUM_LENGTH,CHARACTER_OCTET_LENGTH,NUMERIC_PRECISION,NUMERIC_PRECISION_RADIX,NUMERIC_SCALE,DATETIME_PRECISION,CHARACTER_SET_CATALOG,CHARACTER_SET_SCHEMA,CHARACTER_SET_NAME,COLLATION_CATALOG,COLLATION_SCHEMA,COLLATION_NAME,DOMAIN_CATALOG,DOMAIN_SCHEMA,DOMAIN_NAME
LinDBGlobal_20200605,dbo,block_id_max,block_seed,1,,NO,numeric,,,18.0,10.0,0.0,,,,,,,,,,
LinDBGlobal_20200605,dbo,block_id_max,recent_date,2,(getdate()),NO,datetime,,,,,,3.0,,,,,,,,,
LinDBGlobal_20200605,dbo,QueuingRequests,GUID,1,,NO,int,,,10.0,10.0,0.0,,,,,,,,,,
LinDBGlobal_20200605,dbo,QueuingRequests,Account,2,,NO,varchar,12.0,12.0,,,,,,,cp950,,,Chinese_Taiwan_Stroke_CI_AS,,,
LinDBGlobal_20200605,dbo,QueuingRequests,Login,3,,NO,datetime,,,,,,3.0,,,,,,,,,
LinDBGlobal_20200605,dbo,QueuingRequests,Logout,4,,NO,datetime,,,,,,3.0,,,,,,,,,
LinDBGlobal_20200605,dbo,QueuingRequests,CreateDate,5,(getdate()),NO,datetime,,,,,,3.0,,,,,,,,,
LinDBGlobal_20200605,dbo,block_history,block_id,1,,NO,char,16.0,16.0,,,,,,,cp950,,,Chinese_Taiwan_Stroke_CI_AS,,,
LinDBGlobal_20200605,dbo,block_history,account,2,,NO,varchar,12.0,12.0,,,,,,,cp950,,,Chinese_Taiwan_Stroke_CI_AS,,,
LinDBGlobal_20200605,dbo,block_history,block_stat,3,,NO,tinyint,,,3.0,10.0,0.0,,,,,,,,,,
LinDBGlobal_20200605,dbo,block_history,block_msg,4,,YES,varchar,40.0,40.0,,,,,,,cp950,,,Chinese_Taiwan_Stroke_CI_AS,,,
LinDBGlobal_20200605,dbo,block_history,start_date,5,(getdate()),NO,datetime,,,,,,3.0,,,,,,,,,
LinDBGlobal_20200605,dbo,block_history,category,6,,NO,tinyint,,,3.0,10.0,0.0,,,,,,,,,,
LinDBGlobal_20200605,dbo,block_history,reason,7,,NO,tinyint,,,3.0,10.0,0.0,,,,,,,,,,
LinDBGlobal_20200605,dbo,block_history,duration,8,,NO,int,,,10.0,10.0,0.0,,,,,,,,,,
LinDBGlobal_20200605,dbo,block_history,real_end_date,9,(getdate()),NO,datetime,,,,,,3.0,,,,,,,,,
LinDBGlobal_20200605,dbo,block_history,pay_id_blocked,10,,YES,char,16.0,16.0,,,,,,,cp950,,,Chinese_Taiwan_Stroke_CI_AS,,,
LinDBGlobal_20200605,dbo,block_history,pay_change,11,((0)),NO,tinyint,,,3.0,10.0,0.0,,,,,,,,,,
LinDBGlobal_20200605,dbo,block_history,new_pay_id,12,,YES,char,16.0,16.0,,,,,,,cp950,,,Chinese_Taiwan_Stroke_CI_AS,,,
LinDBGlobal_20200605,dbo,block_history,manual_release,13,,YES,char,1.0,1.0,,,,,,,cp950,,,Chinese_Taiwan_Stroke_CI_AS,,,
LinDBGlobal_20200605,dbo,Results,account,1,,NO,varchar,12.0,12.0,,,,,,,cp950,,,Chinese_Taiwan_Stroke_CI_AS,,,
LinDBGlobal_20200605,dbo,shop,class,1,,NO,int,,,10.0,10.0,0.0,,,,,,,,,,
LinDBGlobal_20200605,dbo,shop,id,2,,NO,char,10.0,10.0,,,,,,,cp950,,,Chinese_Taiwan_Stroke_CI_AS,,,
LinDBGlobal_20200605,dbo,shop,name,3,,YES,varchar,10.0,10.0,,,,,,,cp950,,,Chinese_Taiwan_Stroke_CI_AS,,,
LinDBGlobal_20200605,dbo,shop,code,4,,NO,char,2.0,2.0,,,,,,,cp950,,,Chinese_Taiwan_Stroke_CI_AS,,,
LinDBGlobal_20200605,dbo,shop,reg_id,5,,NO,char,10.0,10.0,,,,,,,cp950,,,Chinese_Taiwan_Stroke_CI_AS,,,
LinDBGlobal_20200605,dbo,bad_userlist,account,1,,NO,char,13.0,13.0,,,,,,,cp950,,,Chinese_Taiwan_Stroke_CI_AS,,,
LinDBGlobal_20200605,dbo,bad_userlist,start_date,2,,YES,datetime,,,,,,3.0,,,,,,,,,
LinDBGlobal_20200605,dbo,bad_userlist,status,3,((0)),NO,smallint,,,5.0,10.0,0.0,,,,,,,,,,
LinDBGlobal_20200605,dbo,SumResult,ip,1,,NO,char,16.0,16.0,,,,,,,cp950,,,Chinese_Taiwan_Stroke_CI_AS,,,
LinDBGlobal_20200605,dbo,SumResult,curYear,2,,NO,int,,,10.0,10.0,0.0,,,,,,,,,,
LinDBGlobal_20200605,dbo,SumResult,curMonth,3,,NO,int,,,10.0,10.0,0.0,,,,,,,,,,
LinDBGlobal_20200605,dbo,SumResult,usage_time,4,,NO,int,,,10.0,10.0,0.0,,,,,,,,,,
LinDBGlobal_20200605,dbo,SumResult,code,5,,YES,char,10.0,10.0,,,,,,,cp950,,,Chinese_Taiwan_Stroke_CI_AS,,,
LinDBGlobal_20200605,dbo,T0_611639,act,1,,YES,varchar,20.0,20.0,,,,,,,cp950,,,Chinese_Taiwan_Stroke_CI_AS,,,
LinDBGlobal_20200605,dbo,tmp_server_kind,ip,1,,NO,varchar,15.0,15.0,,,,,,,cp950,,,Chinese_Taiwan_Stroke_CI_AS,,,
LinDBGlobal_20200605,dbo,tmp_server_kind,kind,2,,NO,int,,,10.0,10.0,0.0,,,,,,,,,,
LinDBGlobal_20200605,dbo,AccountGameSlot,gameAccountNo,1,,NO,int,,,10.0,10.0,0.0,,,,,,,,,,
