TABLE_CATALOG,TABLE_SCHEMA,TABLE_NAME,TABLE_TYPE
LinDBGlobal_20200605,dbo,block_id_max,BASE TABLE
LinDBGlobal_20200605,dbo,QueuingRequests,BASE TABLE
LinDBGlobal_20200605,dbo,block_history,BASE TABLE
LinDBGlobal_20200605,dbo,Results,BASE TABLE
LinDBGlobal_20200605,dbo,shop,BASE TABLE
LinDBGlobal_20200605,dbo,bad_userlist,BASE TABLE
LinDBGlobal_20200605,dbo,SumResult,BASE TABLE
LinDBGlobal_20200605,dbo,T0_611639,BASE TABLE
LinDBGlobal_20200605,dbo,tmp_server_kind,BASE TABLE
LinDBGlobal_20200605,dbo,AccountGameSlot,BASE TABLE
LinDBGlobal_20200605,dbo,account_uid,BASE TABLE
LinDBGlobal_20200605,dbo,GameAccountTask_611639_T0_1,BASE TABLE
LinDBGlobal_20200605,dbo,GameAccountTask_611639_T0_2,BASE TABLE
LinDBGlobal_20200605,dbo,GameAccountTask_611639_T0_3,BASE TABLE
LinDBGlobal_20200605,dbo,GameAccountTask_611639_T0_4,BASE TABLE
LinDBGlobal_20200605,dbo,GameAccountTask_611639_T0_5,BASE TABLE
LinDBGlobal_20200605,dbo,Console_Satellite_Out,BASE TABLE
LinDBGlobal_20200605,dbo,Console_Satellite_Out_01,BASE TABLE
LinDBGlobal_20200605,dbo,Console_Satellite_Out_02,BASE TABLE
LinDBGlobal_20200605,dbo,User_info,BASE TABLE
LinDBGlobal_20200605,dbo,Console_Satellite_Out_03,BASE TABLE
LinDBGlobal_20200605,dbo,Console_Satellite_Out_04,BASE TABLE
LinDBGlobal_20200605,dbo,Console_Satellite_Out_05,BASE TABLE
LinDBGlobal_20200605,dbo,Console_Satellite_Out_06,BASE TABLE
LinDBGlobal_20200605,dbo,Console_Satellite_Out_07,BASE TABLE
LinDBGlobal_20200605,dbo,penalty_box,BASE TABLE
LinDBGlobal_20200605,dbo,PCRegister,BASE TABLE
LinDBGlobal_20200605,dbo,Console_Satellite_Out_08,BASE TABLE
LinDBGlobal_20200605,dbo,user_password,BASE TABLE
LinDBGlobal_20200605,dbo,user_char,BASE TABLE
LinDBGlobal_20200605,dbo,user_block,BASE TABLE
LinDBGlobal_20200605,dbo,user_account,BASE TABLE
LinDBGlobal_20200605,dbo,total_user,BASE TABLE
LinDBGlobal_20200605,dbo,ssn_account,BASE TABLE
LinDBGlobal_20200605,dbo,ssn,BASE TABLE
LinDBGlobal_20200605,dbo,server_kind,BASE TABLE
LinDBGlobal_20200605,dbo,quiz,BASE TABLE
LinDBGlobal_20200605,dbo,beanfun_beta,BASE TABLE
LinDBGlobal_20200605,dbo,coupon_account,BASE TABLE
LinDBGlobal_20200605,dbo,AccountSecurityService,BASE TABLE
LinDBGlobal_20200605,dbo,curUser,BASE TABLE
LinDBGlobal_20200605,dbo,deckrancheck,BASE TABLE
LinDBGlobal_20200605,dbo,iptable,BASE TABLE
LinDBGlobal_20200605,dbo,GoodLock_Event_List,BASE TABLE
LinDBGlobal_20200605,dbo,block_ssn_history,BASE TABLE
LinDBGlobal_20200605,dbo,iplog,BASE TABLE
LinDBGlobal_20200605,dbo,block_reason_code,BASE TABLE
LinDBGlobal_20200605,dbo,iplog_new,BASE TABLE
LinDBGlobal_20200605,dbo,LockTask,BASE TABLE
LinDBGlobal_20200605,dbo,block_msg,BASE TABLE
