schemaname,tablename,rowcounts,totalspacemb,usedspacemb,unusedspacemb
dbo,AccountSecurityService,0,0,0,0
dbo,bad_userlist,0,0,0,0
dbo,beanfun_beta,0,0,0,0
dbo,block_history,0,0,0,0
dbo,block_id_max,0,0,0,0
dbo,block_msg,0,0,0,0
dbo,block_reason_code,0,0,0,0
dbo,block_ssn_history,0,0,0,0
dbo,Console_Satellite_Out,0,0,0,0
dbo,Console_Satellite_Out_01,0,0,0,0
dbo,Console_Satellite_Out_02,0,0,0,0
dbo,Console_Satellite_Out_03,0,0,0,0
dbo,Console_Satellite_Out_04,0,0,0,0
dbo,Console_Satellite_Out_05,0,0,0,0
dbo,Console_Satellite_Out_06,0,0,0,0
dbo,Console_Satellite_Out_07,0,0,0,0
dbo,Console_Satellite_Out_08,0,0,0,0
dbo,coupon_account,0,0,0,0
dbo,curUser,0,0,0,0
dbo,deckrancheck,0,0,0,0
dbo,GameAccountTask_611639_T0_1,0,0,0,0
dbo,GameAccountTask_611639_T0_2,0,0,0,0
dbo,GameAccountTask_611639_T0_3,0,0,0,0
dbo,GameAccountTask_611639_T0_4,0,0,0,0
dbo,GameAccountTask_611639_T0_5,0,0,0,0
dbo,GoodLock_Event_List,0,0,0,0
dbo,iplog,0,0,0,0
dbo,iplog_new,0,0,0,0
dbo,iptable,0,0,0,0
dbo,LockTask,0,0,0,0
dbo,PCRegister,0,0,0,0
dbo,penalty_box,0,0,0,0
dbo,QueuingRequests,0,0,0,0
dbo,quiz,0,0,0,0
dbo,Results,0,0,0,0
dbo,server_kind,12,0,0,0
dbo,shop,0,0,0,0
dbo,ssn,0,0,0,0
dbo,ssn_account,0,0,0,0
dbo,SumResult,0,0,0,0
dbo,T0_611639,0,0,0,0
dbo,tmp_server_kind,10,0,0,0
dbo,user_block,0,0,0,0
dbo,user_char,0,0,0,0
dbo,total_user,298723,6,6,0
dbo,AccountGameSlot,135849,7,7,0
dbo,account_uid,199023,13,13,0
dbo,User_info,199024,26,26,0
dbo,user_password,199024,31,31,0
dbo,user_account,199023,54,54,0
