type,layers,gamename,startdate,enddate,parenthivedb,parentdbname,parenttablename,parentcolumnname,orihivedb,oridbname,oritablename,oricolumnname,hivedb,dbname,tablename,columnname,logstartdate,logenddate,dtbeforeday,dtafterday,logfilename,log,sql,memo,memo2
all,1,lineage,2019-12-01,,,,,,all,lindbglobal,accountgameslot,,extract,lindbglobal,accountgameslot,,,,,,,,,尚未確定(大於1M),
all,1,lineage,2019-12-01,,,,,,all,lindbglobal,accountsecurityservice,,extract,lindbglobal,accountsecurityservice,,,,,,,,,尚未確定(0M),
all,1,lineage,2019-12-01,,,,,,all,lindbglobal,bad_userlist,,extract,lindbglobal,bad_userlist,,,,,,,,,尚未確定(0M),
all,1,lineage,2019-12-01,,,,,,all,lindbglobal,beanfun_beta,,extract,lindbglobal,beanfun_beta,,,,,,,,,尚未確定(0M),
all,1,lineage,2019-12-01,,,,,,all,lindbglobal,block_history,,extract,lindbglobal,block_history,,,,,,,,,尚未確定(0M),
all,1,lineage,2019-12-01,,,,,,all,lindbglobal,block_id_max,,extract,lindbglobal,block_id_max,,,,,,,,,尚未確定(0M),
all,1,lineage,2019-12-01,,,,,,all,lindbglobal,block_msg,,extract,lindbglobal,block_msg,,,,,,,,,尚未確定(0M),
all,1,lineage,2019-12-01,,,,,,all,lindbglobal,block_reason_code,,extract,lindbglobal,block_reason_code,,,,,,,,,尚未確定(0M),
all,1,lineage,2019-12-01,,,,,,all,lindbglobal,block_ssn_history,,extract,lindbglobal,block_ssn_history,,,,,,,,,尚未確定(0M),
all,1,lineage,2019-12-01,,,,,,all,lindbglobal,coupon_account,,extract,lindbglobal,coupon_account,,,,,,,,,尚未確定(0M),
all,1,lineage,2019-12-01,,,,,,all,lindbglobal,curuser,,extract,lindbglobal,curuser,,,,,,,,,尚未確定(0M),
all,1,lineage,2019-12-01,,,,,,all,lindbglobal,deckrancheck,,extract,lindbglobal,deckrancheck,,,,,,,,,尚未確定(0M),
all,1,lineage,2019-12-01,,,,,,all,lindbglobal,goodlock_event_list,,extract,lindbglobal,goodlock_event_list,,,,,,,,,尚未確定(0M),
all,1,lineage,2019-12-01,,,,,,all,lindbglobal,iplog,,extract,lindbglobal,iplog,,,,,,,,,尚未確定(0M),
all,1,lineage,2019-12-01,,,,,,all,lindbglobal,iplog_new,,extract,lindbglobal,iplog_new,,,,,,,,,尚未確定(0M),
all,1,lineage,2019-12-01,,,,,,all,lindbglobal,iptable,,extract,lindbglobal,iptable,,,,,,,,,尚未確定(0M),
all,1,lineage,2019-12-01,,,,,,all,lindbglobal,locktask,,extract,lindbglobal,locktask,,,,,,,,,尚未確定(0M),
all,1,lineage,2019-12-01,,,,,,all,lindbglobal,pcregister,,extract,lindbglobal,pcregister,,,,,,,,,尚未確定(0M),
all,1,lineage,2019-12-01,,,,,,all,lindbglobal,penalty_box,,extract,lindbglobal,penalty_box,,,,,,,,,尚未確定(0M),
all,1,lineage,2019-12-01,,,,,,all,lindbglobal,queuingrequests,,extract,lindbglobal,queuingrequests,,,,,,,,,尚未確定(0M),
all,1,lineage,2019-12-01,,,,,,all,lindbglobal,quiz,,extract,lindbglobal,quiz,,,,,,,,,尚未確定(0M),
all,1,lineage,2019-12-01,,,,,,all,lindbglobal,results,,extract,lindbglobal,results,,,,,,,,,尚未確定(0M),
all,1,lineage,2019-12-01,,,,,,all,lindbglobal,server_kind,,extract,lindbglobal,server_kind,,,,,,,,,尚未確定(小於500K),
all,1,lineage,2019-12-01,,,,,,all,lindbglobal,shop,,extract,lindbglobal,shop,,,,,,,,,尚未確定(0M),
all,1,lineage,2019-12-01,,,,,,all,lindbglobal,ssn,,extract,lindbglobal,ssn,,,,,,,,,尚未確定(0M),
all,1,lineage,2019-12-01,,,,,,all,lindbglobal,ssn_account,,extract,lindbglobal,ssn_account,,,,,,,,,尚未確定(0M),
all,1,lineage,2019-12-01,,,,,,all,lindbglobal,sumresult,,extract,lindbglobal,sumresult,,,,,,,,,尚未確定(0M),
all,1,lineage,2019-12-01,,,,,,all,lindbglobal,total_user,,extract,lindbglobal,total_user,,,,,,,,,線上人數統計(每5分鐘新增)(大於1M),
all,1,lineage,2019-12-01,,,,,,all,lindbglobal,user_block,,extract,lindbglobal,user_block,,,,,,,,,尚未確定(0M),
all,1,lineage,2019-12-01,,,,,,all,lindbglobal,user_char,,extract,lindbglobal,user_char,,,,,,,,,尚未確定(0M),
grammar,1,lineage,2019-12-01,,extract,init,onliontimebyaccount,account,all,lindbglobal,account_uid,account,extract,lindbglobal,account_uid,,,,,,,,,使用者帳號UID(大於10M),
grammar,1,lineage,2019-12-01,,extract,init,onliontimebyaccount,account,all,lindbglobal,user_account,account,extract,lindbglobal,user_account,,,,,,,,,使用者帳號(大於10M),
grammar,1,lineage,2019-12-01,,extract,init,onliontimebyaccount,account,all,lindbglobal,user_info,account,extract,lindbglobal,user_info,,,,,,,,,帳號資訊(大於10M),
