type,layers,gamename,startdate,enddate,parenthivedb,parentdbname,parenttablename,parentcolumnname,orihivedb,oridbname,oritablename,oricolumnname,hivedb,dbname,tablename,columnname,logstartdate,logenddate,dtbeforeday,dtafterday,logfilename,log,sql,memo,memo2
all,1,lineage,2019-12-01,,,,,,all,linworld_global,account_contents_data,,extract,linworld_global,account_contents_data,,,,,,,,,尚未確定(小於500K),
all,1,lineage,2019-12-01,,,,,,all,linworld_global,account_extra,,extract,linworld_global,account_extra,,,,,,,,,尚未確定(0M),
all,1,lineage,2019-12-01,,,,,,all,linworld_global,account_point,,extract,linworld_global,account_point,,,,,,,,,尚未確定(0M),
all,1,lineage,2019-12-01,,,,,,all,linworld_global,account_uid,,extract,linworld_global,account_uid,,,,,,,,,尚未確定(小於500K),
all,1,lineage,2019-12-01,,,,,,all,linworld_global,aden_event_coin,,extract,linworld_global,aden_event_coin,,,,,,,,,尚未確定(0M),
all,1,lineage,2019-12-01,,,,,,all,linworld_global,aden_event_coin2,,extract,linworld_global,aden_event_coin2,,,,,,,,,尚未確定(0M),
all,1,lineage,2019-12-01,,,,,,all,linworld_global,admin_ranking,,extract,linworld_global,admin_ranking,,,,,,,,,尚未確定(0M),
all,1,lineage,2019-12-01,,,,,,all,linworld_global,agit,,extract,linworld_global,agit,,,,,,,,,血盟小屋(大於1M),
all,1,lineage,2019-12-01,,,,,,all,linworld_global,agit_giran,,extract,linworld_global,agit_giran,,,,,,,,,尚未確定(0M),
all,1,lineage,2019-12-01,,,,,,all,linworld_global,alliance,,extract,linworld_global,alliance,,,,,,,,,同盟資訊?(小於500K),
all,1,lineage,2019-12-01,,,,,,all,linworld_global,arcaactivation,,extract,linworld_global,arcaactivation,,,,,,,,,尚未確定(0M),
all,1,lineage,2019-12-01,,,,,,all,linworld_global,base_chr,,extract,linworld_global,base_chr,,,,,,,,,尚未確定(0M),
all,1,lineage,2019-12-01,,,,,,all,linworld_global,base_con,,extract,linworld_global,base_con,,,,,,,,,尚未確定(0M),
all,1,lineage,2019-12-01,,,,,,all,linworld_global,base_dex,,extract,linworld_global,base_dex,,,,,,,,,尚未確定(0M),
all,1,lineage,2019-12-01,,,,,,all,linworld_global,base_int,,extract,linworld_global,base_int,,,,,,,,,尚未確定(0M),
all,1,lineage,2019-12-01,,,,,,all,linworld_global,base_str,,extract,linworld_global,base_str,,,,,,,,,尚未確定(0M),
all,1,lineage,2019-12-01,,,,,,all,linworld_global,base_wis,,extract,linworld_global,base_wis,,,,,,,,,尚未確定(0M),
all,1,lineage,2019-12-01,,,,,,all,linworld_global,bbs,,extract,linworld_global,bbs,,,,,,,,,尚未確定(0M),
all,1,lineage,2019-12-01,,,,,,all,linworld_global,bbs_burned,,extract,linworld_global,bbs_burned,,,,,,,,,尚未確定(0M),
all,1,lineage,2019-12-01,,,,,,all,linworld_global,bbs_cgiran,,extract,linworld_global,bbs_cgiran,,,,,,,,,尚未確定(0M),
