TABLE_CATALOG,TABLE_SCHEMA,TABLE_NAME,TABLE_TYPE
LINWORLD2_20200616,dbo,__temp_account_extra_temp,BASE TABLE
LINWORLD2_20200616,dbo,__temp_account_extra_temp_02,BASE TABLE
LINWORLD1_20200616,dbo,__temp_CharacterSpellDelete_Gunju,BASE TABLE
LINWORLD1_20200616,dbo,__temp_CharacterSpellDelete_Han,BASE TABLE
LINWORLD1_20200616,dbo,__temp_del_bookmark_20151002,BASE TABLE
LINWORLD1_20200616,dbo,__temp_del_bookmark_20170504,BASE TABLE
LINWORLD1_20200616,dbo,__temp_del_bookmark_20171108,BASE TABLE
LINWORLD1_20200616,dbo,__temp_del_bookmark_20180103,BASE TABLE
LINWORLD1_20200616,dbo,__temp_time_overflow_user_item,BASE TABLE
LINWORLD1_20200616,dbo,__temp_user_item_change_spellbook_Gunju,BASE TABLE
LINWORLD1_20200616,dbo,__temp_user_item_WandCallLightning,BASE TABLE
LINWORLD2_20200616,dbo,__temp_user_item_weddingRing,BASE TABLE
LINWORLD1_20200616,dbo,__tempTimeOverflowItemList_TWN,BASE TABLE
LINWORLD1_20200616,dbo,__user_item_craft_item_20181031,BASE TABLE
LINWORLD1_20200616,dbo,__user_Slots,BASE TABLE
LINWORLD1_20200616,dbo,_indexshift,BASE TABLE
LINWORLD1_20200616,dbo,_indexshift_2nd,BASE TABLE
LINWORLD1_20200616,dbo,_indexshift_3rd,BASE TABLE
LINWORLD1_20200616,dbo,_indexshift_4th,BASE TABLE
LINWORLD1_20200616,dbo,_process,BASE TABLE
LINWORLD1_20200616,dbo,_process_2nd,BASE TABLE
LINWORLD1_20200616,dbo,_process_3rd,BASE TABLE
LINWORLD1_20200616,dbo,_process_4th,BASE TABLE
LINWORLD1_20200616,dbo,_tablerows,BASE TABLE
LINWORLD1_20200616,dbo,Account_Contents_Data,BASE TABLE
LINWORLD1_20200616,dbo,account_extra,BASE TABLE
LINWORLD1_20200616,dbo,achievement_completed_achievement,BASE TABLE
LINWORLD1_20200616,dbo,achievement_criteria_progress,BASE TABLE
LINWORLD1_20200616,dbo,admin_ranking,BASE TABLE
LINWORLD1_20200616,dbo,agit,BASE TABLE
LINWORLD1_20200616,dbo,agit_giran,BASE TABLE
LINWORLD1_20200616,dbo,alliance,BASE TABLE
LINWORLD1_20200616,dbo,ArcaActivation,BASE TABLE
LINWORLD2_20200616,dbo,ArcaWorld_Character_Temp_S2_S51_S53,BASE TABLE
LINWORLD1_20200616,dbo,ArenaUser,BASE TABLE
LINWORLD1_20200616,dbo,backup_agit,BASE TABLE
LINWORLD1_20200616,dbo,backup_castle,BASE TABLE
LINWORLD1_20200616,dbo,bbs,BASE TABLE
LINWORLD1_20200616,dbo,bbs_burned,BASE TABLE
LINWORLD1_20200616,dbo,bbs_cgiran,BASE TABLE
LINWORLD1_20200616,dbo,bbs_ckent,BASE TABLE
LINWORLD1_20200616,dbo,bbs_corc,BASE TABLE
LINWORLD1_20200616,dbo,bbs_cwinda,BASE TABLE
LINWORLD1_20200616,dbo,bbs_elven,BASE TABLE
LINWORLD1_20200616,dbo,blood_pledge,BASE TABLE
LINWORLD1_20200616,dbo,blood_pledge_join,BASE TABLE
LINWORLD1_20200616,dbo,blood_pledge_rest_exp_reduce_effciency,BASE TABLE
LINWORLD1_20200616,dbo,booking_data,BASE TABLE
LINWORLD1_20200616,dbo,bookmark,BASE TABLE
LINWORLD1_20200616,dbo,bookmark_store,BASE TABLE
LINWORLD1_20200616,dbo,castle,BASE TABLE
LINWORLD1_20200616,dbo,castle_npc,BASE TABLE
LINWORLD1_20200616,dbo,char_change,BASE TABLE
LINWORLD1_20200616,dbo,char_name_change,BASE TABLE
LINWORLD2_20200616,dbo,char_name_change_201511,BASE TABLE
LINWORLD1_20200616,dbo,char_name_change_201701,BASE TABLE
LINWORLD2_20200616,dbo,char_name_change_202005,BASE TABLE
LINWORLD2_20200616,dbo,char_name_change_bak,BASE TABLE
LINWORLD2_20200616,dbo,char_name_change_Old,BASE TABLE
LINWORLD1_20200616,dbo,cn_rank_adena,BASE TABLE
LINWORLD1_20200616,dbo,cn_rank_character,BASE TABLE
LINWORLD1_20200616,dbo,cn_rank_item_enchant,BASE TABLE
LINWORLD1_20200616,dbo,cn_rank_payment,BASE TABLE
LINWORLD1_20200616,dbo,cn_rank_pk,BASE TABLE
LINWORLD1_20200616,dbo,cn_rank_pledge,BASE TABLE
LINWORLD1_20200616,dbo,col_reward_item,BASE TABLE
LINWORLD1_20200616,dbo,col_reward_score,BASE TABLE
LINWORLD1_20200616,dbo,col_reward_time,BASE TABLE
LINWORLD1_20200616,dbo,col_score,BASE TABLE
LINWORLD1_20200616,dbo,craft_success_stats,BASE TABLE
LINWORLD1_20200616,dbo,curUser,BASE TABLE
LINWORLD1_20200616,dbo,DeckranBackup,BASE TABLE
LINWORLD1_20200616,dbo,deckrancheck,BASE TABLE
LINWORLD1_20200616,dbo,delete_user_item_0_4,BASE TABLE
LINWORLD1_20200616,dbo,delete_user_item_2,BASE TABLE
LINWORLD1_20200616,dbo,DelRoleResult,BASE TABLE
LINWORLD1_20200616,dbo,differ,VIEW
LINWORLD1_20200616,dbo,dogfight,BASE TABLE
LINWORLD1_20200616,dbo,dtproperties,BASE TABLE
LINWORLD1_20200616,dbo,emblem,BASE TABLE
LINWORLD1_20200616,dbo,event_score,BASE TABLE
LINWORLD1_20200616,dbo,eventExp,BASE TABLE
LINWORLD1_20200616,dbo,furniture,BASE TABLE
LINWORLD1_20200616,dbo,game_time,BASE TABLE
LINWORLD1_20200616,dbo,GP_NPC_MATCH,BASE TABLE
LINWORLD1_20200616,dbo,inn,BASE TABLE
LINWORLD1_20200616,dbo,InstanceDungeonRenewal_201706,BASE TABLE
LINWORLD1_20200616,dbo,ip_trace,BASE TABLE
LINWORLD1_20200616,dbo,item_boost,BASE TABLE
LINWORLD1_20200616,dbo,item_cost,BASE TABLE
LINWORLD1_20200616,dbo,item_desc,BASE TABLE
LINWORLD1_20200616,dbo,item_magic_attr,BASE TABLE
LINWORLD1_20200616,dbo,item_rental,BASE TABLE
LINWORLD1_20200616,dbo,item_seal,BASE TABLE
LINWORLD1_20200616,dbo,item21546bless1,BASE TABLE
LINWORLD1_20200616,dbo,item21546bless129,BASE TABLE
LINWORLD1_20200616,dbo,ItemName,BASE TABLE
LINWORLD1_20200616,dbo,lastrace,BASE TABLE
LINWORLD1_20200616,dbo,lmail,BASE TABLE
LINWORLD1_20200616,dbo,log_sihon_rank,BASE TABLE
LINWORLD1_20200616,dbo,lv_ItemConfig,VIEW
LINWORLD1_20200616,dbo,lv_UserItemExtension,VIEW
LINWORLD1_20200616,dbo,map_time_limit,BASE TABLE
LINWORLD1_20200616,dbo,MerchantLimitGoods,BASE TABLE
LINWORLD1_20200616,dbo,Merger_Rename_Fail,BASE TABLE
LINWORLD1_20200616,dbo,Monitoring_Item_Amount,BASE TABLE
LINWORLD1_20200616,dbo,MonsterBookV2_Book,BASE TABLE
LINWORLD1_20200616,dbo,MonsterBookV2_Card,BASE TABLE
LINWORLD1_20200616,dbo,MonsterBookV2_Deck,BASE TABLE
LINWORLD1_20200616,dbo,NoticeContent,BASE TABLE
LINWORLD1_20200616,dbo,npc,BASE TABLE
LINWORLD1_20200616,dbo,npc_item,BASE TABLE
LINWORLD1_20200616,dbo,npc_lastrecord,BASE TABLE
LINWORLD1_20200616,dbo,orc_server_exp,BASE TABLE
LINWORLD1_20200616,dbo,pk,BASE TABLE
LINWORLD1_20200616,dbo,pledge_match_making_enrollment,BASE TABLE
LINWORLD1_20200616,dbo,pledge_member_info,BASE TABLE
