schemaname,tablename,rowcounts,totalspacemb,usedspacemb,unusedspacemb
dbo,__temp_account_extra_temp,0,0,0,0
dbo,__temp_account_extra_temp_02,0,0,0,0
dbo,__temp_del_bookmark_20151002,17753,0,0,0
dbo,__temp_del_bookmark_20171108,11467,0,0,0
dbo,__temp_del_bookmark_20180103,0,0,0,0
dbo,_indexshift,8,0,0,0
dbo,_indexshift_2nd,8,0,0,0
dbo,_indexshift_3rd,8,0,0,0
dbo,_indexshift_4th,8,0,0,0
dbo,_process,66,0,0,0
dbo,_process_2nd,66,0,0,0
dbo,_process_3rd,58,0,0,0
dbo,_process_4th,58,0,0,0
dbo,_tablerows,0,0,0,0
dbo,__tempTimeOverflowItemList_TWN,148,0,0,0
dbo,__user_item_craft_item_20181031,9760,0,0,0
dbo,admin_ranking,0,0,0,0
dbo,agit,129,0,0,0
dbo,agit_giran,0,0,0,0
dbo,alliance,22,0,0,0
dbo,backup_agit,129,0,0,0
dbo,backup_castle,7,0,0,0
dbo,bbs,1,0,0,0
dbo,bbs_burned,0,0,0,0
dbo,bbs_cgiran,0,0,0,0
dbo,bbs_ckent,0,0,0,0
dbo,bbs_corc,0,0,0,0
dbo,bbs_cwinda,0,0,0,0
dbo,bbs_elven,0,0,0,0
dbo,account_extra,0,0,0,0
dbo,ArcaWorld_Character_Temp_S2_S51_S53,1427,0,0,0
dbo,blood_pledge_join,12,0,0,0
dbo,blood_pledge_rest_exp_reduce_effciency,29,0,0,0
dbo,booking_data,20,0,0,0
dbo,castle,7,0,0,0
dbo,castle_npc,33,0,0,0
dbo,char_change,0,0,0,0
dbo,cn_rank_adena,50,0,0,0
dbo,cn_rank_character,364,0,0,0
dbo,cn_rank_item_enchant,100,0,0,0
dbo,cn_rank_payment,50,0,0,0
dbo,cn_rank_pk,200,0,0,0
dbo,cn_rank_pledge,20,0,0,0
dbo,col_reward_item,5,0,0,0
dbo,col_reward_score,11,0,0,0
dbo,col_reward_time,1,0,0,0
dbo,col_score,101,0,0,0
dbo,craft_success_stats,127,0,0,0
dbo,curUser,0,0,0,0
dbo,DeckranBackup,946,0,0,0
dbo,delete_user_item_2,463,0,0,0
dbo,DelRoleResult,3126,0,0,0
dbo,event_score,1788,0,0,0
dbo,eventExp,0,0,0,0
dbo,furniture,271,0,0,0
dbo,game_time,1,0,0,0
dbo,GP_NPC_MATCH,40,0,0,0
dbo,item_magic_attr,3319,0,0,0
dbo,item_rental,0,0,0,0
dbo,item_seal,0,0,0,0
dbo,item21546bless1,7,0,0,0
dbo,item21546bless129,2,0,0,0
dbo,ItemName,0,0,0,0
dbo,lastrace,2,0,0,0
dbo,ip_trace,0,0,0,0
dbo,item_boost,0,0,0,0
dbo,item_cost,6472,0,0,0
dbo,log_sihon_rank,99,0,0,0
dbo,map_time_limit,759,0,0,0
dbo,MerchantLimitGoods,13,0,0,0
dbo,Merger_Rename_Fail,68,0,0,0
dbo,Monitoring_Item_Amount,0,0,0,0
dbo,NoticeContent,0,0,0,0
dbo,npc_item,0,0,0,0
dbo,npc_lastrecord,0,0,0,0
dbo,orc_server_exp,0,0,0,0
dbo,pk,13,0,0,0
dbo,pledge_match_making_enrollment,313,0,0,0
dbo,pledge_name_change_201511,0,0,0,0
dbo,pledge_name_change_201701,924,0,0,0
dbo,pledge_name_change_old,2022,0,0,0
dbo,pledge_watch_list,184,0,0,0
dbo,server_value,14,0,0,0
dbo,servernum,1,0,0,0
dbo,Siege_BloodPledge_Point,41,0,0,0
dbo,Siege_Castle_History,391,0,0,0
dbo,Siege_Castle_Property,7,0,0,0
dbo,sihon_tower_history_rank,3,0,0,0
dbo,sihon_tower_rank,0,0,0,0
dbo,sihon_tower_rewardItem,9,0,0,0
dbo,ST_PK,0,0,0,0
dbo,sysdiagrams,0,0,0,0
dbo,temp_ArcaWorld_Character_1,5334,0,0,0
