TABLE_CATALOG,TABLE_SCHEMA,TABLE_NAME,TABLE_TYPE
LinDB_20200616,dbo,QueuingRequests,BASE TABLE
LinDB_20200616,dbo,card_try,BASE TABLE
LinDB_20200616,dbo,company,BASE TABLE
LinDB_20200616,dbo,Console_Satellite_Out_08,BASE TABLE
LinDB_20200616,dbo,coupon_account,BASE TABLE
LinDB_20200616,dbo,curUser,BASE TABLE
LinDB_20200616,dbo,account_uid,BASE TABLE
LinDB_20200616,dbo,total_user,BASE TABLE
LinDB_20200616,dbo,holiday,BASE TABLE
LinDB_20200616,dbo,Auto_Block_ID,BASE TABLE
LinDB_20200616,dbo,iplog,BASE TABLE
LinDB_20200616,dbo,iplog_new,BASE TABLE
LinDB_20200616,dbo,Console_Satellite_Out_log,BASE TABLE
LinDB_20200616,dbo,ipspecific,BASE TABLE
LinDB_20200616,dbo,iptable,BASE TABLE
LinDB_20200616,dbo,tmp_mem,BASE TABLE
LinDB_20200616,dbo,ispstoplog,BASE TABLE
LinDB_20200616,dbo,quiz,BASE TABLE
LinDB_20200616,dbo,deckrancheck,BASE TABLE
LinDB_20200616,dbo,Results,BASE TABLE
LinDB_20200616,dbo,user_account,BASE TABLE
LinDB_20200616,dbo,shop,BASE TABLE
LinDB_20200616,dbo,space_temp,BASE TABLE
LinDB_20200616,dbo,ssn,BASE TABLE
LinDB_20200616,dbo,st_db_size,BASE TABLE
LinDB_20200616,dbo,st_diskspace_history,BASE TABLE
LinDB_20200616,dbo,st_diskspace_now,BASE TABLE
LinDB_20200616,dbo,st_iplog,BASE TABLE
LinDB_20200616,dbo,E20040702_delaccount,BASE TABLE
LinDB_20200616,dbo,st_iptable,BASE TABLE
LinDB_20200616,dbo,st_server_load,BASE TABLE
LinDB_20200616,dbo,user_block,BASE TABLE
LinDB_20200616,dbo,st_space,BASE TABLE
LinDB_20200616,dbo,st_user,BASE TABLE
LinDB_20200616,dbo,ssn_account,BASE TABLE
LinDB_20200616,dbo,st_user_data,BASE TABLE
LinDB_20200616,dbo,SumResult,BASE TABLE
LinDB_20200616,dbo,PCRegister,BASE TABLE
LinDB_20200616,dbo,temp_account,BASE TABLE
LinDB_20200616,dbo,temp_account1,BASE TABLE
LinDB_20200616,dbo,block_reason_code,BASE TABLE
LinDB_20200616,dbo,user_password,BASE TABLE
LinDB_20200616,dbo,user_cnt,BASE TABLE
LinDB_20200616,dbo,block_msg,BASE TABLE
LinDB_20200616,dbo,User_info,BASE TABLE
LinDB_20200616,dbo,User_lock_reason,BASE TABLE
LinDB_20200616,dbo,block_id_max,BASE TABLE
LinDB_20200616,dbo,user_memo,BASE TABLE
LinDB_20200616,dbo,block_history,BASE TABLE
LinDB_20200616,dbo,USER_TEMP,BASE TABLE
LinDB_20200616,dbo,bad_userlist,BASE TABLE
LinDB_20200616,dbo,TABLE1_TEMP,BASE TABLE
LinDB_20200616,dbo,winners,BASE TABLE
LinDB_20200616,dbo,AccountSecurityService,BASE TABLE
LinDB_20200616,dbo,PlaySafe,BASE TABLE
LinDB_20200616,dbo,user_account_20080130,BASE TABLE
LinDB_20200616,dbo,AccountGameSlot,BASE TABLE
LinDB_20200616,dbo,PlaySafe_20080131,BASE TABLE
LinDB_20200616,dbo,user_account_20080131,BASE TABLE
LinDB_20200616,dbo,VW_ServiceMonitor,VIEW
LinDB_20200616,dbo,tb_gama_lock,BASE TABLE
LinDB_20200616,dbo,tb_account_unlock_backup_20081201,BASE TABLE
LinDB_20200616,dbo,VW_TotalUsersQuery,VIEW
LinDB_20200616,dbo,beanfun_beta,BASE TABLE
LinDB_20200616,dbo,GameAccountTask_600035_T7_1,BASE TABLE
LinDB_20200616,dbo,GameAccountTask_600035_T7_2,BASE TABLE
LinDB_20200616,dbo,GameAccountTask_600035_T7_3,BASE TABLE
LinDB_20200616,dbo,GameAccountTask_600035_T7_4,BASE TABLE
LinDB_20200616,dbo,Console_Satellite_Out_01,BASE TABLE
LinDB_20200616,dbo,GameAccountTask_600035_T7_5,BASE TABLE
LinDB_20200616,dbo,Console_Satellite_Out_02,BASE TABLE
LinDB_20200616,dbo,Console_Satellite_Out_03,BASE TABLE
LinDB_20200616,dbo,tb_20090905_account,BASE TABLE
LinDB_20200616,dbo,olduser,BASE TABLE
LinDB_20200616,dbo,tb_20090905,BASE TABLE
LinDB_20200616,dbo,Console_Satellite_Out_04,BASE TABLE
LinDB_20200616,dbo,tmp_Auth39ToMonth_Account,BASE TABLE
LinDB_20200616,dbo,tmp_user_account_20180126,BASE TABLE
LinDB_20200616,dbo,tmp_account_uid_20180126,BASE TABLE
LinDB_20200616,dbo,tb_gm_user_account_20091008,BASE TABLE
LinDB_20200616,dbo,Console_Satellite_Out_05,BASE TABLE
LinDB_20200616,dbo,tb_gm_user_info_20091008,BASE TABLE
LinDB_20200616,dbo,tb_gm_user_password_20091008,BASE TABLE
LinDB_20200616,dbo,tb_gm_user_account_20091013,BASE TABLE
LinDB_20200616,dbo,tb_gm_user_info_20091013,BASE TABLE
LinDB_20200616,dbo,Console_Satellite_Out,BASE TABLE
LinDB_20200616,dbo,tb_gm_user_password_20091013,BASE TABLE
LinDB_20200616,dbo,tb_gm_user_account_20091014,BASE TABLE
LinDB_20200616,dbo,tb_gm_user_info_20091014,BASE TABLE
LinDB_20200616,dbo,tb_gm_user_password_20091014,BASE TABLE
LinDB_20200616,dbo,dtproperties,BASE TABLE
LinDB_20200616,dbo,tmp_20100519,BASE TABLE
LinDB_20200616,dbo,LockTask,BASE TABLE
LinDB_20200616,dbo,tmp_2010051901,BASE TABLE
LinDB_20200616,dbo,GoodLock_Event_List,BASE TABLE
LinDB_20200616,dbo,Auto_Block_Gama,BASE TABLE
LinDB_20200616,dbo,T7_600035,BASE TABLE
LinDB_20200616,dbo,VW_account,VIEW
LinDB_20200616,dbo,wanted,BASE TABLE
LinDB_20200616,dbo,bank_id,BASE TABLE
LinDB_20200616,dbo,User_char,BASE TABLE
LinDB_20200616,dbo,bank_money,BASE TABLE
LinDB_20200616,dbo,bankbook,BASE TABLE
LinDB_20200616,dbo,Console_Satellite_Out_06,BASE TABLE
LinDB_20200616,dbo,billing_audit,BASE TABLE
LinDB_20200616,dbo,server_kind,BASE TABLE
LinDB_20200616,dbo,card,BASE TABLE
LinDB_20200616,dbo,card_money,BASE TABLE
LinDB_20200616,dbo,temp_bf_problem,BASE TABLE
LinDB_20200616,dbo,card_process,BASE TABLE
LinDB_20200616,dbo,Console_Satellite_Out_07,BASE TABLE
LinDB_20200616,dbo,card_rv,BASE TABLE
LinDB_20200616,dbo,card_sl,BASE TABLE
