schemaname,tablename,rowcounts,totalspacemb,usedspacemb,unusedspacemb
dbo,AccountSecurityService,0,0,0,0
dbo,Auto_Block_Gama,0,0,0,0
dbo,bad_userlist,0,0,0,0
dbo,bank_id,0,0,0,0
dbo,bank_money,0,0,0,0
dbo,bankbook,0,0,0,0
dbo,billing_audit,64,0,0,0
dbo,block_history,0,0,0,0
dbo,block_id_max,0,0,0,0
dbo,block_msg,0,0,0,0
dbo,block_reason_code,0,0,0,0
dbo,card,0,0,0,0
dbo,card_money,0,0,0,0
dbo,card_process,0,0,0,0
dbo,card_rv,0,0,0,0
dbo,card_sl,0,0,0,0
dbo,card_try,0,0,0,0
dbo,company,0,0,0,0
dbo,Console_Satellite_Out,0,0,0,0
dbo,Console_Satellite_Out_06,197,0,0,0
dbo,Console_Satellite_Out_07,14,0,0,0
dbo,Console_Satellite_Out_08,0,0,0,0
dbo,coupon_account,0,0,0,0
dbo,curUser,0,0,0,0
dbo,deckrancheck,2627,0,0,0
dbo,GameAccountTask_600035_T7_1,4,0,0,0
dbo,GameAccountTask_600035_T7_2,2,0,0,0
dbo,GameAccountTask_600035_T7_3,0,0,0,0
dbo,GameAccountTask_600035_T7_4,1,0,0,0
dbo,GameAccountTask_600035_T7_5,1,0,0,0
dbo,PCRegister,0,0,0,0
dbo,PlaySafe,32037,0,0,0
dbo,PlaySafe_20080131,32736,0,0,0
dbo,QueuingRequests,0,0,0,0
dbo,quiz,5,0,0,0
dbo,Results,0,0,0,0
dbo,server_kind,0,0,0,0
dbo,shop,0,0,0,0
dbo,space_temp,0,0,0,0
dbo,ssn,0,0,0,0
dbo,ssn_account,0,0,0,0
dbo,st_db_size,0,0,0,0
dbo,st_diskspace_history,0,0,0,0
dbo,st_diskspace_now,0,0,0,0
dbo,st_iplog,0,0,0,0
dbo,st_iptable,0,0,0,0
dbo,st_server_load,0,0,0,0
dbo,st_space,0,0,0,0
dbo,st_user,0,0,0,0
dbo,st_user_data,0,0,0,0
dbo,SumResult,0,0,0,0
dbo,T7_600035,4917,0,0,0
dbo,holiday,0,0,0,0
dbo,iplog,0,0,0,0
dbo,iplog_new,0,0,0,0
dbo,ipspecific,0,0,0,0
dbo,iptable,0,0,0,0
dbo,ispstoplog,0,0,0,0
dbo,LockTask,3,0,0,0
dbo,tb_gm_user_account_20091008,15,0,0,0
dbo,tb_gm_user_account_20091013,3,0,0,0
dbo,tb_gm_user_account_20091014,7,0,0,0
dbo,tb_gm_user_info_20091008,5,0,0,0
dbo,tb_gm_user_info_20091013,3,0,0,0
dbo,tb_gm_user_info_20091014,7,0,0,0
dbo,tb_gm_user_password_20091008,4,0,0,0
dbo,tb_gm_user_password_20091013,3,0,0,0
dbo,tb_gm_user_password_20091014,3,0,0,0
dbo,temp_account,0,0,0,0
dbo,temp_account1,0,0,0,0
dbo,temp_bf_problem,31,0,0,0
dbo,tmp_20100519,254,0,0,0
dbo,tmp_2010051901,34870,0,0,0
dbo,tb_20090905,30,0,0,0
dbo,tb_20090905_account,24,0,0,0
dbo,tb_account_unlock_backup_20081201,1021,0,0,0
dbo,tmp_Auth39ToMonth_Account,319,0,0,0
dbo,tmp_mem,0,0,0,0
dbo,user_account_20080131,261,0,0,0
dbo,user_block,0,0,0,0
dbo,user_cnt,0,0,0,0
dbo,User_lock_reason,20,0,0,0
dbo,user_memo,36,0,0,0
dbo,USER_TEMP,0,0,0,0
dbo,wanted,166,0,0,0
dbo,winners,0,0,0,0
dbo,Console_Satellite_Out_02,57,1,1,0
dbo,beanfun_beta,30000,1,1,0
dbo,AccountGameSlot,111995,5,5,0
dbo,User_char,197987,8,7,0
dbo,olduser,273924,10,9,1
dbo,tb_gama_lock,374893,13,13,0
dbo,Console_Satellite_Out_03,342,16,14,2
dbo,TABLE1_TEMP,648934,21,21,0
dbo,E20040702_delaccount,1024227,23,2,20
dbo,Console_Satellite_Out_04,191,31,27,4
dbo,user_account_20080130,274728,34,34,0
dbo,total_user,1891067,38,38,0
dbo,Console_Satellite_Out_05,453,45,41,4
dbo,GoodLock_Event_List,1787189,55,53,1
dbo,Console_Satellite_Out_01,410,84,83,1
dbo,tmp_account_uid_20180126,7258461,194,194,0
dbo,account_uid,7299399,445,444,0
dbo,tmp_user_account_20180126,7258131,859,859,0
dbo,Auto_Block_ID,24450915,905,905,0
dbo,user_password,7301169,1613,1612,0
dbo,user_account,7299400,1713,1712,0
dbo,User_info,7299412,1831,1829,1
dbo,Console_Satellite_Out_log,28163332,2978,2977,0
