type,layers,gamename,startdate,enddate,parenthivedb,parentdbname,parenttablename,parentcolumnname,orihivedb,oridbname,oritablename,oricolumnname,hivedb,dbname,tablename,columnname,logstartdate,logenddate,dtbeforeday,dtafterday,logfilename,log,sql,memo,memo2
all,1,lineage,2019-12-01,,,,,,all,lindb,accountgameslot,,extract,lindb,accountgameslot,,,,,,,,,尚未確定(大於1M),
all,1,lineage,2019-12-01,,,,,,all,lindb,accountsecurityservice,,extract,lindb,accountsecurityservice,,,,,,,,,尚未確定(0M),
all,1,lineage,2019-12-01,,,,,,all,lindb,auto_block_gama,,extract,lindb,auto_block_gama,,,,,,,,,尚未確定(0M),
all,1,lineage,2019-12-01,,,,,,all,lindb,bad_userlist,,extract,lindb,bad_userlist,,,,,,,,,尚未確定(0M),
all,1,lineage,2019-12-01,,,,,,all,lindb,bank_id,,extract,lindb,bank_id,,,,,,,,,尚未確定(0M),
all,1,lineage,2019-12-01,,,,,,all,lindb,bank_money,,extract,lindb,bank_money,,,,,,,,,尚未確定(0M),
all,1,lineage,2019-12-01,,,,,,all,lindb,bankbook,,extract,lindb,bankbook,,,,,,,,,尚未確定(0M),
all,1,lineage,2019-12-01,,,,,,all,lindb,block_history,,extract,lindb,block_history,,,,,,,,,尚未確定(0M),
all,1,lineage,2019-12-01,,,,,,all,lindb,block_id_max,,extract,lindb,block_id_max,,,,,,,,,尚未確定(0M),
all,1,lineage,2019-12-01,,,,,,all,lindb,block_msg,,extract,lindb,block_msg,,,,,,,,,尚未確定(0M),
all,1,lineage,2019-12-01,,,,,,all,lindb,block_reason_code,,extract,lindb,block_reason_code,,,,,,,,,尚未確定(0M),
all,1,lineage,2019-12-01,,,,,,all,lindb,card,,extract,lindb,card,,,,,,,,,尚未確定(0M),
all,1,lineage,2019-12-01,,,,,,all,lindb,card_money,,extract,lindb,card_money,,,,,,,,,尚未確定(0M),
all,1,lineage,2019-12-01,,,,,,all,lindb,card_process,,extract,lindb,card_process,,,,,,,,,尚未確定(0M),
all,1,lineage,2019-12-01,,,,,,all,lindb,card_rv,,extract,lindb,card_rv,,,,,,,,,尚未確定(0M),
all,1,lineage,2019-12-01,,,,,,all,lindb,card_sl,,extract,lindb,card_sl,,,,,,,,,尚未確定(0M),
all,1,lineage,2019-12-01,,,,,,all,lindb,card_try,,extract,lindb,card_try,,,,,,,,,尚未確定(0M),
all,1,lineage,2019-12-01,,,,,,all,lindb,company,,extract,lindb,company,,,,,,,,,尚未確定(0M),
all,1,lineage,2019-12-01,,,,,,all,lindb,coupon_account,,extract,lindb,coupon_account,,,,,,,,,尚未確定(0M),
all,1,lineage,2019-12-01,,,,,,all,lindb,curuser,,extract,lindb,curuser,,,,,,,,,尚未確定(0M),
all,1,lineage,2019-12-01,,,,,,all,lindb,goodlock_event_list,,extract,lindb,goodlock_event_list,,,,,,,,,尚未確定(大於10M),
all,1,lineage,2019-12-01,,,,,,all,lindb,holiday,,extract,lindb,holiday,,,,,,,,,尚未確定(0M),
all,1,lineage,2019-12-01,,,,,,all,lindb,iplog,,extract,lindb,iplog,,,,,,,,,尚未確定(0M),
all,1,lineage,2019-12-01,,,,,,all,lindb,iplog_new,,extract,lindb,iplog_new,,,,,,,,,尚未確定(0M),
all,1,lineage,2019-12-01,,,,,,all,lindb,ipspecific,,extract,lindb,ipspecific,,,,,,,,,尚未確定(0M),
all,1,lineage,2019-12-01,,,,,,all,lindb,iptable,,extract,lindb,iptable,,,,,,,,,尚未確定(0M),
all,1,lineage,2019-12-01,,,,,,all,lindb,ispstoplog,,extract,lindb,ispstoplog,,,,,,,,,尚未確定(0M),
all,1,lineage,2019-12-01,,,,,,all,lindb,locktask,,extract,lindb,locktask,,,,,,,,,尚未確定(小於500K),
all,1,lineage,2019-12-01,,,,,,all,lindb,pcregister,,extract,lindb,pcregister,,,,,,,,,尚未確定(0M),
all,1,lineage,2019-12-01,,,,,,all,lindb,playsafe,,extract,lindb,playsafe,,,,,,,,,尚未確定(小於500K),
all,1,lineage,2019-12-01,,,,,,all,lindb,queuingrequests,,extract,lindb,queuingrequests,,,,,,,,,尚未確定(0M),
all,1,lineage,2019-12-01,,,,,,all,lindb,results,,extract,lindb,results,,,,,,,,,尚未確定(0M),
all,1,lineage,2019-12-01,,,,,,all,lindb,server_kind,,extract,lindb,server_kind,,,,,,,,,尚未確定(0M),
all,1,lineage,2019-12-01,,,,,,all,lindb,shop,,extract,lindb,shop,,,,,,,,,尚未確定(0M),
all,1,lineage,2019-12-01,,,,,,all,lindb,ssn,,extract,lindb,ssn,,,,,,,,,尚未確定(0M),
all,1,lineage,2019-12-01,,,,,,all,lindb,ssn_account,,extract,lindb,ssn_account,,,,,,,,,尚未確定(0M),
all,1,lineage,2019-12-01,,,,,,all,lindb,sumresult,,extract,lindb,sumresult,,,,,,,,,尚未確定(0M),
all,1,lineage,2019-12-01,,,,,,all,lindb,total_user,,extract,lindb,total_user,,,,,,,,,線上人數統計(每5分鐘新增)(大於1M),
all,1,lineage,2019-12-01,,,,,,all,lindb,user_block,,extract,lindb,user_block,,,,,,,,,尚未確定(0M),
all,1,lineage,2019-12-01,,,,,,all,lindb,user_char,,extract,lindb,user_char,,,,,,,,,尚未確定(大於1M),
all,1,lineage,2019-12-01,,,,,,all,lindb,user_cnt,,extract,lindb,user_cnt,,,,,,,,,尚未確定(0M),
all,1,lineage,2019-12-01,,,,,,all,lindb,user_lock_reason,,extract,lindb,user_lock_reason,,,,,,,,,尚未確定(小於500K),
all,1,lineage,2019-12-01,,,,,,all,lindb,winners,,extract,lindb,winners,,,,,,,,,尚未確定(0M),
grammar,1,lineage,2019-12-01,,extract,init,lineage_onliontimebyaccount,account,all,lindb,account_uid,account,extract,lindb,account_uid,,,,,,,,,使用者帳號UID(大於100M),
grammar,1,lineage,2019-12-01,,extract,init,lineage_onliontimebyaccount,account,all,lindb,user_account,account,extract,lindb,user_account,,,,,,,,,使用者帳號(大於1G),
grammar,1,lineage,2019-12-01,,extract,init,lineage_onliontimebyaccount,account,all,lindb,user_info,account,extract,lindb,user_info,,,,,,,,,帳號資訊(大於1G),
log,1,lineage,2019-12-01,,,,,,all,lindb,auto_block_id,,extract,lindb,auto_block_id,,createtime,createtime,0,1,,,,尚未確定(大於100M),
