type,layers,gamename,startdate,enddate,parenthivedb,parentdbname,parenttablename,parentcolumnname,orihivedb,oridbname,oritablename,oricolumnname,hivedb,dbname,tablename,columnname,logstartdate,logenddate,dtbeforeday,dtafterday,logfilename,log,sql,memo,memo2
all,1,lineage,2019-12-01,,,,,,all,linworld,account_contents_data,,extract,linworld,account_contents_data,,,,,,,,,尚未確定(大於10M),
all,1,lineage,2019-12-01,,,,,,all,linworld,account_extra,,extract,linworld,account_extra,,,,,,,,,尚未確定(0M),
all,1,lineage,2019-12-01,,,,,,all,linworld,admin_ranking,,extract,linworld,admin_ranking,,,,,,,,,尚未確定(0M),
all,1,lineage,2019-12-01,,,,,,all,linworld,agit,,extract,linworld,agit,,,,,,,,,血盟小屋(小於500K),
all,1,lineage,2019-12-01,,,,,,all,linworld,agit_giran,,extract,linworld,agit_giran,,,,,,,,,尚未確定(0M),
all,1,lineage,2019-12-01,,,,,,all,linworld,alliance,,extract,linworld,alliance,,,,,,,,,同盟資訊?(小於500K),
all,1,lineage,2019-12-01,,,,,,all,linworld,arcaactivation,,extract,linworld,arcaactivation,,,,,,,,,尚未確定(大於1M),
all,1,lineage,2019-12-01,,,,,,all,linworld,bbs,,extract,linworld,bbs,,,,,,,,,尚未確定(小於500K),
all,1,lineage,2019-12-01,,,,,,all,linworld,bbs_burned,,extract,linworld,bbs_burned,,,,,,,,,尚未確定(0M),
all,1,lineage,2019-12-01,,,,,,all,linworld,bbs_cgiran,,extract,linworld,bbs_cgiran,,,,,,,,,尚未確定(0M),
all,1,lineage,2019-12-01,,,,,,all,linworld,bbs_ckent,,extract,linworld,bbs_ckent,,,,,,,,,尚未確定(0M),
all,1,lineage,2019-12-01,,,,,,all,linworld,bbs_corc,,extract,linworld,bbs_corc,,,,,,,,,尚未確定(0M),
all,1,lineage,2019-12-01,,,,,,all,linworld,bbs_cwinda,,extract,linworld,bbs_cwinda,,,,,,,,,尚未確定(0M),
all,1,lineage,2019-12-01,,,,,,all,linworld,bbs_elven,,extract,linworld,bbs_elven,,,,,,,,,尚未確定(0M),
all,1,lineage,2019-12-01,,,,,,all,linworld,blood_pledge,,extract,linworld,blood_pledge,,,,,,,,,血盟(大於100M),
all,1,lineage,2019-12-01,,,,,,all,linworld,blood_pledge_join,,extract,linworld,blood_pledge_join,,,,,,,,,尚未確定(小於500K),
all,1,lineage,2019-12-01,,,,,,all,linworld,blood_pledge_rest_exp_reduce_effciency,,extract,linworld,blood_pledge_rest_exp_reduce_effciency,,,,,,,,,尚未確定(小於500K),
all,1,lineage,2019-12-01,,,,,,all,linworld,booking_data,,extract,linworld,booking_data,,,,,,,,,尚未確定(小於500K),
all,1,lineage,2019-12-01,,,,,,all,linworld,bookmark_store,,extract,linworld,bookmark_store,,,,,,,,,座標記憶(大於1M),
all,1,lineage,2019-12-01,,,,,,all,linworld,castle,,extract,linworld,castle,,,,,,,,,城堡(小於500K),
all,1,lineage,2019-12-01,,,,,,all,linworld,castle_npc,,extract,linworld,castle_npc,,,,,,,,,尚未確定(小於500K),
all,1,lineage,2019-12-01,,,,,,all,linworld,char_change,,extract,linworld,char_change,,,,,,,,,尚未確定(0M),
all,1,lineage,2019-12-01,,,,,,all,linworld,char_name_change,,extract,linworld,char_name_change,,,,,,,,,尚未確定(大於100M),
all,1,lineage,2019-12-01,,,,,,all,linworld,cn_rank_adena,,extract,linworld,cn_rank_adena,,,,,,,,,尚未確定(小於500K),
all,1,lineage,2019-12-01,,,,,,all,linworld,cn_rank_character,,extract,linworld,cn_rank_character,,,,,,,,,尚未確定(小於500K),
all,1,lineage,2019-12-01,,,,,,all,linworld,cn_rank_item_enchant,,extract,linworld,cn_rank_item_enchant,,,,,,,,,尚未確定(小於500K),
all,1,lineage,2019-12-01,,,,,,all,linworld,cn_rank_payment,,extract,linworld,cn_rank_payment,,,,,,,,,尚未確定(小於500K),
all,1,lineage,2019-12-01,,,,,,all,linworld,cn_rank_pk,,extract,linworld,cn_rank_pk,,,,,,,,,尚未確定(小於500K),
all,1,lineage,2019-12-01,,,,,,all,linworld,cn_rank_pledge,,extract,linworld,cn_rank_pledge,,,,,,,,,尚未確定(小於500K),
all,1,lineage,2019-12-01,,,,,,all,linworld,col_reward_item,,extract,linworld,col_reward_item,,,,,,,,,海戰設定表格(小於500K),
all,1,lineage,2019-12-01,,,,,,all,linworld,col_reward_score,,extract,linworld,col_reward_score,,,,,,,,,海戰玩家排名(小於500K),
all,1,lineage,2019-12-01,,,,,,all,linworld,col_reward_time,,extract,linworld,col_reward_time,,,,,,,,,海戰更新時間(小於500K),
all,1,lineage,2019-12-01,,,,,,all,linworld,craft_success_stats,,extract,linworld,craft_success_stats,,,,,,,,,尚未確定(小於500K),
all,1,lineage,2019-12-01,,,,,,all,linworld,curuser,,extract,linworld,curuser,,,,,,,,,尚未確定(0M),
all,1,lineage,2019-12-01,,,,,,all,linworld,deckrancheck,,extract,linworld,deckrancheck,,,,,,,,,尚未確定(大於1M),
all,1,lineage,2019-12-01,,,,,,all,linworld,delete_user_item_0_4,,extract,linworld,delete_user_item_0_4,,,,,,,,,尚未確定(大於10M),
all,1,lineage,2019-12-01,,,,,,all,linworld,delete_user_item_2,,extract,linworld,delete_user_item_2,,,,,,,,,尚未確定(小於500K),
all,1,lineage,2019-12-01,,,,,,all,linworld,dogfight,,extract,linworld,dogfight,,,,,,,,,尚未確定(大於1M),
all,1,lineage,2019-12-01,,,,,,all,linworld,emblem,,extract,linworld,emblem,,,,,,,,,尚未確定(大於10M),
all,1,lineage,2019-12-01,,,,,,all,linworld,event_score,,extract,linworld,event_score,,,,,,,,,尚未確定(小於500K),
all,1,lineage,2019-12-01,,,,,,all,linworld,eventexp,,extract,linworld,eventexp,,,,,,,,,尚未確定(0M),
all,1,lineage,2019-12-01,,,,,,all,linworld,furniture,,extract,linworld,furniture,,,,,,,,,傢俱(小於500K),
all,1,lineage,2019-12-01,,,,,,all,linworld,game_time,,extract,linworld,game_time,,,,,,,,,尚未確定(小於500K),
all,1,lineage,2019-12-01,,,,,,all,linworld,inn,,extract,linworld,inn,,,,,,,,,尚未確定(大於1M),
all,1,lineage,2019-12-01,,,,,,all,linworld,ip_trace,,extract,linworld,ip_trace,,,,,,,,,尚未確定(0M),
all,1,lineage,2019-12-01,,,,,,all,linworld,item_boost,,extract,linworld,item_boost,,,,,,,,,尚未確定(0M),
all,1,lineage,2019-12-01,,,,,,all,linworld,item_cost,,extract,linworld,item_cost,,,,,,,,,尚未確定(小於500K),
all,1,lineage,2019-12-01,,,,,,all,linworld,item_desc,,extract,linworld,item_desc,,,,,,,,,道具資訊(對照表)?(大於1M),
all,1,lineage,2019-12-01,,,,,,all,linworld,item_magic_attr,,extract,linworld,item_magic_attr,,,,,,,,,尚未確定(小於500K),
all,1,lineage,2019-12-01,,,,,,all,linworld,item_rental,,extract,linworld,item_rental,,,,,,,,,尚未確定(0M),
all,1,lineage,2019-12-01,,,,,,all,linworld,item_seal,,extract,linworld,item_seal,,,,,,,,,尚未確定(0M),
all,1,lineage,2019-12-01,,,,,,all,linworld,itemname,,extract,linworld,itemname,,,,,,,,,尚未確定(0M),
all,1,lineage,2019-12-01,,,,,,all,linworld,lastrace,,extract,linworld,lastrace,,,,,,,,,尚未確定(小於500K),
all,1,lineage,2019-12-01,,,,,,all,linworld,merchantlimitgoods,,extract,linworld,merchantlimitgoods,,,,,,,,,尚未確定(小於500K),
all,1,lineage,2019-12-01,,,,,,all,linworld,monitoring_item_amount,,extract,linworld,monitoring_item_amount,,,,,,,,,尚未確定(0M),
all,1,lineage,2019-12-01,,,,,,all,linworld,noticecontent,,extract,linworld,noticecontent,,,,,,,,,尚未確定(0M),
all,1,lineage,2019-12-01,,,,,,all,linworld,npc_item,,extract,linworld,npc_item,,,,,,,,,尚未確定(0M),
all,1,lineage,2019-12-01,,,,,,all,linworld,npc_lastrecord,,extract,linworld,npc_lastrecord,,,,,,,,,尚未確定(0M),
all,1,lineage,2019-12-01,,,,,,all,linworld,orc_server_exp,,extract,linworld,orc_server_exp,,,,,,,,,尚未確定(0M),
all,1,lineage,2019-12-01,,,,,,all,linworld,pledge_match_making_enrollment,,extract,linworld,pledge_match_making_enrollment,,,,,,,,,尚未確定(小於500K),
all,1,lineage,2019-12-01,,,,,,all,linworld,pledge_member_info,,extract,linworld,pledge_member_info,,,,,,,,,血盟成員資訊?(大於10M),
all,1,lineage,2019-12-01,,,,,,all,linworld,pledge_name_change,,extract,linworld,pledge_name_change,,,,,,,,,尚未確定(大於1M),
all,1,lineage,2019-12-01,,,,,,all,linworld,pledge_watch_list,,extract,linworld,pledge_watch_list,,,,,,,,,尚未確定(小於500K),
all,1,lineage,2019-12-01,,,,,,all,linworld,race,,extract,linworld,race,,,,,,,,,尚未確定(大於1M),
all,1,lineage,2019-12-01,,,,,,all,linworld,race2,,extract,linworld,race2,,,,,,,,,尚未確定(大於10M),
all,1,lineage,2019-12-01,,,,,,all,linworld,recovery_item,,extract,linworld,recovery_item,,,,,,,,,尚未確定(大於10M),
all,1,lineage,2019-12-01,,,,,,all,linworld,regnpc,,extract,linworld,regnpc,,,,,,,,,尚未確定(0M),
all,1,lineage,2019-12-01,,,,,,all,linworld,rename1,,extract,linworld,rename1,,,,,,,,,尚未確定(0M),
all,1,lineage,2019-12-01,,,,,,all,linworld,rename2,,extract,linworld,rename2,,,,,,,,,尚未確定(0M),
all,1,lineage,2019-12-01,,,,,,all,linworld,server_value,,extract,linworld,server_value,,,,,,,,,World資訊?(小於500K),
all,1,lineage,2019-12-01,,,,,,all,linworld,servernum,,extract,linworld,servernum,,,,,,,,,World編號?(小於500K),
all,1,lineage,2019-12-01,,,,,,all,linworld,siege_bloodpledge_point,,extract,linworld,siege_bloodpledge_point,,,,,,,,,攻城戰相關(小於500K),
all,1,lineage,2019-12-01,,,,,,all,linworld,siege_castle_history,,extract,linworld,siege_castle_history,,,,,,,,,攻城戰相關(小於500K),
all,1,lineage,2019-12-01,,,,,,all,linworld,siege_castle_property,,extract,linworld,siege_castle_property,,,,,,,,,攻城戰相關(小於500K),
all,1,lineage,2019-12-01,,,,,,all,linworld,sihon_tower_rank,,extract,linworld,sihon_tower_rank,,,,,,,,,尚未確定(0M),
all,1,lineage,2019-12-01,,,,,,all,linworld,sihon_tower_rewarditem,,extract,linworld,sihon_tower_rewarditem,,,,,,,,,尚未確定(小於500K),
all,1,lineage,2019-12-01,,,,,,all,linworld,st_pk,,extract,linworld,st_pk,,,,,,,,,尚未確定(0M),
all,1,lineage,2019-12-01,,,,,,all,linworld,sysdiagrams,,extract,linworld,sysdiagrams,,,,,,,,,尚未確定(0M),
all,1,lineage,2019-12-01,,,,,,all,linworld,tamtrx,,extract,linworld,tamtrx,,,,,,,,,尚未確定(大於1M),
all,1,lineage,2019-12-01,,,,,,all,linworld,tbl_tencent_dayitem,,extract,linworld,tbl_tencent_dayitem,,,,,,,,,尚未確定(大於1M),
all,1,lineage,2019-12-01,,,,,,all,linworld,total_users,,extract,linworld,total_users,,,,,,,,,尚未確定(0M),
all,1,lineage,2019-12-01,,,,,,all,linworld,town,,extract,linworld,town,,,,,,,,,尚未確定(小於500K),
all,1,lineage,2019-12-01,,,,,,all,linworld,trade_item,,extract,linworld,trade_item,,,,,,,,,個人商店販賣道具(保留一個月)(小於500K),
all,1,lineage,2019-12-01,,,,,,all,linworld,trade_user,,extract,linworld,trade_user,,,,,,,,,個人商店開設資料(保留一個月)(小於500K),
all,1,lineage,2019-12-01,,,,,,all,linworld,user_bank,,extract,linworld,user_bank,,,,,,,,,尚未確定(小於500K),
all,1,lineage,2019-12-01,,,,,,all,linworld,user_data_rev,,extract,linworld,user_data_rev,,,,,,,,,尚未確定(大於1M),
all,1,lineage,2019-12-01,,,,,,all,linworld,user_mentors,,extract,linworld,user_mentors,,,,,,,,,尚未確定(小於500K),
all,1,lineage,2019-12-01,,,,,,all,linworld,user_panelty,,extract,linworld,user_panelty,,,,,,,,,尚未確定(小於500K),
all,1,lineage,2019-12-01,,,,,,all,linworld,world_contents_data,,extract,linworld,world_contents_data,,,,,,,,,尚未確定(小於500K),
grammar,1,lineage,2019-12-01,,extract,init,lineage_onliontimebycharacter,uid,all,linworld,achievement_completed_achievement,user_uid,extract,linworld,achievement_completed_achievement,,,,,,,,,成就完成(大於10M),
grammar,1,lineage,2019-12-01,,extract,init,lineage_onliontimebycharacter,uid,all,linworld,achievement_criteria_progress,user_uid,extract,linworld,achievement_criteria_progress,,,,,,,,,成就進行(大於10M),
grammar,1,lineage,2019-12-01,,extract,init,lineage_onliontimebycharacter,uid,all,linworld,arenauser,userid,extract,linworld,arenauser,,,,,,,,,競技場角色?(大於1M),
grammar,1,lineage,2019-12-01,,extract,init,lineage_onliontimebycharacter,user_id,all,linworld,bookmark,user_id,extract,linworld,bookmark,,,,,,,,,尚未確定(大於10M),
grammar,1,lineage,2019-12-01,,extract,init,lineage_onliontimebycharacter,user_id,all,linworld,col_score,user_id,extract,linworld,col_score,,,,,,,,,尚未確定(小於500K),
grammar,1,lineage,2019-12-01,,extract,init,lineage_onliontimebycharacter,user_id,all,linworld,lmail,from_id,extract,linworld,lmail_from,,,,,,,,,信件_寄件者(大於10M),
grammar,1,lineage,2019-12-01,,extract,init,lineage_onliontimebycharacter,user_id,all,linworld,lmail,to_id,extract,linworld,lmail_to,,,,,,,,,信件_收件者(大於10M),
grammar,1,lineage,2019-12-01,,extract,init,lineage_onliontimebycharacter,user_id,all,linworld,map_time_limit,user_id,extract,linworld,map_time_limit,,,,,,,,,尚未確定(小於500K),
grammar,1,lineage,2019-12-01,,extract,init,lineage_onliontimebycharacter,uid,all,linworld,monsterbookv2_book,user_uid,extract,linworld,monsterbookv2_book,,,,,,,,,蒐集冊?(大於10M),
grammar,1,lineage,2019-12-01,,extract,init,lineage_onliontimebycharacter,uid,all,linworld,monsterbookv2_card,user_uid,extract,linworld,monsterbookv2_card,,,,,,,,,蒐集冊?(大於100M),
grammar,1,lineage,2019-12-01,,extract,init,lineage_onliontimebycharacter,uid,all,linworld,monsterbookv2_deck,user_uid,extract,linworld,monsterbookv2_deck,,,,,,,,,蒐集冊?(大於100M),
grammar,1,lineage,2019-12-01,,extract,init,lineage_onliontimebycharacter,user_id,all,linworld,npc,master_name,extract,linworld,npc,,,,,,,,,寵物(大於1G),
grammar,1,lineage,2019-12-01,,extract,init,lineage_onliontimebycharacter,user_id,all,linworld,pk,pk_name,extract,linworld,pk,,,,,,,,,尚未確定(小於500K),
grammar,1,lineage,2019-12-01,,extract,init,lineage_onliontimebycharacter,user_id,all,linworld,pledge_warehouse_history,user_id,extract,linworld,pledge_warehouse_history,,,,,,,,,尚未確定(大於1M),
grammar,1,lineage,2019-12-01,,extract,init,lineage_onliontimebycharacter,uid,all,linworld,quest,userid,extract,linworld,quest,,,,,,,,,任務(大於10M),
grammar,1,lineage,2019-12-01,,extract,init,lineage_onliontimebycharacter,user_id,all,linworld,sihon_tower_history_rank,user_id,extract,linworld,sihon_tower_history_rank,,,,,,,,,尚未確定(小於500K),
grammar,1,lineage,2019-12-01,,extract,init,lineage_onliontimebycharacter,uid,all,linworld,user_buddies,user_uid,extract,linworld,user_buddies,,,,,,,,,尚未確定(小於500K),
grammar,1,lineage,2019-12-01,,extract,init,lineage_onliontimebycharacter,user_id,all,linworld,user_buddy,user_id,extract,linworld,user_buddy,,,,,,,,,好友名單(大於10M),
grammar,1,lineage,2019-12-01,,extract,init,lineage_onliontimebycharacter,user_id,all,linworld,user_buddy_split,user_id,extract,linworld,user_buddy_split,,,,,,,,,尚未確定(大於10M),
grammar,1,lineage,2019-12-01,,extract,init,lineage_onliontimebycharacter,user_id,all,linworld,user_data,user_id,extract,linworld,user_data,,,,,,,,,角色資料(大於10G),
grammar,1,lineage,2019-12-01,,extract,init,lineage_onliontimebycharacter,uid,all,linworld,user_elemental_speciality,uid,extract,linworld,user_elemental_speciality,,,,,,,,,尚未確定(小於500K),
grammar,1,lineage,2019-12-01,,extract,init,lineage_onliontimebycharacter,uid,all,linworld,user_equipcurrentset,charuid,extract,linworld,user_equipcurrentset,,,,,,,,,尚未確定(大於1M),
grammar,1,lineage,2019-12-01,,extract,init,lineage_onliontimebycharacter,uid,all,linworld,user_equipset,charuid,extract,linworld,user_equipset,,,,,,,,,尚未確定(大於1M),
grammar,1,lineage,2019-12-01,,extract,init,lineage_onliontimebycharacter,user_id,all,linworld,user_exclude,user_id,extract,linworld,user_exclude,,,,,,,,,黑名單?(大於10M),
grammar,1,lineage,2019-12-01,,extract,init,lineage_onliontimebycharacter,uid,all,linworld,user_exp_recovery,uid,extract,linworld,user_exp_recovery,,,,,,,,,尚未確定(大於10M),
grammar,1,lineage,2019-12-01,,extract,init,lineage_onliontimebycharacter,user_id,all,linworld,user_item,user_id,extract,linworld,user_item,,,,,,,,,道具(大於10G),
grammar,1,lineage,2019-12-01,,extract,init,lineage_onliontimebycharacter,user_id,all,linworld,user_mail,to_id,extract,linworld,user_mail,,,,,,,,,信件(舊)(小於500K),
grammar,1,lineage,2019-12-01,,extract,init,lineage_onliontimebycharacter,user_id,all,linworld,user_petball,user_id,extract,linworld,user_petball,,,,,,,,,魔法娃娃(0M),
grammar,1,lineage,2019-12-01,,extract,init,lineage_onliontimebycharacter,user_id,all,linworld,user_quats,user_id,extract,linworld,user_quats,,,,,,,,,尚未確定(大於1G),
grammar,1,lineage,2019-12-01,,extract,init,lineage_onliontimebycharacter,uid,all,linworld,user_settings,user_uid,extract,linworld,user_settings,,,,,,,,,尚未確定(大於100M),
