TABLE_CATALOG,TABLE_SCHEMA,TABLE_NAME,COLUMN_NAME,ORDINAL_POSITION,COLUMN_DEFAULT,IS_NULLABLE,DATA_TYPE,CHARACTER_MAXIMUM_LENGTH,CHARACTER_OCTET_LENGTH,NUMERIC_PRECISION,NUMERIC_PRECISION_RADIX,NUMERIC_SCALE,DATETIME_PRECISION,CHARACTER_SET_CATALOG,CHARACTER_SET_SCHEMA,CHARACTER_SET_NAME,COLLATION_CATALOG,COLLATION_SCHEMA,COLLATION_NAME,DOMAIN_CATALOG,DOMAIN_SCHEMA,DOMAIN_NAME
authdb_20200818,dbo,TMP_DO_DROP_CHARACTER_LIST,id,1,,NO,nvarchar,50.0,100.0,,,,,,,UNICODE,,,Chinese_Taiwan_Stroke_CI_AS,,,
authdb_20200818,dbo,TMP_DO_DROP_CHARACTER_LIST,characterid,2,,NO,bigint,,,19.0,10.0,0.0,,,,,,,,,,
authdb_20200818,dbo,TMP_DO_DROP_CHARACTER_LIST,charactername,3,,NO,nvarchar,32.0,64.0,,,,,,,UNICODE,,,Chinese_Taiwan_Stroke_CI_AS,,,
authdb_20200818,dbo,TMP_DO_DROP_CHARACTER_LIST,server,4,,NO,nvarchar,128.0,256.0,,,,,,,UNICODE,,,Chinese_Taiwan_Stroke_CI_AS,,,
authdb_20200818,dbo,TMP_DO_DROP_CHARACTER_LIST,deleted,5,,NO,bigint,,,19.0,10.0,0.0,,,,,,,,,,
authdb_20200818,dbo,TMP_DO_DROP_CHARACTER_LIST,groupID,6,,NO,tinyint,,,3.0,10.0,0.0,,,,,,,,,,
authdb_20200818,dbo,TMP_DO_DROP_CHARACTER_LIST,race,7,,NO,tinyint,,,3.0,10.0,0.0,,,,,,,,,,
authdb_20200818,dbo,TMP_DO_DROP_CHARACTER_LIST,supportCharacter,8,,NO,bit,,,,,,,,,,,,,,,
authdb_20200818,dbo,TMP_DO_DROP_CHARACTER_LIST,tab,9,,NO,bit,,,,,,,,,,,,,,,
authdb_20200818,dbo,TMP_DO_DROP_CHARACTER_LIST,decorative,10,,YES,datetime,,,,,,3.0,,,,,,,,,
authdb_20200818,dbo,TMP_DO_DROP_CHARACTER_LIST,Tlv,11,,YES,int,,,10.0,10.0,0.0,,,,,,,,,,
authdb_20200818,dbo,TMP_DO_DROP_CHARACTER_LIST,update_time,12,,YES,datetime,,,,,,3.0,,,,,,,,,
authdb_20200818,dbo,TMP_DO_DROP_PET_LIST,id,1,,NO,nvarchar,50.0,100.0,,,,,,,UNICODE,,,Chinese_Taiwan_Stroke_CI_AS,,,
authdb_20200818,dbo,TMP_DO_DROP_PET_LIST,petid,2,,NO,bigint,,,19.0,10.0,0.0,,,,,,,,,,
authdb_20200818,dbo,TMP_DO_DROP_PET_LIST,petname,3,,NO,nvarchar,32.0,64.0,,,,,,,UNICODE,,,Chinese_Taiwan_Stroke_CI_AS,,,
authdb_20200818,dbo,TMP_DO_DROP_PET_LIST,server,4,,NO,nvarchar,128.0,256.0,,,,,,,UNICODE,,,Chinese_Taiwan_Stroke_CI_AS,,,
authdb_20200818,dbo,TMP_DO_DROP_PET_LIST,deleted,5,,NO,bigint,,,19.0,10.0,0.0,,,,,,,,,,
authdb_20200818,dbo,TMP_DO_DROP_PET_LIST,remaintime,6,,NO,int,,,10.0,10.0,0.0,,,,,,,,,,
authdb_20200818,dbo,TMP_DO_DROP_PET_LIST,lasttime,7,,NO,bigint,,,19.0,10.0,0.0,,,,,,,,,,
authdb_20200818,dbo,TMP_DO_DROP_PET_LIST,groupID,8,,NO,tinyint,,,3.0,10.0,0.0,,,,,,,,,,
authdb_20200818,dbo,TMP_DO_DROP_PET_LIST,tab,9,,NO,bit,,,,,,,,,,,,,,,
authdb_20200818,dbo,TMP_DO_DROP_PET_LIST,expiretime,10,,NO,bigint,,,19.0,10.0,0.0,,,,,,,,,,
authdb_20200818,dbo,block_ment,block_cid,1,,NO,int,,,10.0,10.0,0.0,,,,,,,,,,
authdb_20200818,dbo,block_ment,block_comment,2,,NO,varchar,1000.0,1000.0,,,,,,,cp950,,,Chinese_Taiwan_Stroke_CI_AS,,,
authdb_20200818,dbo,block_ment,block_uid,3,,NO,int,,,10.0,10.0,0.0,,,,,,,,,,
authdb_20200818,dbo,block_ment,block_date,4,(getdate()),NO,datetime,,,,,,3.0,,,,,,,,,
authdb_20200818,dbo,Block_Users,block_id,1,,NO,int,,,10.0,10.0,0.0,,,,,,,,,,
authdb_20200818,dbo,Block_Users,UserID,2,,NO,varchar,50.0,50.0,,,,,,,cp950,,,Chinese_Taiwan_Stroke_CI_AS,,,
authdb_20200818,dbo,Block_Users,userserver,3,(''),NO,varchar,15.0,15.0,,,,,,,cp950,,,Chinese_Taiwan_Stroke_CI_AS,,,
authdb_20200818,dbo,Block_Users,userchar,4,(''),NO,varchar,50.0,50.0,,,,,,,cp950,,,Chinese_Taiwan_Stroke_CI_AS,,,
authdb_20200818,dbo,Block_Users,even_date,5,(getdate()),NO,datetime,,,,,,3.0,,,,,,,,,
authdb_20200818,dbo,Block_Users,gubun,6,(0),NO,smallint,,,5.0,10.0,0.0,,,,,,,,,,
authdb_20200818,dbo,Block_Users,block_cn,7,(0),NO,smallint,,,5.0,10.0,0.0,,,,,,,,,,
authdb_20200818,dbo,account_pawncoin,idAccount,1,,NO,nvarchar,50.0,100.0,,,,,,,UNICODE,,,Chinese_Taiwan_Stroke_CI_AS,,,
authdb_20200818,dbo,account_pawncoin,pawncoin,2,,NO,int,,,10.0,10.0,0.0,,,,,,,,,,
authdb_20200818,dbo,account_pawncoin,updatedate,3,,NO,datetime,,,,,,3.0,,,,,,,,,
authdb_20200818,dbo,dtproperties,id,1,,NO,int,,,10.0,10.0,0.0,,,,,,,,,,
authdb_20200818,dbo,dtproperties,objectid,2,,YES,int,,,10.0,10.0,0.0,,,,,,,,,,
authdb_20200818,dbo,dtproperties,property,3,,NO,varchar,64.0,64.0,,,,,,,cp950,,,Chinese_Taiwan_Stroke_CI_AS,,,
authdb_20200818,dbo,dtproperties,value,4,,YES,varchar,255.0,255.0,,,,,,,cp950,,,Chinese_Taiwan_Stroke_CI_AS,,,
authdb_20200818,dbo,dtproperties,uvalue,5,,YES,nvarchar,255.0,510.0,,,,,,,UNICODE,,,Chinese_Taiwan_Stroke_CI_AS,,,
authdb_20200818,dbo,dtproperties,lvalue,6,,YES,image,2147483647.0,2147483647.0,,,,,,,,,,,,,
authdb_20200818,dbo,dtproperties,version,7,(0),NO,int,,,10.0,10.0,0.0,,,,,,,,,,
authdb_20200818,dbo,account_character_linked_ap,serverid,1,,NO,varchar,20.0,20.0,,,,,,,cp950,,,Chinese_Taiwan_Stroke_CI_AS,,,
authdb_20200818,dbo,account_character_linked_ap,charid,2,,NO,bigint,,,19.0,10.0,0.0,,,,,,,,,,
authdb_20200818,dbo,account_character_linked_ap,savedap,3,,YES,int,,,10.0,10.0,0.0,,,,,,,,,,
authdb_20200818,dbo,account_character_linked_ap,termap,4,,YES,int,,,10.0,10.0,0.0,,,,,,,,,,
authdb_20200818,dbo,account_character_linked_ap,resettime,5,,YES,bigint,,,19.0,10.0,0.0,,,,,,,,,,
authdb_20200818,dbo,tmp_transhistory1,account,1,,NO,varchar,50.0,50.0,,,,,,,cp950,,,Chinese_Taiwan_Stroke_CI_AS,,,
