type,layers,gamename,startdate,enddate,parenthivedb,parentdbname,parenttablename,parentcolumnname,orihivedb,oridbname,oritablename,oricolumnname,hivedb,dbname,tablename,columnname,logstartdate,logenddate,dtbeforeday,dtafterday,logfilename,log,sql,memo,memo2
all,1,mabi,2019-12-01,,,,,,all,authdb,account,,extract,authdb,account,,,,,,,,,帳號資訊(含創帳號時間與地區)(大於100M),
all,1,mabi,2019-12-01,,,,,,all,authdb,account_character_linked_ap,,extract,authdb,account_character_linked_ap,,,,,,,,,尚未確定(大於10M),
all,1,mabi,2019-12-01,,,,,,all,authdb,account_deed,,extract,authdb,account_deed,,,,,,,,,帳號契據?(大於10M),
all,1,mabi,2019-12-01,,,,,,all,authdb,account_lock,,extract,authdb,account_lock,,,,,,,,,尚未確定(小於500K),
all,1,mabi,2019-12-01,,,,,,all,authdb,account_meta_def,,extract,authdb,account_meta_def,,,,,,,,,尚未確定(小於500K),
all,1,mabi,2019-12-01,,,,,,all,authdb,account_pawncoin,,extract,authdb,account_pawncoin,,,,,,,,,帳號兵幣?(大於10M),
all,1,mabi,2019-12-01,,,,,,all,authdb,account_vip,,extract,authdb,account_vip,,,,,,,,,VIP帳號(上個月100級或200元)(大於10M),
all,1,mabi,2019-12-01,,,,,,all,authdb,block_ment,,extract,authdb,block_ment,,,,,,,,,尚未確定(0M),
all,1,mabi,2019-12-01,,,,,,all,authdb,block_users,,extract,authdb,block_users,,,,,,,,,封鎖玩家?(0M),
all,1,mabi,2019-12-01,,,,,,all,authdb,delete_acc_chat,,extract,authdb,delete_acc_chat,,,,,,,,,尚未確定(0M),
all,1,mabi,2019-12-01,,,,,,all,authdb,final_nocharacteraccount,,extract,authdb,final_nocharacteraccount,,,,,,,,,尚未確定(小於500K),
all,1,mabi,2019-12-01,,,,,,all,authdb,final_nocharacterlist,,extract,authdb,final_nocharacterlist,,,,,,,,,尚未確定(小於500K),
all,1,mabi,2019-12-01,,,,,,all,authdb,inviteevent,,extract,authdb,inviteevent,,,,,,,,,尚未確定(0M),
all,1,mabi,2019-12-01,,,,,,all,authdb,workmacrouser,,extract,authdb,workmacrouser,,,,,,,,,尚未確定(0M),
grammar,1,mabi,2019-12-01,,extract,init,onlinetimebyaccount,accountid,all,authdb,account_cache,account,extract,authdb,account_cache,,,,,,,,,帳號key?(大於100M),
grammar,1,mabi,2019-12-01,,extract,init,onlinetimebyaccount,accountid,all,authdb,account_character_ref,id,extract,authdb,account_character_ref,,,,,,,,,帳號角色對應表(大於1G),
grammar,1,mabi,2019-12-01,,extract,init,onlinetimebyaccount,accountid,all,authdb,account_meta,id,extract,authdb,account_meta,,,,,,,,,角色meta(刪除用)(大於1G),
grammar,1,mabi,2019-12-01,,extract,init,onlinetimebyaccount,accountid,all,authdb,account_pet_ref,id,extract,authdb,account_pet_ref,,,,,,,,,帳號寵物對應表(大於1G),
grammar,1,mabi,2019-12-01,,extract,init,onlinetimebyaccount,accountid,all,authdb,accountref,id,extract,authdb,accountref,,,,,,,,,備份當下最後登出入時間(大於100M),
log,1,mabi,2019-12-01,,,,,,all,authdb,account_loginlog,,extract,authdb,account_loginlog,,logdate,logdate,0,1,,,,登入紀錄(id含空白)(大於1G),
log,1,mabi,2019-12-01,,,,,,all,authdb,char_deleted_ref_synch,,extract,authdb,char_deleted_ref_synch,,deletedtime,deletedtime,0,1,,,,刪除角色的帳號對應表(大於1G),
log,1,mabi,2019-12-01,,,,,,all,authdb,gamefeaturedbworklog,,extract,authdb,gamefeaturedbworklog,,regdate,regdate,0,1,,,,尚未確定(小於500K),
