TABLE_CATALOG,TABLE_SCHEMA,TABLE_NAME,TABLE_TYPE
authdb_20200818,dbo,TMP_DO_DROP_CHARACTER_LIST,BASE TABLE
authdb_20200818,dbo,TMP_DO_DROP_PET_LIST,BASE TABLE
authdb_20200818,dbo,block_ment,BASE TABLE
authdb_20200818,dbo,Block_Users,BASE TABLE
authdb_20200818,dbo,account_pawncoin,BASE TABLE
authdb_20200818,dbo,dtproperties,BASE TABLE
authdb_20200818,dbo,account_character_linked_ap,BASE TABLE
authdb_20200818,dbo,tmp_transhistory1,BASE TABLE
authdb_20200818,dbo,account_meta_def,BASE TABLE
authdb_20200818,dbo,account_meta,BASE TABLE
authdb_20200818,dbo,TMP_DO_DROP_CHARACTER_LIST_BAK,BASE TABLE
authdb_20200818,dbo,TMP_DO_DROP_PET_LIST_BAK,BASE TABLE
authdb_20200818,dbo,account_deed,BASE TABLE
authdb_20200818,dbo,tmpAbnormalCharacterlistAccountDB,BASE TABLE
authdb_20200818,dbo,account_loginlog,BASE TABLE
authdb_20200818,dbo,mergeNewGameID_ALL,BASE TABLE
authdb_20200818,dbo,tmpchar_ref_synch_backup,BASE TABLE
authdb_20200818,dbo,account_vip,BASE TABLE
authdb_20200818,dbo,account_character_ref_backupdelete,BASE TABLE
authdb_20200818,dbo,account_pet_ref_backupdelete,BASE TABLE
authdb_20200818,dbo,account_session,BASE TABLE
authdb_20200818,dbo,char_ref_synch,BASE TABLE
authdb_20200818,dbo,bak_char_ref_synch,BASE TABLE
authdb_20200818,dbo,tmpaccount_vip201601,BASE TABLE
authdb_20200818,dbo,tmpaccount,BASE TABLE
authdb_20200818,dbo,tmp_characterlink,BASE TABLE
authdb_20200818,dbo,TMP_WORK,BASE TABLE
authdb_20200818,dbo,BACKUP_ACCOUNT_CHARACTER_REF,BASE TABLE
authdb_20200818,dbo,account_lock,BASE TABLE
authdb_20200818,dbo,account_character_ref_bak,BASE TABLE
authdb_20200818,dbo,TMP_LOST_ACCOUNTLIST,BASE TABLE
authdb_20200818,dbo,tmp_acc,BASE TABLE
authdb_20200818,dbo,tmp_newbieAccAll_bak,BASE TABLE
authdb_20200818,dbo,InviteEvent,BASE TABLE
authdb_20200818,dbo,final_noCharacterAccount,BASE TABLE
authdb_20200818,dbo,final_noCharacterList,BASE TABLE
authdb_20200818,dbo,tmp_newbieAccAll,BASE TABLE
authdb_20200818,dbo,GamefeatureDBWorkLog,BASE TABLE
authdb_20200818,dbo,tmp_webtranshistory,BASE TABLE
authdb_20200818,dbo,tmp_transhistory,BASE TABLE
authdb_20200818,dbo,account,BASE TABLE
authdb_20200818,dbo,tmp_totaltranshistory,BASE TABLE
authdb_20200818,dbo,account_cache,BASE TABLE
authdb_20200818,dbo,account_character_ref,BASE TABLE
authdb_20200818,dbo,account_pet_ref,BASE TABLE
authdb_20200818,dbo,accountref,BASE TABLE
authdb_20200818,dbo,workMacroUser,BASE TABLE
authdb_20200818,dbo,char_deleted_ref_synch,BASE TABLE
authdb_20200818,dbo,delete_acc_chat,BASE TABLE
