schemaname,tablename,rowcounts,totalspacemb,usedspacemb,unusedspacemb
dbo,account_character_ref_backupdelete,35,0,0,0
dbo,account_lock,22477,0,0,0
dbo,account_meta_def,910,0,0,0
dbo,account_pet_ref_backupdelete,116,0,0,0
dbo,block_ment,0,0,0,0
dbo,Block_Users,0,0,0,0
dbo,delete_acc_chat,0,0,0,0
dbo,final_noCharacterAccount,4321,0,0,0
dbo,final_noCharacterList,4485,0,0,0
dbo,GamefeatureDBWorkLog,3,0,0,0
dbo,InviteEvent,0,0,0,0
dbo,tmp_acc,2379,0,0,0
dbo,TMP_DO_DROP_PET_LIST,8709,0,0,0
dbo,TMP_DO_DROP_PET_LIST_BAK,8709,0,0,0
dbo,TMP_LOST_ACCOUNTLIST,283,0,0,0
dbo,tmp_totaltranshistory,3945,0,0,0
dbo,tmp_transhistory,4428,0,0,0
dbo,tmp_transhistory1,3237,0,0,0
dbo,tmp_webtranshistory,1118,0,0,0
dbo,TMP_WORK,324,0,0,0
dbo,tmpAbnormalCharacterlistAccountDB,58,0,0,0
dbo,tmpaccount,66,0,0,0
dbo,tmpaccount_vip201601,14,0,0,0
dbo,workMacroUser,0,0,0,0
dbo,bak_char_ref_synch,9929,1,1,0
dbo,tmp_newbieAccAll_bak,108724,4,4,0
dbo,account_character_linked_ap,121050,10,7,2
dbo,tmp_characterlink,238634,14,14,0
dbo,account_vip,283010,16,15,0
dbo,BACKUP_ACCOUNT_CHARACTER_REF,362274,25,25,0
dbo,account_character_ref_bak,362274,26,26,0
dbo,account_pawncoin,434474,38,36,2
dbo,TMP_DO_DROP_CHARACTER_LIST_BAK,505052,42,42,0
dbo,account_deed,463501,43,43,0
dbo,TMP_DO_DROP_CHARACTER_LIST,505052,48,48,0
dbo,tmp_newbieAccAll,1283592,59,59,0
dbo,account_cache,1799057,145,87,58
dbo,account_session,1463200,242,143,99
dbo,accountref,1800062,313,187,126
dbo,mergeNewGameID_ALL,2498480,369,369,0
dbo,account,2977583,524,522,2
dbo,tmpchar_ref_synch_backup,5984791,731,731,0
dbo,char_deleted_ref_synch,1151285,1399,290,1108
dbo,account_character_ref,2314948,1425,938,486
dbo,account_pet_ref,3914288,1559,1320,238
dbo,account_meta,17151035,3092,3091,0
dbo,char_ref_synch,6229236,3168,3167,0
dbo,account_loginlog,83798341,6908,6907,0
