TABLE_CATALOG,TABLE_SCHEMA,TABLE_NAME,COLUMN_NAME,ORDINAL_POSITION,COLUMN_DEFAULT,IS_NULLABLE,DATA_TYPE,CHARACTER_MAXIMUM_LENGTH,CHARACTER_OCTET_LENGTH,NUMERIC_PRECISION,NUMERIC_PRECISION_RADIX,NUMERIC_SCALE,DATETIME_PRECISION,CHARACTER_SET_CATALOG,CHARACTER_SET_SCHEMA,CHARACTER_SET_NAME,COLLATION_CATALOG,COLLATION_SCHEMA,COLLATION_NAME,DOMAIN_CATALOG,DOMAIN_SCHEMA,DOMAIN_NAME
itemshop_20200818,dbo,sst_customers_cart,cart_no,1,,NO,bigint,,,19.0,10.0,0.0,,,,,,,,,,
itemshop_20200818,dbo,sst_customers_cart,product_no,2,,NO,int,,,10.0,10.0,0.0,,,,,,,,,,
itemshop_20200818,dbo,sst_customers_cart,service_code,3,,NO,char,5.0,5.0,,,,,,,cp950,,,Chinese_Taiwan_Stroke_CI_AS,,,
itemshop_20200818,dbo,sst_customers_cart,game_server,4,,NO,int,,,10.0,10.0,0.0,,,,,,,,,,
itemshop_20200818,dbo,sst_customers_cart,game_id,5,,NO,varchar,100.0,100.0,,,,,,,cp950,,,Chinese_Taiwan_Stroke_CI_AS,,,
itemshop_20200818,dbo,sst_customers_cart,is_present,6,(0),NO,tinyint,,,3.0,10.0,0.0,,,,,,,,,,
itemshop_20200818,dbo,sst_customers_cart,master_game_id,7,,YES,varchar,100.0,100.0,,,,,,,cp950,,,Chinese_Taiwan_Stroke_CI_AS,,,
itemshop_20200818,dbo,sst_customers_cart,user_id,8,,YES,varchar,50.0,50.0,,,,,,,cp950,,,Chinese_Taiwan_Stroke_CI_AS,,,
itemshop_20200818,dbo,sst_customers_cart,modify_date,9,(getdate()),NO,smalldatetime,,,,,,0.0,,,,,,,,,
itemshop_20200818,dbo,sst_customers_cart,order_quantity,10,(1),NO,tinyint,,,3.0,10.0,0.0,,,,,,,,,,
itemshop_20200818,dbo,sst_customers_cart_extend,cart_no,1,,NO,bigint,,,19.0,10.0,0.0,,,,,,,,,,
itemshop_20200818,dbo,sst_customers_cart_extend,compound_sn,2,,NO,int,,,10.0,10.0,0.0,,,,,,,,,,
itemshop_20200818,dbo,sst_customers_cart_extend,cart_attribute0,3,,YES,varchar,64.0,64.0,,,,,,,cp950,,,Chinese_Taiwan_Stroke_CI_AS,,,
itemshop_20200818,dbo,sst_customers_cart_extend,cart_attribute1,4,,YES,varchar,64.0,64.0,,,,,,,cp950,,,Chinese_Taiwan_Stroke_CI_AS,,,
itemshop_20200818,dbo,sst_customers_cart_extend,cart_attribute2,5,,YES,varchar,64.0,64.0,,,,,,,cp950,,,Chinese_Taiwan_Stroke_CI_AS,,,
itemshop_20200818,dbo,tmp_transhistory20151002_3,訂單編號,1,,YES,int,,,10.0,10.0,0.0,,,,,,,,,,
