type,layers,gamename,startdate,enddate,parenthivedb,parentdbname,parenttablename,parentcolumnname,orihivedb,oridbname,oritablename,oricolumnname,hivedb,dbname,tablename,columnname,logstartdate,logenddate,dtbeforeday,dtafterday,logfilename,log,sql,memo,memo2
all,1,mabi,2019-12-01,,,,,,all,itemshop,sst_carts,,extract,itemshop,sst_carts,,,,,,,,,尚未確定(0M),
all,1,mabi,2019-12-01,,,,,,all,itemshop,sst_categories,,extract,itemshop,sst_categories,,,,,,,,,尚未確定(小於500K),
all,1,mabi,2019-12-01,,,,,,all,itemshop,sst_categories_service_code,,extract,itemshop,sst_categories_service_code,,,,,,,,,尚未確定(小於500K),
all,1,mabi,2019-12-01,,,,,,all,itemshop,sst_coupon_map,,extract,itemshop,sst_coupon_map,,,,,,,,,尚未確定(0M),
all,1,mabi,2019-12-01,,,,,,all,itemshop,sst_customer_deliveries,,extract,itemshop,sst_customer_deliveries,,,,,,,,,尚未確定(0M),
all,1,mabi,2019-12-01,,,,,,all,itemshop,sst_customer_delivery_logs,,extract,itemshop,sst_customer_delivery_logs,,,,,,,,,尚未確定(0M),
all,1,mabi,2019-12-01,,,,,,all,itemshop,sst_customers_cart,,extract,itemshop,sst_customers_cart,,,,,,,,,尚未確定(大於1M),
all,1,mabi,2019-12-01,,,,,,all,itemshop,sst_customers_cart_extend,,extract,itemshop,sst_customers_cart_extend,,,,,,,,,尚未確定(0M),
all,1,mabi,2019-12-01,,,,,,all,itemshop,sst_gameserver,,extract,itemshop,sst_gameserver,,,,,,,,,尚未確定(小於500K),
all,1,mabi,2019-12-01,,,,,,all,itemshop,sst_keyword,,extract,itemshop,sst_keyword,,,,,,,,,尚未確定(0M),
all,1,mabi,2019-12-01,,,,,,all,itemshop,sst_keyword_types,,extract,itemshop,sst_keyword_types,,,,,,,,,尚未確定(0M),
all,1,mabi,2019-12-01,,,,,,all,itemshop,sst_keywords,,extract,itemshop,sst_keywords,,,,,,,,,尚未確定(0M),
all,1,mabi,2019-12-01,,,,,,all,itemshop,sst_log,,extract,itemshop,sst_log,,,,,,,,,尚未確定(大於1M),
all,1,mabi,2019-12-01,,,,,,all,itemshop,sst_lotteries,,extract,itemshop,sst_lotteries,,,,,,,,,尚未確定(0M),
all,1,mabi,2019-12-01,,,,,,all,itemshop,sst_lottery_histories,,extract,itemshop,sst_lottery_histories,,,,,,,,,尚未確定(0M),
all,1,mabi,2019-12-01,,,,,,all,itemshop,sst_lottery_issue_histories,,extract,itemshop,sst_lottery_issue_histories,,,,,,,,,尚未確定(0M),
all,1,mabi,2019-12-01,,,,,,all,itemshop,sst_lottery_issues,,extract,itemshop,sst_lottery_issues,,,,,,,,,尚未確定(0M),
all,1,mabi,2019-12-01,,,,,,all,itemshop,sst_lottery_item_histories,,extract,itemshop,sst_lottery_item_histories,,,,,,,,,尚未確定(0M),
all,1,mabi,2019-12-01,,,,,,all,itemshop,sst_lottery_item_properties,,extract,itemshop,sst_lottery_item_properties,,,,,,,,,尚未確定(0M),
all,1,mabi,2019-12-01,,,,,,all,itemshop,sst_lottery_item_property_histories,,extract,itemshop,sst_lottery_item_property_histories,,,,,,,,,尚未確定(0M),
all,1,mabi,2019-12-01,,,,,,all,itemshop,sst_lottery_items,,extract,itemshop,sst_lottery_items,,,,,,,,,尚未確定(0M),
all,1,mabi,2019-12-01,,,,,,all,itemshop,sst_lottery_properties,,extract,itemshop,sst_lottery_properties,,,,,,,,,尚未確定(0M),
all,1,mabi,2019-12-01,,,,,,all,itemshop,sst_lottery_type_configuration_histories,,extract,itemshop,sst_lottery_type_configuration_histories,,,,,,,,,尚未確定(0M),
all,1,mabi,2019-12-01,,,,,,all,itemshop,sst_lottery_type_configurations,,extract,itemshop,sst_lottery_type_configurations,,,,,,,,,尚未確定(0M),
all,1,mabi,2019-12-01,,,,,,all,itemshop,sst_lottery_types,,extract,itemshop,sst_lottery_types,,,,,,,,,尚未確定(0M),
all,1,mabi,2019-12-01,,,,,,all,itemshop,sst_option_compound_define,,extract,itemshop,sst_option_compound_define,,,,,,,,,尚未確定(0M),
all,1,mabi,2019-12-01,,,,,,all,itemshop,sst_option_compounds,,extract,itemshop,sst_option_compounds,,,,,,,,,尚未確定(0M),
all,1,mabi,2019-12-01,,,,,,all,itemshop,sst_options,,extract,itemshop,sst_options,,,,,,,,,尚未確定(0M),
all,1,mabi,2019-12-01,,,,,,all,itemshop,sst_order_activations,,extract,itemshop,sst_order_activations,,,,,,,,,尚未確定(大於100M),
all,1,mabi,2019-12-01,,,,,,all,itemshop,sst_order_cartinfo,,extract,itemshop,sst_order_cartinfo,,,,,,,,,尚未確定(0M),
all,1,mabi,2019-12-01,,,,,,all,itemshop,sst_order_deliveries,,extract,itemshop,sst_order_deliveries,,,,,,,,,尚未確定(0M),
all,1,mabi,2019-12-01,,,,,,all,itemshop,sst_order_details,,extract,itemshop,sst_order_details,,,,,,,,,遊戲商城訂單細節(大於100M),
all,1,mabi,2019-12-01,,,,,,all,itemshop,sst_order_options,,extract,itemshop,sst_order_options,,,,,,,,,尚未確定(0M),
all,1,mabi,2019-12-01,,,,,,all,itemshop,sst_order_payments,,extract,itemshop,sst_order_payments,,,,,,,,,訂單付款詳情?(與sst_orders筆數相同)(大於1G),
all,1,mabi,2019-12-01,,,,,,all,itemshop,sst_order_processes,,extract,itemshop,sst_order_processes,,,,,,,,,尚未確定(小於500K),
all,1,mabi,2019-12-01,,,,,,all,itemshop,sst_order_recive_info,,extract,itemshop,sst_order_recive_info,,,,,,,,,尚未確定(0M),
all,1,mabi,2019-12-01,,,,,,all,itemshop,sst_order_relation_cash,,extract,itemshop,sst_order_relation_cash,,,,,,,,,尚未確定(大於100M),
all,1,mabi,2019-12-01,,,,,,all,itemshop,sst_order_send_activation_logs,,extract,itemshop,sst_order_send_activation_logs,,,,,,,,,尚未確定(0M),
all,1,mabi,2019-12-01,,,,,,all,itemshop,sst_order_send_activations,,extract,itemshop,sst_order_send_activations,,,,,,,,,尚未確定(0M),
all,1,mabi,2019-12-01,,,,,,all,itemshop,sst_order_situation_monitoring,,extract,itemshop,sst_order_situation_monitoring,,,,,,,,,尚未確定(0M),
all,1,mabi,2019-12-01,,,,,,all,itemshop,sst_order_situation_of_options,,extract,itemshop,sst_order_situation_of_options,,,,,,,,,尚未確定(0M),
all,1,mabi,2019-12-01,,,,,,all,itemshop,sst_order_situation_of_package_products,,extract,itemshop,sst_order_situation_of_package_products,,,,,,,,,尚未確定(0M),
all,1,mabi,2019-12-01,,,,,,all,itemshop,sst_order_situations,,extract,itemshop,sst_order_situations,,,,,,,,,尚未確定(大於10M),
all,1,mabi,2019-12-01,,,,,,all,itemshop,sst_order_situations_by_time,,extract,itemshop,sst_order_situations_by_time,,,,,,,,,尚未確定(0M),
all,1,mabi,2019-12-01,,,,,,all,itemshop,sst_order_statistics,,extract,itemshop,sst_order_statistics,,,,,,,,,尚未確定(0M),
