TABLE_CATALOG,TABLE_SCHEMA,TABLE_NAME,TABLE_TYPE
itemshop_20200818,dbo,sst_customers_cart,BASE TABLE
itemshop_20200818,dbo,sst_customers_cart_extend,BASE TABLE
itemshop_20200818,dbo,tmp_transhistory20151002_3,BASE TABLE
itemshop_20200818,dbo,sst_gameserver,BASE TABLE
itemshop_20200818,dbo,tmp_transhistory201509240927_t,BASE TABLE
itemshop_20200818,dbo,sst_item_sale_report_by_time,BASE TABLE
itemshop_20200818,dbo,sst_keyword,BASE TABLE
itemshop_20200818,dbo,tmp_transhistory20151030_1,BASE TABLE
itemshop_20200818,dbo,sst_keyword_types,BASE TABLE
itemshop_20200818,dbo,sst_keywords,BASE TABLE
itemshop_20200818,dbo,sst_log,BASE TABLE
itemshop_20200818,dbo,sst_lotteries,BASE TABLE
itemshop_20200818,dbo,sst_lottery_histories,BASE TABLE
itemshop_20200818,dbo,sst_lottery_issue_histories,BASE TABLE
itemshop_20200818,dbo,sst_lottery_issues,BASE TABLE
itemshop_20200818,dbo,tmp_transhistory20151214_1,BASE TABLE
itemshop_20200818,dbo,sst_lottery_item_histories,BASE TABLE
itemshop_20200818,dbo,sst_lottery_item_properties,BASE TABLE
itemshop_20200818,dbo,sst_lottery_item_property_histories,BASE TABLE
itemshop_20200818,dbo,sst_lottery_items,BASE TABLE
itemshop_20200818,dbo,sst_lottery_properties,BASE TABLE
itemshop_20200818,dbo,tmp_transhistory20151005,BASE TABLE
itemshop_20200818,dbo,sst_lottery_type_configuration_histories,BASE TABLE
itemshop_20200818,dbo,tmp_transhistory20160530,BASE TABLE
itemshop_20200818,dbo,sst_lottery_type_configurations,BASE TABLE
itemshop_20200818,dbo,tmp_transhistory20160530_1,BASE TABLE
itemshop_20200818,dbo,sst_lottery_types,BASE TABLE
itemshop_20200818,dbo,tmp_transhistory20160530test,BASE TABLE
itemshop_20200818,dbo,sst_option_compound_define,BASE TABLE
itemshop_20200818,dbo,tmp_transhistory20160530test_1,BASE TABLE
itemshop_20200818,dbo,sst_option_compounds,BASE TABLE
itemshop_20200818,dbo,tmp_transhistory20160603,BASE TABLE
itemshop_20200818,dbo,sst_options,BASE TABLE
itemshop_20200818,dbo,tmp_transhistory20160603_1,BASE TABLE
itemshop_20200818,dbo,sst_order_activations,BASE TABLE
itemshop_20200818,dbo,test_20160701,BASE TABLE
itemshop_20200818,dbo,sst_order_cartinfo,BASE TABLE
itemshop_20200818,dbo,tmp_transhistory20160801,BASE TABLE
itemshop_20200818,dbo,sst_order_deliveries,BASE TABLE
itemshop_20200818,dbo,sst_order_details,BASE TABLE
itemshop_20200818,dbo,sst_order_options,BASE TABLE
itemshop_20200818,dbo,sst_order_payments,BASE TABLE
itemshop_20200818,dbo,sst_order_process_logs,BASE TABLE
itemshop_20200818,dbo,tmp_transhistory20161124,BASE TABLE
itemshop_20200818,dbo,sst_order_processes,BASE TABLE
itemshop_20200818,dbo,tmp_transhistory20161124_1,BASE TABLE
itemshop_20200818,dbo,sst_order_recive_info,BASE TABLE
itemshop_20200818,dbo,sst_order_relation_cash,BASE TABLE
itemshop_20200818,dbo,sst_order_send_activation_logs,BASE TABLE
itemshop_20200818,dbo,sst_order_send_activations,BASE TABLE
itemshop_20200818,dbo,sst_order_situation_monitoring,BASE TABLE
itemshop_20200818,dbo,tmp_transhistory20170126,BASE TABLE
itemshop_20200818,dbo,sst_order_situation_of_options,BASE TABLE
itemshop_20200818,dbo,sst_order_situation_of_package_products,BASE TABLE
itemshop_20200818,dbo,tmp_transhistory,BASE TABLE
itemshop_20200818,dbo,sst_order_situations,BASE TABLE
itemshop_20200818,dbo,tmp_transhistory20170704,BASE TABLE
itemshop_20200818,dbo,sst_order_situations_by_time,BASE TABLE
itemshop_20200818,dbo,sst_order_statistics,BASE TABLE
itemshop_20200818,dbo,sst_order_statistics_game_id,BASE TABLE
itemshop_20200818,dbo,sst_order_statistics_product_no,BASE TABLE
itemshop_20200818,dbo,sst_order_statistics_user,BASE TABLE
