schemaname,tablename,rowcounts,totalspacemb,usedspacemb,unusedspacemb
dbo,sst_lotteries,0,0,0,0
dbo,sst_lottery_histories,0,0,0,0
dbo,sst_lottery_issue_histories,0,0,0,0
dbo,sst_lottery_issues,0,0,0,0
dbo,sst_lottery_item_histories,0,0,0,0
dbo,sst_lottery_item_properties,0,0,0,0
dbo,sst_lottery_item_property_histories,0,0,0,0
dbo,sst_lottery_items,0,0,0,0
dbo,sst_lottery_properties,0,0,0,0
dbo,sst_lottery_type_configuration_histories,0,0,0,0
dbo,sst_lottery_type_configurations,0,0,0,0
dbo,sst_lottery_types,0,0,0,0
dbo,sst_option_compound_define,0,0,0,0
dbo,sst_option_compounds,0,0,0,0
dbo,sst_options,0,0,0,0
dbo,sst_carts,0,0,0,0
dbo,sst_categories,7,0,0,0
dbo,sst_categories_service_code,7,0,0,0
dbo,sst_coupon_map,0,0,0,0
dbo,sst_customer_deliveries,0,0,0,0
dbo,sst_customer_delivery_logs,0,0,0,0
dbo,sst_keyword,0,0,0,0
dbo,sst_keyword_types,0,0,0,0
dbo,sst_keywords,0,0,0,0
dbo,sst_customers_cart_extend,0,0,0,0
dbo,sst_gameserver,6,0,0,0
dbo,sst_order_cartinfo,0,0,0,0
dbo,sst_order_deliveries,0,0,0,0
dbo,sst_order_options,0,0,0,0
dbo,sst_order_processes,20,0,0,0
dbo,sst_order_recive_info,0,0,0,0
dbo,sst_partner_suppliers,0,0,0,0
dbo,sst_present_carts,0,0,0,0
dbo,sst_product_attribute,1200,0,0,0
dbo,sst_product_category_relations,1200,0,0,0
dbo,sst_product_contents_properties,0,0,0,0
dbo,sst_product_contents_property_histories,0,0,0,0
dbo,sst_product_histories,7474,0,0,0
dbo,sst_product_keyword_relations,0,0,0,0
dbo,sst_product_keywords,0,0,0,0
dbo,sst_product_options,0,0,0,0
dbo,sst_product_order_quantity,0,0,0,0
dbo,sst_product_package,309,0,0,0
dbo,sst_product_parts,0,0,0,0
dbo,sst_product_sex,0,0,0,0
dbo,sst_product_statuses,131,0,0,0
dbo,sst_order_send_activation_logs,0,0,0,0
dbo,sst_order_send_activations,0,0,0,0
dbo,sst_order_situation_monitoring,0,0,0,0
dbo,sst_order_situation_of_options,0,0,0,0
dbo,sst_order_situation_of_package_products,0,0,0,0
dbo,sst_order_situations_by_time,0,0,0,0
dbo,sst_order_statistics,0,0,0,0
dbo,sst_order_statistics_game_id,5,0,0,0
dbo,sst_order_statistics_product_no,23,0,0,0
dbo,sst_order_statistics_user,0,0,0,0
dbo,sst_order_virtual_cash,0,0,0,0
dbo,sst_services,1,0,0,0
dbo,sst_set_products,24,0,0,0
dbo,sst_shop_users,0,0,0,0
dbo,sst_transaction_failure_logs,0,0,0,0
dbo,sst_user_game_ids,0,0,0,0
dbo,temp_categories,0,0,0,0
dbo,temp_product_category_relations,0,0,0,0
dbo,temp_product_category_relations_new,0,0,0,0
dbo,sst_properties,0,0,0,0
dbo,sst_properties_item,0,0,0,0
dbo,sst_relation_products,0,0,0,0
dbo,test_dts,0,0,0,0
dbo,tmp_transhistory,5600,0,0,0
dbo,tmp_transhistory20150918,2445,0,0,0
dbo,tmp_transhistory201509240927_t,4219,0,0,0
dbo,tmp_transhistory20150930,4219,0,0,0
dbo,tmp_transhistory20151002_1,3965,0,0,0
dbo,tmp_transhistory20151002_2,4026,0,0,0
dbo,tmp_transhistory20151002_3,6653,0,0,0
dbo,tmp_transhistory20151005,6653,0,0,0
dbo,tmp_transhistory20151214_1,329,0,0,0
dbo,tmp_transhistory20160530,384,0,0,0
dbo,tmp_transhistory20160530_1,313,0,0,0
dbo,tmp_transhistory20160530test,760,0,0,0
dbo,tmp_transhistory20160530test_1,602,0,0,0
dbo,tmp_transhistory20160603,1085,0,0,0
dbo,tmp_transhistory20160603_1,849,0,0,0
dbo,tmp_transhistory20160801,6447,0,0,0
dbo,tmp_transhistory20161124,8573,0,0,0
dbo,tmp_transhistory20170126,873,0,0,0
dbo,tmp_transhistory20170704,393,0,0,0
dbo,vio_선물하기_20070720,0,0,0,0
dbo,tmp_transhistory20151001_1,9339,1,1,0
dbo,tmp_transhistory20151002,13984,1,1,0
dbo,tmp_transhistory20150907,11799,1,1,0
dbo,tmp_transhistory20150908,15677,1,1,0
dbo,sst_products,1200,1,0,0
dbo,test_20160701,36432,2,1,0
dbo,tmp_transhistory20161124_1,23324,2,2,0
dbo,sst_log,27167,3,3,0
dbo,tmp_transhistory20151030_1,37763,4,3,0
dbo,sst_repetition_order_count_by_yyyymm,16795,5,4,0
dbo,sst_customers_cart,52387,6,5,0
dbo,sst_order_situations,283555,34,18,16
dbo,sst_products_wish_list,221775,36,22,13
dbo,sst_order_relation_cash,9153609,420,215,205
dbo,sst_order_details,9153610,881,451,430
dbo,sst_order_activations,8915341,987,641,345
dbo,sst_order_process_logs,17974058,1737,1076,660
dbo,sst_order_payments,8915341,3066,1567,1499
dbo,sst_orders,8915341,4406,2278,2127
dbo,sst_item_sale_report_by_time,1752257,12981,147,12834
