TABLE_CATALOG,TABLE_SCHEMA,TABLE_NAME,COLUMN_NAME,ORDINAL_POSITION,COLUMN_DEFAULT,IS_NULLABLE,DATA_TYPE,CHARACTER_MAXIMUM_LENGTH,CHARACTER_OCTET_LENGTH,NUMERIC_PRECISION,NUMERIC_PRECISION_RADIX,NUMERIC_SCALE,DATETIME_PRECISION,CHARACTER_SET_CATALOG,CHARACTER_SET_SCHEMA,CHARACTER_SET_NAME,COLLATION_CATALOG,COLLATION_SCHEMA,COLLATION_NAME,DOMAIN_CATALOG,DOMAIN_SCHEMA,DOMAIN_NAME
mabi_guild2_20200818,dbo,awayGuildmember,memberid,1,,NO,bigint,,,19.0,10.0,0.0,,,,,,,,,,
mabi_guild2_20200818,dbo,awayGuildmember,server,2,,NO,nvarchar,32.0,64.0,,,,,,,UNICODE,,,Chinese_Taiwan_Stroke_CI_AS,,,
mabi_guild2_20200818,dbo,awayGuildmember,guildid,3,,NO,bigint,,,19.0,10.0,0.0,,,,,,,,,,
mabi_guild2_20200818,dbo,awayGuildmember,jointime,4,,NO,datetime,,,,,,3.0,,,,,,,,,
mabi_guild2_20200818,dbo,awayGuildmember,name,5,,NO,nvarchar,32.0,64.0,,,,,,,UNICODE,,,Chinese_Taiwan_Stroke_CI_AS,,,
mabi_guild2_20200818,dbo,awayGuildmember,account,6,,NO,nvarchar,32.0,64.0,,,,,,,UNICODE,,,Chinese_Taiwan_Stroke_CI_AS,,,
mabi_guild2_20200818,dbo,awayGuildmember,awaytime,7,(getdate()),NO,datetime,,,,,,3.0,,,,,,,,,
mabi_guild2_20200818,dbo,guild,id,1,,NO,bigint,,,19.0,10.0,0.0,,,,,,,,,,
mabi_guild2_20200818,dbo,guild,name,2,,NO,nvarchar,128.0,256.0,,,,,,,UNICODE,,,Chinese_Taiwan_Stroke_CI_AS,,,
mabi_guild2_20200818,dbo,guild,server,3,,NO,nvarchar,128.0,256.0,,,,,,,UNICODE,,,Chinese_Taiwan_Stroke_CI_AS,,,
mabi_guild2_20200818,dbo,guild,guildpoint,4,,NO,int,,,10.0,10.0,0.0,,,,,,,,,,
mabi_guild2_20200818,dbo,guild,guildmoney,5,,NO,int,,,10.0,10.0,0.0,,,,,,,,,,
mabi_guild2_20200818,dbo,guild,guildtype,6,,NO,int,,,10.0,10.0,0.0,,,,,,,,,,
mabi_guild2_20200818,dbo,guild,jointype,7,,NO,int,,,10.0,10.0,0.0,,,,,,,,,,
mabi_guild2_20200818,dbo,guild,maxmember,8,(0),NO,int,,,10.0,10.0,0.0,,,,,,,,,,
mabi_guild2_20200818,dbo,guild,membernum,9,(0),NO,int,,,10.0,10.0,0.0,,,,,,,,,,
mabi_guild2_20200818,dbo,guild,guildability,10,,NO,int,,,10.0,10.0,0.0,,,,,,,,,,
mabi_guild2_20200818,dbo,guild,createtime,11,(getdate()),NO,datetime,,,,,,3.0,,,,,,,,,
mabi_guild2_20200818,dbo,guild,updatetime,12,,NO,datetime,,,,,,3.0,,,,,,,,,
mabi_guild2_20200818,dbo,guild,guildmasterid,13,,NO,bigint,,,19.0,10.0,0.0,,,,,,,,,,
mabi_guild2_20200818,dbo,guild,webmembercount,14,,NO,int,,,10.0,10.0,0.0,,,,,,,,,,
mabi_guild2_20200818,dbo,guild,expiration,15,,NO,datetime,,,,,,3.0,,,,,,,,,
mabi_guild2_20200818,dbo,guild,enable,16,,NO,tinyint,,,3.0,10.0,0.0,,,,,,,,,,
mabi_guild2_20200818,dbo,guild,masterChangeTime,17,(getdate()),NO,smalldatetime,,,,,,0.0,,,,,,,,,
mabi_guild2_20200818,dbo,guild,drawablemoney,18,(0),NO,int,,,10.0,10.0,0.0,,,,,,,,,,
mabi_guild2_20200818,dbo,guild,drawabledate,19,(getdate()),NO,datetime,,,,,,3.0,,,,,,,,,
mabi_guild2_20200818,dbo,guild,battlegroundtype,20,(0),NO,tinyint,,,3.0,10.0,0.0,,,,,,,,,,
mabi_guild2_20200818,dbo,guild,BattleGroundWinnerType,21,(0),NO,tinyint,,,3.0,10.0,0.0,,,,,,,,,,
mabi_guild2_20200818,dbo,guild,guildstatusflag,22,(0),NO,tinyint,,,3.0,10.0,0.0,,,,,,,,,,
mabi_guild2_20200818,dbo,guild,guildtitle,23,(''),NO,nvarchar,20.0,40.0,,,,,,,UNICODE,,,Chinese_Taiwan_Stroke_CI_AS,,,
mabi_guild2_20200818,dbo,guild,townid,24,((0)),NO,smallint,,,5.0,10.0,0.0,,,,,,,,,,
mabi_guild2_20200818,dbo,guild,memcnt,25,((0)),NO,smallint,,,5.0,10.0,0.0,,,,,,,,,,
mabi_guild2_20200818,dbo,guild,registtime,26,((0)),NO,datetime,,,,,,3.0,,,,,,,,,
mabi_guild2_20200818,dbo,bak_guild_20110805,id,1,,NO,bigint,,,19.0,10.0,0.0,,,,,,,,,,
mabi_guild2_20200818,dbo,bak_guild_20110805,name,2,,NO,nvarchar,128.0,256.0,,,,,,,UNICODE,,,Chinese_Taiwan_Stroke_CI_AS,,,
mabi_guild2_20200818,dbo,bak_guild_20110805,server,3,,NO,nvarchar,128.0,256.0,,,,,,,UNICODE,,,Chinese_Taiwan_Stroke_CI_AS,,,
mabi_guild2_20200818,dbo,bak_guild_20110805,guildpoint,4,,NO,int,,,10.0,10.0,0.0,,,,,,,,,,
mabi_guild2_20200818,dbo,bak_guild_20110805,guildmoney,5,,NO,int,,,10.0,10.0,0.0,,,,,,,,,,
mabi_guild2_20200818,dbo,bak_guild_20110805,guildtype,6,,NO,int,,,10.0,10.0,0.0,,,,,,,,,,
mabi_guild2_20200818,dbo,bak_guild_20110805,jointype,7,,NO,int,,,10.0,10.0,0.0,,,,,,,,,,
mabi_guild2_20200818,dbo,bak_guild_20110805,maxmember,8,,NO,int,,,10.0,10.0,0.0,,,,,,,,,,
mabi_guild2_20200818,dbo,bak_guild_20110805,membernum,9,,NO,int,,,10.0,10.0,0.0,,,,,,,,,,
mabi_guild2_20200818,dbo,bak_guild_20110805,guildability,10,,NO,int,,,10.0,10.0,0.0,,,,,,,,,,
mabi_guild2_20200818,dbo,bak_guild_20110805,createtime,11,,NO,datetime,,,,,,3.0,,,,,,,,,
mabi_guild2_20200818,dbo,bak_guild_20110805,updatetime,12,,NO,datetime,,,,,,3.0,,,,,,,,,
mabi_guild2_20200818,dbo,bak_guild_20110805,guildmasterid,13,,NO,bigint,,,19.0,10.0,0.0,,,,,,,,,,
mabi_guild2_20200818,dbo,bak_guild_20110805,webmembercount,14,,NO,int,,,10.0,10.0,0.0,,,,,,,,,,
mabi_guild2_20200818,dbo,bak_guild_20110805,expiration,15,,NO,datetime,,,,,,3.0,,,,,,,,,
mabi_guild2_20200818,dbo,bak_guild_20110805,enable,16,,NO,tinyint,,,3.0,10.0,0.0,,,,,,,,,,
mabi_guild2_20200818,dbo,bak_guild_20110805,masterChangeTime,17,,NO,smalldatetime,,,,,,0.0,,,,,,,,,
mabi_guild2_20200818,dbo,bak_guild_20110805,drawablemoney,18,,NO,int,,,10.0,10.0,0.0,,,,,,,,,,
mabi_guild2_20200818,dbo,bak_guild_20110805,drawabledate,19,,NO,datetime,,,,,,3.0,,,,,,,,,
mabi_guild2_20200818,dbo,bak_guild_20110805,battlegroundtype,20,,NO,tinyint,,,3.0,10.0,0.0,,,,,,,,,,
mabi_guild2_20200818,dbo,bak_guild_20110805,BattleGroundWinnerType,21,,NO,tinyint,,,3.0,10.0,0.0,,,,,,,,,,
mabi_guild2_20200818,dbo,bak_guild_20110805,guildstatusflag,22,,NO,tinyint,,,3.0,10.0,0.0,,,,,,,,,,
mabi_guild2_20200818,dbo,bak_guild_20110805,guildtitle,23,,NO,nvarchar,20.0,40.0,,,,,,,UNICODE,,,Chinese_Taiwan_Stroke_CI_AS,,,
mabi_guild2_20200818,dbo,bak_guild_20110823,id,1,,NO,bigint,,,19.0,10.0,0.0,,,,,,,,,,
mabi_guild2_20200818,dbo,bak_guild_20110823,name,2,,NO,nvarchar,128.0,256.0,,,,,,,UNICODE,,,Chinese_Taiwan_Stroke_CI_AS,,,
mabi_guild2_20200818,dbo,bak_guild_20110823,server,3,,NO,nvarchar,128.0,256.0,,,,,,,UNICODE,,,Chinese_Taiwan_Stroke_CI_AS,,,
mabi_guild2_20200818,dbo,bak_guild_20110823,guildpoint,4,,NO,int,,,10.0,10.0,0.0,,,,,,,,,,
mabi_guild2_20200818,dbo,bak_guild_20110823,guildmoney,5,,NO,int,,,10.0,10.0,0.0,,,,,,,,,,
mabi_guild2_20200818,dbo,bak_guild_20110823,guildtype,6,,NO,int,,,10.0,10.0,0.0,,,,,,,,,,
mabi_guild2_20200818,dbo,bak_guild_20110823,jointype,7,,NO,int,,,10.0,10.0,0.0,,,,,,,,,,
mabi_guild2_20200818,dbo,bak_guild_20110823,maxmember,8,,NO,int,,,10.0,10.0,0.0,,,,,,,,,,
mabi_guild2_20200818,dbo,bak_guild_20110823,membernum,9,,NO,int,,,10.0,10.0,0.0,,,,,,,,,,
mabi_guild2_20200818,dbo,bak_guild_20110823,guildability,10,,NO,int,,,10.0,10.0,0.0,,,,,,,,,,
mabi_guild2_20200818,dbo,bak_guild_20110823,createtime,11,,NO,datetime,,,,,,3.0,,,,,,,,,
mabi_guild2_20200818,dbo,bak_guild_20110823,updatetime,12,,NO,datetime,,,,,,3.0,,,,,,,,,
mabi_guild2_20200818,dbo,bak_guild_20110823,guildmasterid,13,,NO,bigint,,,19.0,10.0,0.0,,,,,,,,,,
mabi_guild2_20200818,dbo,bak_guild_20110823,webmembercount,14,,NO,int,,,10.0,10.0,0.0,,,,,,,,,,
mabi_guild2_20200818,dbo,bak_guild_20110823,expiration,15,,NO,datetime,,,,,,3.0,,,,,,,,,
mabi_guild2_20200818,dbo,bak_guild_20110823,enable,16,,NO,tinyint,,,3.0,10.0,0.0,,,,,,,,,,
mabi_guild2_20200818,dbo,bak_guild_20110823,masterChangeTime,17,,NO,smalldatetime,,,,,,0.0,,,,,,,,,
mabi_guild2_20200818,dbo,bak_guild_20110823,drawablemoney,18,,NO,int,,,10.0,10.0,0.0,,,,,,,,,,
mabi_guild2_20200818,dbo,bak_guild_20110823,drawabledate,19,,NO,datetime,,,,,,3.0,,,,,,,,,
mabi_guild2_20200818,dbo,bak_guild_20110823,battlegroundtype,20,,NO,tinyint,,,3.0,10.0,0.0,,,,,,,,,,
mabi_guild2_20200818,dbo,bak_guild_20110823,BattleGroundWinnerType,21,,NO,tinyint,,,3.0,10.0,0.0,,,,,,,,,,
mabi_guild2_20200818,dbo,bak_guild_20110823,guildstatusflag,22,,NO,tinyint,,,3.0,10.0,0.0,,,,,,,,,,
mabi_guild2_20200818,dbo,bak_guild_20110823,guildtitle,23,,NO,nvarchar,20.0,40.0,,,,,,,UNICODE,,,Chinese_Taiwan_Stroke_CI_AS,,,
mabi_guild2_20200818,dbo,bak_guild_201210,id,1,,NO,bigint,,,19.0,10.0,0.0,,,,,,,,,,
mabi_guild2_20200818,dbo,bak_guild_201210,name,2,,NO,nvarchar,128.0,256.0,,,,,,,UNICODE,,,Chinese_Taiwan_Stroke_CI_AS,,,
mabi_guild2_20200818,dbo,bak_guild_201210,server,3,,NO,nvarchar,128.0,256.0,,,,,,,UNICODE,,,Chinese_Taiwan_Stroke_CI_AS,,,
mabi_guild2_20200818,dbo,bak_guild_201210,guildpoint,4,,NO,int,,,10.0,10.0,0.0,,,,,,,,,,
mabi_guild2_20200818,dbo,bak_guild_201210,guildmoney,5,,NO,int,,,10.0,10.0,0.0,,,,,,,,,,
mabi_guild2_20200818,dbo,bak_guild_201210,guildtype,6,,NO,int,,,10.0,10.0,0.0,,,,,,,,,,
mabi_guild2_20200818,dbo,bak_guild_201210,jointype,7,,NO,int,,,10.0,10.0,0.0,,,,,,,,,,
mabi_guild2_20200818,dbo,bak_guild_201210,maxmember,8,,NO,int,,,10.0,10.0,0.0,,,,,,,,,,
mabi_guild2_20200818,dbo,bak_guild_201210,membernum,9,,NO,int,,,10.0,10.0,0.0,,,,,,,,,,
mabi_guild2_20200818,dbo,bak_guild_201210,guildability,10,,NO,int,,,10.0,10.0,0.0,,,,,,,,,,
mabi_guild2_20200818,dbo,bak_guild_201210,createtime,11,,NO,datetime,,,,,,3.0,,,,,,,,,
mabi_guild2_20200818,dbo,bak_guild_201210,updatetime,12,,NO,datetime,,,,,,3.0,,,,,,,,,
mabi_guild2_20200818,dbo,bak_guild_201210,guildmasterid,13,,NO,bigint,,,19.0,10.0,0.0,,,,,,,,,,
mabi_guild2_20200818,dbo,bak_guild_201210,webmembercount,14,,NO,int,,,10.0,10.0,0.0,,,,,,,,,,
mabi_guild2_20200818,dbo,bak_guild_201210,expiration,15,,NO,datetime,,,,,,3.0,,,,,,,,,
mabi_guild2_20200818,dbo,bak_guild_201210,enable,16,,NO,tinyint,,,3.0,10.0,0.0,,,,,,,,,,
mabi_guild2_20200818,dbo,bak_guild_201210,masterChangeTime,17,,NO,smalldatetime,,,,,,0.0,,,,,,,,,
mabi_guild2_20200818,dbo,bak_guild_201210,drawablemoney,18,,NO,int,,,10.0,10.0,0.0,,,,,,,,,,
mabi_guild2_20200818,dbo,bak_guild_201210,drawabledate,19,,NO,datetime,,,,,,3.0,,,,,,,,,
mabi_guild2_20200818,dbo,bak_guild_201210,battlegroundtype,20,,NO,tinyint,,,3.0,10.0,0.0,,,,,,,,,,
mabi_guild2_20200818,dbo,bak_guild_201210,BattleGroundWinnerType,21,,NO,tinyint,,,3.0,10.0,0.0,,,,,,,,,,
mabi_guild2_20200818,dbo,bak_guild_201210,guildstatusflag,22,,NO,tinyint,,,3.0,10.0,0.0,,,,,,,,,,
mabi_guild2_20200818,dbo,bak_guild_201210,guildtitle,23,,NO,nvarchar,20.0,40.0,,,,,,,UNICODE,,,Chinese_Taiwan_Stroke_CI_AS,,,
mabi_guild2_20200818,dbo,guild_deleted,id,1,,NO,bigint,,,19.0,10.0,0.0,,,,,,,,,,
mabi_guild2_20200818,dbo,guild_deleted,name,2,,NO,nvarchar,64.0,128.0,,,,,,,UNICODE,,,Chinese_Taiwan_Stroke_CI_AS,,,
mabi_guild2_20200818,dbo,guild_deleted,server,3,,NO,nvarchar,64.0,128.0,,,,,,,UNICODE,,,Chinese_Taiwan_Stroke_CI_AS,,,
mabi_guild2_20200818,dbo,guild_deleted,deleted_time,4,,NO,datetime,,,,,,3.0,,,,,,,,,
mabi_guild2_20200818,dbo,bak_guild_20120920,id,1,,NO,bigint,,,19.0,10.0,0.0,,,,,,,,,,
mabi_guild2_20200818,dbo,bak_guild_20120920,name,2,,NO,nvarchar,128.0,256.0,,,,,,,UNICODE,,,Chinese_Taiwan_Stroke_CI_AS,,,
mabi_guild2_20200818,dbo,bak_guild_20120920,server,3,,NO,nvarchar,128.0,256.0,,,,,,,UNICODE,,,Chinese_Taiwan_Stroke_CI_AS,,,
mabi_guild2_20200818,dbo,bak_guild_20120920,guildpoint,4,,NO,int,,,10.0,10.0,0.0,,,,,,,,,,
mabi_guild2_20200818,dbo,bak_guild_20120920,guildmoney,5,,NO,int,,,10.0,10.0,0.0,,,,,,,,,,
mabi_guild2_20200818,dbo,bak_guild_20120920,guildtype,6,,NO,int,,,10.0,10.0,0.0,,,,,,,,,,
mabi_guild2_20200818,dbo,bak_guild_20120920,jointype,7,,NO,int,,,10.0,10.0,0.0,,,,,,,,,,
mabi_guild2_20200818,dbo,bak_guild_20120920,maxmember,8,,NO,int,,,10.0,10.0,0.0,,,,,,,,,,
mabi_guild2_20200818,dbo,bak_guild_20120920,membernum,9,,NO,int,,,10.0,10.0,0.0,,,,,,,,,,
mabi_guild2_20200818,dbo,bak_guild_20120920,guildability,10,,NO,int,,,10.0,10.0,0.0,,,,,,,,,,
mabi_guild2_20200818,dbo,bak_guild_20120920,createtime,11,,NO,datetime,,,,,,3.0,,,,,,,,,
mabi_guild2_20200818,dbo,bak_guild_20120920,updatetime,12,,NO,datetime,,,,,,3.0,,,,,,,,,
mabi_guild2_20200818,dbo,bak_guild_20120920,guildmasterid,13,,NO,bigint,,,19.0,10.0,0.0,,,,,,,,,,
mabi_guild2_20200818,dbo,bak_guild_20120920,webmembercount,14,,NO,int,,,10.0,10.0,0.0,,,,,,,,,,
mabi_guild2_20200818,dbo,bak_guild_20120920,expiration,15,,NO,datetime,,,,,,3.0,,,,,,,,,
mabi_guild2_20200818,dbo,bak_guild_20120920,enable,16,,NO,tinyint,,,3.0,10.0,0.0,,,,,,,,,,
mabi_guild2_20200818,dbo,bak_guild_20120920,masterChangeTime,17,,NO,smalldatetime,,,,,,0.0,,,,,,,,,
mabi_guild2_20200818,dbo,bak_guild_20120920,drawablemoney,18,,NO,int,,,10.0,10.0,0.0,,,,,,,,,,
mabi_guild2_20200818,dbo,bak_guild_20120920,drawabledate,19,,NO,datetime,,,,,,3.0,,,,,,,,,
mabi_guild2_20200818,dbo,bak_guild_20120920,battlegroundtype,20,,NO,tinyint,,,3.0,10.0,0.0,,,,,,,,,,
mabi_guild2_20200818,dbo,bak_guild_20120920,BattleGroundWinnerType,21,,NO,tinyint,,,3.0,10.0,0.0,,,,,,,,,,
mabi_guild2_20200818,dbo,bak_guild_20120920,guildstatusflag,22,,NO,tinyint,,,3.0,10.0,0.0,,,,,,,,,,
mabi_guild2_20200818,dbo,bak_guild_20120920,guildtitle,23,,NO,nvarchar,20.0,40.0,,,,,,,UNICODE,,,Chinese_Taiwan_Stroke_CI_AS,,,
mabi_guild2_20200818,dbo,guild_menu,guild_id,1,,NO,bigint,,,19.0,10.0,0.0,,,,,,,,,,
mabi_guild2_20200818,dbo,guild_menu,menu_id,2,,NO,bigint,,,19.0,10.0,0.0,,,,,,,,,,
mabi_guild2_20200818,dbo,guild_menu,menu_name,3,,NO,nvarchar,25.0,50.0,,,,,,,UNICODE,,,Chinese_Taiwan_Stroke_CI_AS,,,
mabi_guild2_20200818,dbo,guild_menu,level_1,4,,NO,nvarchar,10.0,20.0,,,,,,,UNICODE,,,Chinese_Taiwan_Stroke_CI_AS,,,
mabi_guild2_20200818,dbo,guild_menu,level_2,5,,NO,nvarchar,10.0,20.0,,,,,,,UNICODE,,,Chinese_Taiwan_Stroke_CI_AS,,,
mabi_guild2_20200818,dbo,guild_menu,level_3,6,,NO,nvarchar,10.0,20.0,,,,,,,UNICODE,,,Chinese_Taiwan_Stroke_CI_AS,,,
mabi_guild2_20200818,dbo,guild_menu,level_4,7,,NO,nvarchar,10.0,20.0,,,,,,,UNICODE,,,Chinese_Taiwan_Stroke_CI_AS,,,
mabi_guild2_20200818,dbo,guild_stone,guildid,1,,NO,bigint,,,19.0,10.0,0.0,,,,,,,,,,
mabi_guild2_20200818,dbo,guild_stone,server,2,,NO,nvarchar,32.0,64.0,,,,,,,UNICODE,,,Chinese_Taiwan_Stroke_CI_AS,,,
mabi_guild2_20200818,dbo,guild_stone,position_id,3,,NO,bigint,,,19.0,10.0,0.0,,,,,,,,,,
mabi_guild2_20200818,dbo,guild_stone,type,4,,NO,int,,,10.0,10.0,0.0,,,,,,,,,,
mabi_guild2_20200818,dbo,guild_stone,region,5,,NO,smallint,,,5.0,10.0,0.0,,,,,,,,,,
mabi_guild2_20200818,dbo,guild_stone,x,6,,NO,int,,,10.0,10.0,0.0,,,,,,,,,,
mabi_guild2_20200818,dbo,guild_stone,y,7,,NO,int,,,10.0,10.0,0.0,,,,,,,,,,
mabi_guild2_20200818,dbo,guild_stone,direction,8,,NO,float,,,53.0,2.0,,,,,,,,,,,
mabi_guild2_20200818,dbo,G,ID,1,,YES,nvarchar,255.0,510.0,,,,,,,UNICODE,,,Chinese_Taiwan_Stroke_CI_AS,,,
mabi_guild2_20200818,dbo,guild_20140626,id,1,,NO,bigint,,,19.0,10.0,0.0,,,,,,,,,,
mabi_guild2_20200818,dbo,guild_20140626,name,2,,NO,nvarchar,128.0,256.0,,,,,,,UNICODE,,,Chinese_Taiwan_Stroke_CI_AS,,,
mabi_guild2_20200818,dbo,guild_20140626,server,3,,NO,nvarchar,128.0,256.0,,,,,,,UNICODE,,,Chinese_Taiwan_Stroke_CI_AS,,,
mabi_guild2_20200818,dbo,guild_20140626,guildpoint,4,,NO,int,,,10.0,10.0,0.0,,,,,,,,,,
mabi_guild2_20200818,dbo,guild_20140626,guildmoney,5,,NO,int,,,10.0,10.0,0.0,,,,,,,,,,
mabi_guild2_20200818,dbo,guild_20140626,guildtype,6,,NO,int,,,10.0,10.0,0.0,,,,,,,,,,
mabi_guild2_20200818,dbo,guild_20140626,jointype,7,,NO,int,,,10.0,10.0,0.0,,,,,,,,,,
mabi_guild2_20200818,dbo,guild_20140626,maxmember,8,,NO,int,,,10.0,10.0,0.0,,,,,,,,,,
mabi_guild2_20200818,dbo,guild_20140626,membernum,9,,NO,int,,,10.0,10.0,0.0,,,,,,,,,,
mabi_guild2_20200818,dbo,guild_20140626,guildability,10,,NO,int,,,10.0,10.0,0.0,,,,,,,,,,
mabi_guild2_20200818,dbo,guild_20140626,createtime,11,,NO,datetime,,,,,,3.0,,,,,,,,,
mabi_guild2_20200818,dbo,guild_20140626,updatetime,12,,NO,datetime,,,,,,3.0,,,,,,,,,
mabi_guild2_20200818,dbo,guild_20140626,guildmasterid,13,,NO,bigint,,,19.0,10.0,0.0,,,,,,,,,,
mabi_guild2_20200818,dbo,guild_20140626,webmembercount,14,,NO,int,,,10.0,10.0,0.0,,,,,,,,,,
mabi_guild2_20200818,dbo,guild_20140626,expiration,15,,NO,datetime,,,,,,3.0,,,,,,,,,
mabi_guild2_20200818,dbo,guild_20140626,enable,16,,NO,tinyint,,,3.0,10.0,0.0,,,,,,,,,,
mabi_guild2_20200818,dbo,guild_20140626,masterChangeTime,17,,NO,smalldatetime,,,,,,0.0,,,,,,,,,
mabi_guild2_20200818,dbo,guild_20140626,drawablemoney,18,,NO,int,,,10.0,10.0,0.0,,,,,,,,,,
mabi_guild2_20200818,dbo,guild_20140626,drawabledate,19,,NO,datetime,,,,,,3.0,,,,,,,,,
mabi_guild2_20200818,dbo,guild_20140626,battlegroundtype,20,,NO,tinyint,,,3.0,10.0,0.0,,,,,,,,,,
mabi_guild2_20200818,dbo,guild_20140626,BattleGroundWinnerType,21,,NO,tinyint,,,3.0,10.0,0.0,,,,,,,,,,
mabi_guild2_20200818,dbo,guild_20140626,guildstatusflag,22,,NO,tinyint,,,3.0,10.0,0.0,,,,,,,,,,
mabi_guild2_20200818,dbo,guild_20140626,guildtitle,23,,NO,nvarchar,20.0,40.0,,,,,,,UNICODE,,,Chinese_Taiwan_Stroke_CI_AS,,,
mabi_guild2_20200818,dbo,guild_20140709,id,1,,NO,bigint,,,19.0,10.0,0.0,,,,,,,,,,
mabi_guild2_20200818,dbo,guild_20140709,name,2,,NO,nvarchar,128.0,256.0,,,,,,,UNICODE,,,Chinese_Taiwan_Stroke_CI_AS,,,
mabi_guild2_20200818,dbo,guild_20140709,server,3,,NO,nvarchar,128.0,256.0,,,,,,,UNICODE,,,Chinese_Taiwan_Stroke_CI_AS,,,
mabi_guild2_20200818,dbo,guild_20140709,guildpoint,4,,NO,int,,,10.0,10.0,0.0,,,,,,,,,,
mabi_guild2_20200818,dbo,guild_20140709,guildmoney,5,,NO,int,,,10.0,10.0,0.0,,,,,,,,,,
mabi_guild2_20200818,dbo,guild_20140709,guildtype,6,,NO,int,,,10.0,10.0,0.0,,,,,,,,,,
mabi_guild2_20200818,dbo,guild_20140709,jointype,7,,NO,int,,,10.0,10.0,0.0,,,,,,,,,,
mabi_guild2_20200818,dbo,guild_20140709,maxmember,8,,NO,int,,,10.0,10.0,0.0,,,,,,,,,,
mabi_guild2_20200818,dbo,guild_20140709,membernum,9,,NO,int,,,10.0,10.0,0.0,,,,,,,,,,
mabi_guild2_20200818,dbo,guild_20140709,guildability,10,,NO,int,,,10.0,10.0,0.0,,,,,,,,,,
mabi_guild2_20200818,dbo,guild_20140709,createtime,11,,NO,datetime,,,,,,3.0,,,,,,,,,
mabi_guild2_20200818,dbo,guild_20140709,updatetime,12,,NO,datetime,,,,,,3.0,,,,,,,,,
mabi_guild2_20200818,dbo,guild_20140709,guildmasterid,13,,NO,bigint,,,19.0,10.0,0.0,,,,,,,,,,
mabi_guild2_20200818,dbo,guild_20140709,webmembercount,14,,NO,int,,,10.0,10.0,0.0,,,,,,,,,,
mabi_guild2_20200818,dbo,guild_20140709,expiration,15,,NO,datetime,,,,,,3.0,,,,,,,,,
mabi_guild2_20200818,dbo,guild_20140709,enable,16,,NO,tinyint,,,3.0,10.0,0.0,,,,,,,,,,
mabi_guild2_20200818,dbo,guild_20140709,masterChangeTime,17,,NO,smalldatetime,,,,,,0.0,,,,,,,,,
mabi_guild2_20200818,dbo,guild_20140709,drawablemoney,18,,NO,int,,,10.0,10.0,0.0,,,,,,,,,,
mabi_guild2_20200818,dbo,guild_20140709,drawabledate,19,,NO,datetime,,,,,,3.0,,,,,,,,,
mabi_guild2_20200818,dbo,guild_20140709,battlegroundtype,20,,NO,tinyint,,,3.0,10.0,0.0,,,,,,,,,,
mabi_guild2_20200818,dbo,guild_20140709,BattleGroundWinnerType,21,,NO,tinyint,,,3.0,10.0,0.0,,,,,,,,,,
