type,layers,gamename,startdate,enddate,parenthivedb,parentdbname,parenttablename,parentcolumnname,orihivedb,oridbname,oritablename,oricolumnname,hivedb,dbname,tablename,columnname,logstartdate,logenddate,dtbeforeday,dtafterday,logfilename,log,sql,memo,memo2
all,1,mabi,2019-12-01,,,,,,all,mabiguild2,awayguildmember,,extract,mabiguild2,awayguildmember,,,,,,,,,尚未確定(小於500K),
all,1,mabi,2019-12-01,,,,,,all,mabiguild2,g,,extract,mabiguild2,g,,,,,,,,,尚未確定(小於500K),
all,1,mabi,2019-12-01,,,,,,all,mabiguild2,guild,,extract,mabiguild2,guild,,,,,,,,,公會資訊(大於1M),
all,1,mabi,2019-12-01,,,,,,all,mabiguild2,guild_deleted,,extract,mabiguild2,guild_deleted,,,,,,,,,解散的公會(大於1M),
all,1,mabi,2019-12-01,,,,,,all,mabiguild2,guild_menu,,extract,mabiguild2,guild_menu,,,,,,,,,尚未確定(大於1M),
all,1,mabi,2019-12-01,,,,,,all,mabiguild2,guild_pollcheck,,extract,mabiguild2,guild_pollcheck,,,,,,,,,公會問券發起人(大於1M),
all,1,mabi,2019-12-01,,,,,,all,mabiguild2,guild_pollitem,,extract,mabiguild2,guild_pollitem,,,,,,,,,公會問券答覆(大於1M),
all,1,mabi,2019-12-01,,,,,,all,mabiguild2,guild_pollqest,,extract,mabiguild2,guild_pollqest,,,,,,,,,公會問券題目(小於500K),
all,1,mabi,2019-12-01,,,,,,all,mabiguild2,guild_robe,,extract,mabiguild2,guild_robe,,,,,,,,,尚未確定(小於500K),
all,1,mabi,2019-12-01,,,,,,all,mabiguild2,guild_stone,,extract,mabiguild2,guild_stone,,,,,,,,,尚未確定(小於500K),
all,1,mabi,2019-12-01,,,,,,all,mabiguild2,guild_text,,extract,mabiguild2,guild_text,,,,,,,,,尚未確定(大於1M),
all,1,mabi,2019-12-01,,,,,,all,mabiguild2,guildbudget,,extract,mabiguild2,guildbudget,,,,,,,,,尚未確定(大於1M),
all,1,mabi,2019-12-01,,,,,,all,mabiguild2,guildbudgetcancle,,extract,mabiguild2,guildbudgetcancle,,,,,,,,,尚未確定(小於500K),
all,1,mabi,2019-12-01,,,,,,all,mabiguild2,guildbudgetchk,,extract,mabiguild2,guildbudgetchk,,,,,,,,,尚未確定(大於1M),
all,1,mabi,2019-12-01,,,,,,all,mabiguild2,guildidpool,,extract,mabiguild2,guildidpool,,,,,,,,,尚未確定(小於500K),
all,1,mabi,2019-12-01,,,,,,all,mabiguild2,guildmember,,extract,mabiguild2,guildmember,,,,,,,,,公會成員資訊(大於10M),
