schemaname,tablename,rowcounts,totalspacemb,usedspacemb,unusedspacemb
dbo,awayGuildmember,40,0,0,0
dbo,G,742,0,0,0
dbo,Guild_pollQest,3737,0,0,0
dbo,guild_robe,2548,0,0,0
dbo,guild_stone,257,0,0,0
dbo,GuildBudgetCanCle,3439,0,0,0
dbo,guildidpool,1,0,0,0
dbo,guildstatus_20160804,1003,0,0,0
dbo,guildstatus_20160818,78,0,0,0
dbo,tmpNewGuildID,1104,0,0,0
dbo,GuildBudget,7219,1,0,0
dbo,Guild_PollCheck,16805,1,1,0
dbo,Guild_Pollitem,12367,1,0,0
dbo,bak_guild_20110805,8298,1,1,0
dbo,bak_guild_20110823,8332,1,1,0
dbo,bak_guild_20120920,8680,1,1,0
dbo,bak_guild_201210,8679,1,1,0
dbo,guild_20140626,9378,1,1,0
dbo,guild_20140709,9400,1,1,0
dbo,guild_20150806,9579,1,1,0
dbo,guild_deleted,13665,1,0,0
dbo,guild_text,10227,3,3,0
dbo,guild_menu,20456,4,3,1
dbo,GuildBudgetChk,36055,5,4,1
dbo,guild,10228,6,4,1
dbo,guildmember,181233,92,61,31
dbo,mergeNewGameID_ALL,2498480,369,369,0
