TABLE_CATALOG,TABLE_SCHEMA,TABLE_NAME,COLUMN_NAME,ORDINAL_POSITION,COLUMN_DEFAULT,IS_NULLABLE,DATA_TYPE,CHARACTER_MAXIMUM_LENGTH,CHARACTER_OCTET_LENGTH,NUMERIC_PRECISION,NUMERIC_PRECISION_RADIX,NUMERIC_SCALE,DATETIME_PRECISION,CHARACTER_SET_CATALOG,CHARACTER_SET_SCHEMA,CHARACTER_SET_NAME,COLLATION_CATALOG,COLLATION_SCHEMA,COLLATION_NAME,DOMAIN_CATALOG,DOMAIN_SCHEMA,DOMAIN_NAME
MABI_TAIWAN_SHOP_20200818,dbo,shop_log_2007,LogID,1,,NO,bigint,,,19.0,10.0,0.0,,,,,,,,,,
MABI_TAIWAN_SHOP_20200818,dbo,shop_log_2007,account,2,,YES,varchar,32.0,32.0,,,,,,,cp950,,,Chinese_Taiwan_Stroke_CI_AS,,,
MABI_TAIWAN_SHOP_20200818,dbo,shop_log_2007,region,3,,YES,char,2.0,2.0,,,,,,,cp950,,,Chinese_Taiwan_Stroke_CI_AS,,,
MABI_TAIWAN_SHOP_20200818,dbo,shop_log_2007,itemID,4,,YES,varchar,18.0,18.0,,,,,,,cp950,,,Chinese_Taiwan_Stroke_CI_AS,,,
MABI_TAIWAN_SHOP_20200818,dbo,shop_log_2007,amount,5,,YES,int,,,10.0,10.0,0.0,,,,,,,,,,
MABI_TAIWAN_SHOP_20200818,dbo,shop_log_2007,totalPrice,6,,YES,int,,,10.0,10.0,0.0,,,,,,,,,,
MABI_TAIWAN_SHOP_20200818,dbo,shop_log_2007,billStatus,7,,YES,smallint,,,5.0,10.0,0.0,,,,,,,,,,
MABI_TAIWAN_SHOP_20200818,dbo,shop_log_2007,CardNum,8,,YES,smallint,,,5.0,10.0,0.0,,,,,,,,,,
MABI_TAIWAN_SHOP_20200818,dbo,shop_log_2007,description,9,,YES,varchar,500.0,500.0,,,,,,,cp950,,,Chinese_Taiwan_Stroke_CI_AS,,,
MABI_TAIWAN_SHOP_20200818,dbo,shop_log_2007,Updatetime,10,,YES,datetime,,,,,,3.0,,,,,,,,,
