type,layers,gamename,startdate,enddate,parenthivedb,parentdbname,parenttablename,parentcolumnname,orihivedb,oridbname,oritablename,oricolumnname,hivedb,dbname,tablename,columnname,logstartdate,logenddate,dtbeforeday,dtafterday,logfilename,log,sql,memo,memo2
all,1,mabi,2019-12-01,,,,,,all,mabitaiwanshop,account_character_ref,,extract,mabitaiwanshop,account_character_ref,,,,,,,,,帳號角色對照表(小)(大於10M),
all,1,mabi,2019-12-01,,,,,,all,mabitaiwanshop,bingo_event_join_list,,extract,mabitaiwanshop,bingo_event_join_list,,,,,,,,,賓果活動參加名單(大於1M),
all,1,mabi,2019-12-01,,,,,,all,mabitaiwanshop,code,,extract,mabitaiwanshop,code,,,,,,,,,尚未確定(小於500K),
all,1,mabi,2019-12-01,,,,,,all,mabitaiwanshop,coupon,,extract,mabitaiwanshop,coupon,,,,,,,,,尚未確定(大於1M),
all,1,mabi,2019-12-01,,,,,,all,mabitaiwanshop,e20080606,,extract,mabitaiwanshop,e20080606,,,,,,,,,尚未確定(大於1M),
all,1,mabi,2019-12-01,,,,,,all,mabitaiwanshop,e20080606_hk,,extract,mabitaiwanshop,e20080606_hk,,,,,,,,,尚未確定(小於500K),
all,1,mabi,2019-12-01,,,,,,all,mabitaiwanshop,e20151204_member,,extract,mabitaiwanshop,e20151204_member,,,,,,,,,尚未確定(小於500K),
all,1,mabi,2019-12-01,,,,,,all,mabitaiwanshop,error_msg_log,,extract,mabitaiwanshop,error_msg_log,,,,,,,,,尚未確定(0M),
all,1,mabi,2019-12-01,,,,,,all,mabitaiwanshop,event_list,,extract,mabitaiwanshop,event_list,,,,,,,,,活動流水號+相關資訊(小於500K),
all,1,mabi,2019-12-01,,,,,,all,mabitaiwanshop,free_season_date,,extract,mabitaiwanshop,free_season_date,,,,,,,,,尚未確定(小於500K),
all,1,mabi,2019-12-01,,,,,,all,mabitaiwanshop,mania,,extract,mabitaiwanshop,mania,,,,,,,,,尚未確定(小於500K),
all,1,mabi,2019-12-01,,,,,,all,mabitaiwanshop,shop_charactercard,,extract,mabitaiwanshop,shop_charactercard,,,,,,,,,web商城角色卡資訊(大於1G),
all,1,mabi,2019-12-01,,,,,,all,mabitaiwanshop,shop_gift,,extract,mabitaiwanshop,shop_gift,,,,,,,,,送禮資訊(大於1M),
all,1,mabi,2019-12-01,,,,,,all,mabitaiwanshop,shop_item,,extract,mabitaiwanshop,shop_item,,,,,,,,,web商城商品部分對照表(小於500K),
all,1,mabi,2019-12-01,,,,,,all,mabitaiwanshop,shop_item_platform,,extract,mabitaiwanshop,shop_item_platform,,,,,,,,,web商城道具對照表(小於500K),
all,1,mabi,2019-12-01,,,,,,all,mabitaiwanshop,shop_petcard,,extract,mabitaiwanshop,shop_petcard,,,,,,,,,寵物卡資訊(大於100M),
all,1,mabi,2019-12-01,,,,,,all,mabitaiwanshop,shop_premiumpack,,extract,mabitaiwanshop,shop_premiumpack,,,,,,,,,付費服務時間資訊(大於100M),
all,1,mabi,2019-12-01,,,,,,all,mabitaiwanshop,shop_premiumpack_list,,extract,mabitaiwanshop,shop_premiumpack_list,,,,,,,,,付費服務部分對照表(小於500K),
all,1,mabi,2019-12-01,,,,,,all,mabitaiwanshop,shop_refundfatazy,,extract,mabitaiwanshop,shop_refundfatazy,,,,,,,,,尚未確定(0M),
all,1,mabi,2019-12-01,,,,,,all,mabitaiwanshop,test,,extract,mabitaiwanshop,test,,,,,,,,,尚未確定(0M),
log,1,mabi,2019-12-01,,,,,,all,mabitaiwanshop,shop_gifthistory,,extract,mabitaiwanshop,shop_gifthistory,,regdate,regdate,0,1,,,,送禮歷史資訊(大於100M),
log,1,mabi,2019-12-01,,,,,,all,mabitaiwanshop,shop_log,,extract,mabitaiwanshop,shop_log,,createtime,createtime,0,1,,,,web商城LOG(大於1G),
log,1,mabi,2019-12-01,,,,,,all,mabitaiwanshop,shop_log_detail,,extract,mabitaiwanshop,shop_log_detail,,createtime,createtime,0,1,,,,web商城LOG細節(成功的)(筆數不完整)(大於100M),
