TABLE_CATALOG,TABLE_SCHEMA,TABLE_NAME,TABLE_TYPE
MABI_TAIWAN_SHOP_20200818,dbo,shop_log_2007,BASE TABLE
MABI_TAIWAN_SHOP_20200818,dbo,PCEVENTCOUPON20110602,BASE TABLE
MABI_TAIWAN_SHOP_20200818,dbo,Bingo_Event_201108,BASE TABLE
MABI_TAIWAN_SHOP_20200818,dbo,Bingo_Event_Join_List,BASE TABLE
MABI_TAIWAN_SHOP_20200818,dbo,shop_log,BASE TABLE
MABI_TAIWAN_SHOP_20200818,dbo,FantasyLifeClubEvent_20110819_CompensationLog,BASE TABLE
MABI_TAIWAN_SHOP_20200818,dbo,FantasyLifeClubEvent_20110819_ShopFantasyLifeClubLog,BASE TABLE
MABI_TAIWAN_SHOP_20200818,dbo,Bingo_Event_201108_BAK_Jerry,BASE TABLE
MABI_TAIWAN_SHOP_20200818,dbo,FantasyLifeClubEvent_20110823_CompensationLog,BASE TABLE
MABI_TAIWAN_SHOP_20200818,dbo,FantasyLifeClubEvent_20110823_ShopFantasyLifeClubLog,BASE TABLE
MABI_TAIWAN_SHOP_20200818,dbo,shop_compensate,BASE TABLE
MABI_TAIWAN_SHOP_20200818,dbo,shop_charactercard_bk_20190116,BASE TABLE
MABI_TAIWAN_SHOP_20200818,dbo,Error_MSG_Log,BASE TABLE
MABI_TAIWAN_SHOP_20200818,dbo,shop_fandate,BASE TABLE
MABI_TAIWAN_SHOP_20200818,dbo,coupon,BASE TABLE
MABI_TAIWAN_SHOP_20200818,dbo,Shop_premiumpack_List,BASE TABLE
MABI_TAIWAN_SHOP_20200818,dbo,mania,BASE TABLE
MABI_TAIWAN_SHOP_20200818,dbo,z_coupon_20200511,BASE TABLE
MABI_TAIWAN_SHOP_20200818,dbo,shop_charactercard_bk_20181018_cantLogin,BASE TABLE
MABI_TAIWAN_SHOP_20200818,dbo,shop_charactercard_bk_20181004_cantLogin,BASE TABLE
MABI_TAIWAN_SHOP_20200818,dbo,shop_charactercard_bk_20181005_cantLogin,BASE TABLE
MABI_TAIWAN_SHOP_20200818,dbo,Shop_premiumpack,BASE TABLE
MABI_TAIWAN_SHOP_20200818,dbo,shop_item,BASE TABLE
MABI_TAIWAN_SHOP_20200818,dbo,shop_item_Platform,BASE TABLE
MABI_TAIWAN_SHOP_20200818,dbo,temp4,BASE TABLE
MABI_TAIWAN_SHOP_20200818,dbo,shop_fantasylifeclub_back,BASE TABLE
MABI_TAIWAN_SHOP_20200818,dbo,Shop_Log_Detail,BASE TABLE
MABI_TAIWAN_SHOP_20200818,dbo,Shop_premiumpack_back,BASE TABLE
MABI_TAIWAN_SHOP_20200818,dbo,Shop_fandate_recycleErrorRecord,BASE TABLE
MABI_TAIWAN_SHOP_20200818,dbo,PCEVENTCOUPON,BASE TABLE
MABI_TAIWAN_SHOP_20200818,dbo,PCEVENTCOUPON0213,BASE TABLE
MABI_TAIWAN_SHOP_20200818,dbo,shop_fantasylifeclub,BASE TABLE
MABI_TAIWAN_SHOP_20200818,dbo,premiumpack0920back,BASE TABLE
MABI_TAIWAN_SHOP_20200818,dbo,mergeNewGameID_ALL,BASE TABLE
MABI_TAIWAN_SHOP_20200818,dbo,PremiumPackEvent_201210_CompensationLog,BASE TABLE
MABI_TAIWAN_SHOP_20200818,dbo,Free_Season_Date,BASE TABLE
MABI_TAIWAN_SHOP_20200818,dbo,tmp_Shop_premiumpack_201210,BASE TABLE
MABI_TAIWAN_SHOP_20200818,dbo,tmp_shop_PackageDate_201210,BASE TABLE
MABI_TAIWAN_SHOP_20200818,dbo,1,BASE TABLE
MABI_TAIWAN_SHOP_20200818,dbo,Shop_premiumpack_20200416_bak,BASE TABLE
MABI_TAIWAN_SHOP_20200818,dbo,PremiumPackEvent_201210_ShopPremiumpackLog,BASE TABLE
MABI_TAIWAN_SHOP_20200818,dbo,Shop_premiumpack_20200416_result,BASE TABLE
MABI_TAIWAN_SHOP_20200818,dbo,totala,BASE TABLE
MABI_TAIWAN_SHOP_20200818,dbo,totalb,BASE TABLE
MABI_TAIWAN_SHOP_20200818,dbo,code,BASE TABLE
MABI_TAIWAN_SHOP_20200818,dbo,Shop_premiumpack_20130704,BASE TABLE
MABI_TAIWAN_SHOP_20200818,dbo,MN_1300249_0327$,BASE TABLE
MABI_TAIWAN_SHOP_20200818,dbo,tmp_20130704_1,BASE TABLE
MABI_TAIWAN_SHOP_20200818,dbo,tmp_20130704_2,BASE TABLE
MABI_TAIWAN_SHOP_20200818,dbo,tmp_20130704_3,BASE TABLE
MABI_TAIWAN_SHOP_20200818,dbo,Event_List,BASE TABLE
MABI_TAIWAN_SHOP_20200818,dbo,tmpcharacterlist,BASE TABLE
MABI_TAIWAN_SHOP_20200818,dbo,shop_gift,BASE TABLE
MABI_TAIWAN_SHOP_20200818,dbo,shop_packagedate,BASE TABLE
MABI_TAIWAN_SHOP_20200818,dbo,shop_giftHistory,BASE TABLE
MABI_TAIWAN_SHOP_20200818,dbo,E20080606,BASE TABLE
MABI_TAIWAN_SHOP_20200818,dbo,Shop_premiumpack_20131226,BASE TABLE
MABI_TAIWAN_SHOP_20200818,dbo,E20080606_HK,BASE TABLE
MABI_TAIWAN_SHOP_20200818,dbo,tmp20200401_Shop_premiumpack,BASE TABLE
MABI_TAIWAN_SHOP_20200818,dbo,shop_premiumpack_20131227,BASE TABLE
MABI_TAIWAN_SHOP_20200818,dbo,shop_premiumpack_20140109,BASE TABLE
MABI_TAIWAN_SHOP_20200818,dbo,tmp_premiumpack_20140116,BASE TABLE
MABI_TAIWAN_SHOP_20200818,dbo,PCEVENTCOUPON_BACKUP,BASE TABLE
MABI_TAIWAN_SHOP_20200818,dbo,shop_premiumpack_20140127,BASE TABLE
MABI_TAIWAN_SHOP_20200818,dbo,shop_fantasylifeclub_20140308,BASE TABLE
MABI_TAIWAN_SHOP_20200818,dbo,GS_A_BOT,BASE TABLE
MABI_TAIWAN_SHOP_20200818,dbo,GS_B_BOT,BASE TABLE
MABI_TAIWAN_SHOP_20200818,dbo,GS_C_BOT,BASE TABLE
MABI_TAIWAN_SHOP_20200818,dbo,GS_D_BOT,BASE TABLE
MABI_TAIWAN_SHOP_20200818,dbo,temp_pceventcoupon,BASE TABLE
MABI_TAIWAN_SHOP_20200818,dbo,GS_E_BOT,BASE TABLE
MABI_TAIWAN_SHOP_20200818,dbo,tmp_pceventcoupon_20140619,BASE TABLE
MABI_TAIWAN_SHOP_20200818,dbo,shop_premiumpack_20140626,BASE TABLE
MABI_TAIWAN_SHOP_20200818,dbo,bot,BASE TABLE
MABI_TAIWAN_SHOP_20200818,dbo,shop_packagedate_20140626,BASE TABLE
MABI_TAIWAN_SHOP_20200818,dbo,Shop_SendCard,BASE TABLE
MABI_TAIWAN_SHOP_20200818,dbo,PCEVENTCOUPON_test1212,BASE TABLE
MABI_TAIWAN_SHOP_20200818,dbo,shop_premiumpack_20140724,BASE TABLE
MABI_TAIWAN_SHOP_20200818,dbo,PCEVENTCOUPON_20140630,BASE TABLE
MABI_TAIWAN_SHOP_20200818,dbo,test,BASE TABLE
MABI_TAIWAN_SHOP_20200818,dbo,Shop_SendCard_Active,BASE TABLE
MABI_TAIWAN_SHOP_20200818,dbo,tmp_pceventcoupon_20150413,BASE TABLE
MABI_TAIWAN_SHOP_20200818,dbo,tmp_shop_petcard_20150604,BASE TABLE
MABI_TAIWAN_SHOP_20200818,dbo,shop_charactercard_bk_20181026_cantLogin,BASE TABLE
MABI_TAIWAN_SHOP_20200818,dbo,shop_premiumpack_20150806,BASE TABLE
MABI_TAIWAN_SHOP_20200818,dbo,tmp_account_20150903,BASE TABLE
MABI_TAIWAN_SHOP_20200818,dbo,shop_charactercard_tmp,BASE TABLE
MABI_TAIWAN_SHOP_20200818,dbo,E20151204_Member,BASE TABLE
MABI_TAIWAN_SHOP_20200818,dbo,shop_log20160204,BASE TABLE
MABI_TAIWAN_SHOP_20200818,dbo,--SN426_21,BASE TABLE
MABI_TAIWAN_SHOP_20200818,dbo,account_character_ref,BASE TABLE
MABI_TAIWAN_SHOP_20200818,dbo,Shop_premiumpack_20170525,BASE TABLE
MABI_TAIWAN_SHOP_20200818,dbo,Shop_premiumpack_20180614,BASE TABLE
MABI_TAIWAN_SHOP_20200818,dbo,tmp_no_premiumpack,BASE TABLE
MABI_TAIWAN_SHOP_20200818,dbo,dtproperties,BASE TABLE
