schemaname,tablename,rowcounts,totalspacemb,usedspacemb,unusedspacemb
dbo,E20080606_HK,19953,0,0,0
dbo,E20151204_Member,260,0,0,0
dbo,Error_MSG_Log,0,0,0,0
dbo,Event_List,482,0,0,0
dbo,1,8000,0,0,0
dbo,Bingo_Event_201108_BAK_Jerry,12,0,0,0
dbo,code,3214,0,0,0
dbo,Free_Season_Date,1,0,0,0
dbo,mania,56142,0,0,0
dbo,MN_1300249_0327$,5200,0,0,0
dbo,PCEVENTCOUPON_test1212,105,0,0,0
dbo,PCEVENTCOUPON0213,0,0,0,0
dbo,shop_charactercard_bk_20181004_cantLogin,1,0,0,0
dbo,shop_charactercard_bk_20181005_cantLogin,20,0,0,0
dbo,shop_charactercard_bk_20181018_cantLogin,1,0,0,0
dbo,shop_charactercard_bk_20181026_cantLogin,1,0,0,0
dbo,shop_charactercard_bk_20190116,1,0,0,0
dbo,shop_charactercard_tmp,20,0,0,0
dbo,Shop_fandate_recycleErrorRecord,1316,0,0,0
dbo,shop_fantasylifeclub,6,0,0,0
dbo,shop_fantasylifeclub_20140308,306,0,0,0
dbo,PremiumPackEvent_201210_ShopPremiumpackLog,6325,0,0,0
dbo,shop_item,279,0,0,0
dbo,shop_item_Platform,782,0,0,0
dbo,shop_log20160204,639,0,0,0
dbo,shop_premiumpack_20131227,6491,0,0,0
dbo,shop_premiumpack_20140109,19,0,0,0
dbo,shop_premiumpack_20140724,3,0,0,0
dbo,Shop_premiumpack_back,5680,0,0,0
dbo,Shop_premiumpack_List,33,0,0,0
dbo,shop_refundfatazy,0,0,0,0
dbo,Shop_SendCard_Active,6,0,0,0
dbo,--SN426_21,6695,0,0,0
dbo,temp4,97,0,0,0
dbo,test,0,0,0,0
dbo,tmp_20130704_2,4021,0,0,0
dbo,tmp_pceventcoupon_20140619,0,0,0,0
dbo,tmp_pceventcoupon_20150413,2,0,0,0
dbo,tmp_premiumpack_20140116,28,0,0,0
dbo,tmp_shop_petcard_20150604,6,0,0,0
dbo,tmp20200401_Shop_premiumpack,1,0,0,0
dbo,tmpcharacterlist,5641,0,0,0
dbo,z_coupon_20200511,112284,1,1,0
dbo,tmp_no_premiumpack,24664,1,1,0
dbo,tmp_20130704_3,20056,1,1,0
dbo,tmp_20130704_1,16655,1,1,0
dbo,shop_gift,3982,1,1,0
dbo,PremiumPackEvent_201210_CompensationLog,6325,1,0,0
dbo,Bingo_Event_201108,21742,1,1,0
dbo,coupon,22393,1,1,0
dbo,FantasyLifeClubEvent_20110819_CompensationLog,8703,1,1,0
dbo,FantasyLifeClubEvent_20110819_ShopFantasyLifeClubLog,8703,1,1,0
dbo,FantasyLifeClubEvent_20110823_CompensationLog,9667,1,1,0
dbo,FantasyLifeClubEvent_20110823_ShopFantasyLifeClubLog,9667,1,1,0
dbo,E20080606,75742,2,2,0
dbo,Bingo_Event_Join_List,21891,2,2,0
dbo,premiumpack0920back,58717,4,4,0
dbo,tmp_Shop_premiumpack_201210,58717,4,4,0
dbo,Shop_premiumpack_20130704,79180,6,6,0
dbo,Shop_premiumpack_20131226,91699,8,7,0
dbo,shop_compensate,57521,16,15,0
dbo,bot,292445,17,17,0
dbo,totalb,486509,21,21,0
dbo,account_character_ref,363101,27,26,0
dbo,PCEVENTCOUPON_bak,239874,39,39,0
dbo,shop_fantasylifeclub_back,516577,40,40,0
dbo,Shop_SendCard,437900,52,52,0
dbo,totala,1563446,68,68,0
dbo,tmp_shop_PackageDate_201210,495631,70,70,0
dbo,GS_D_BOT,2182402,90,90,0
dbo,GS_E_BOT,2490236,103,103,0
dbo,shop_packagedate_20140626,1035460,164,164,0
dbo,GS_C_BOT,4180736,173,172,0
dbo,Shop_Log_Detail,3101071,224,223,0
dbo,shop_premiumpack_20150806,2797326,242,242,0
dbo,shop_premiumpack_20140127,2795089,242,242,0
dbo,shop_premiumpack_20140626,2795620,242,242,0
dbo,Shop_premiumpack_20170525,2799881,243,243,0
dbo,Shop_premiumpack_20180614,2907272,252,252,0
dbo,GS_B_BOT,6427383,266,265,0
dbo,GS_A_BOT,6703082,277,277,0
dbo,Shop_premiumpack_20200416_bak,2947222,277,277,0
dbo,shop_fandate,1490874,298,296,1
dbo,shop_log_2007,2844510,345,345,0
dbo,tmp_account_20150903,2867302,348,348,0
dbo,mergeNewGameID_ALL,2498480,369,369,0
dbo,Shop_premiumpack,2951477,431,421,10
dbo,Shop_premiumpack_20200416_result,2947222,470,469,0
dbo,temp_pceventcoupon,2894844,471,471,0
dbo,shop_giftHistory,1379676,544,542,2
dbo,shop_petcard,2933638,786,784,1
dbo,PCEVENTCOUPON20110602,6302699,1041,1041,0
dbo,shop_log,8133612,1051,1051,0
dbo,shop_packagedate,4423283,1187,1186,0
dbo,PCEVENTCOUPON_20140630,11017603,1774,1774,0
dbo,shop_charactercard,12346152,3761,3760,1
dbo,PCEVENTCOUPON_BACKUP,44747947,7310,7308,1
dbo,PCEVENTCOUPON,48813160,23587,23475,112
