TABLE_CATALOG,TABLE_SCHEMA,TABLE_NAME,COLUMN_NAME,ORDINAL_POSITION,COLUMN_DEFAULT,IS_NULLABLE,DATA_TYPE,CHARACTER_MAXIMUM_LENGTH,CHARACTER_OCTET_LENGTH,NUMERIC_PRECISION,NUMERIC_PRECISION_RADIX,NUMERIC_SCALE,DATETIME_PRECISION,CHARACTER_SET_CATALOG,CHARACTER_SET_SCHEMA,CHARACTER_SET_NAME,COLLATION_CATALOG,COLLATION_SCHEMA,COLLATION_NAME,DOMAIN_CATALOG,DOMAIN_SCHEMA,DOMAIN_NAME
mabitw1_auction_20200818,dbo,AuctionItemtranlog,logdate,1,,NO,datetime,,,,,,3.0,,,,,,,,,
mabitw1_auction_20200818,dbo,AuctionItemtranlog,class,2,,NO,int,,,10.0,10.0,0.0,,,,,,,,,,
mabitw1_auction_20200818,dbo,AuctionItemtranlog,optiondata,3,,NO,bigint,,,19.0,10.0,0.0,,,,,,,,,,
mabitw1_auction_20200818,dbo,AuctionItemtranlog,price,4,,NO,bigint,,,19.0,10.0,0.0,,,,,,,,,,
mabitw1_auction_20200818,dbo,AuctionItemtranlog,auctionid,5,,NO,bigint,,,19.0,10.0,0.0,,,,,,,,,,
mabitw1_auction_20200818,dbo,AuctionItemtranlog_daily,logdate,1,,NO,datetime,,,,,,3.0,,,,,,,,,
mabitw1_auction_20200818,dbo,AuctionItemtranlog_daily,class,2,,NO,int,,,10.0,10.0,0.0,,,,,,,,,,
mabitw1_auction_20200818,dbo,AuctionItemtranlog_daily,optiondata,3,,NO,bigint,,,19.0,10.0,0.0,,,,,,,,,,
mabitw1_auction_20200818,dbo,AuctionItemtranlog_daily,avgprice,4,,NO,bigint,,,19.0,10.0,0.0,,,,,,,,,,
mabitw1_auction_20200818,dbo,AuctionItemtranlog_daily,trancount,5,,NO,int,,,10.0,10.0,0.0,,,,,,,,,,
mabitw1_auction_20200818,dbo,AuctionItemtranlog_weekly,logdate,1,,NO,datetime,,,,,,3.0,,,,,,,,,
mabitw1_auction_20200818,dbo,AuctionItemtranlog_weekly,class,2,,NO,int,,,10.0,10.0,0.0,,,,,,,,,,
mabitw1_auction_20200818,dbo,AuctionItemtranlog_weekly,optiondata,3,,NO,bigint,,,19.0,10.0,0.0,,,,,,,,,,
mabitw1_auction_20200818,dbo,AuctionItemtranlog_weekly,avgprice,4,,NO,bigint,,,19.0,10.0,0.0,,,,,,,,,,
mabitw1_auction_20200818,dbo,AuctionItemtranlog_weekly,trancount,5,,NO,int,,,10.0,10.0,0.0,,,,,,,,,,
mabitw1_auction_20200818,dbo,AuctionItemtranlog_monthly,logdate,1,,NO,datetime,,,,,,3.0,,,,,,,,,
mabitw1_auction_20200818,dbo,AuctionItemtranlog_monthly,class,2,,NO,int,,,10.0,10.0,0.0,,,,,,,,,,
mabitw1_auction_20200818,dbo,AuctionItemtranlog_monthly,optiondata,3,,NO,bigint,,,19.0,10.0,0.0,,,,,,,,,,
mabitw1_auction_20200818,dbo,AuctionItemtranlog_monthly,avgprice,4,,NO,bigint,,,19.0,10.0,0.0,,,,,,,,,,
mabitw1_auction_20200818,dbo,AuctionItemtranlog_monthly,trancount,5,,NO,int,,,10.0,10.0,0.0,,,,,,,,,,
