type,layers,gamename,startdate,enddate,parenthivedb,parentdbname,parenttablename,parentcolumnname,orihivedb,oridbname,oritablename,oricolumnname,hivedb,dbname,tablename,columnname,logstartdate,logenddate,dtbeforeday,dtafterday,logfilename,log,sql,memo,memo2
all,1,mabi,2019-12-01,,,,,,all,mabitwmabinogi,accadb,,extract,mabitwmabinogi,accadb,,,,,,,,,尚未確定(大於1M),
all,1,mabi,2019-12-01,,,,,,all,mabitwmabinogi,account_pawncoin,,extract,mabitwmabinogi,account_pawncoin,,,,,,,,,尚未確定(0M),
all,1,mabi,2019-12-01,,,,,,all,mabitwmabinogi,achievement_convert,,extract,mabitwmabinogi,achievement_convert,,,,,,,,,尚未確定(大於10M),
all,1,mabi,2019-12-01,,,,,,all,mabitwmabinogi,allaccount,,extract,mabitwmabinogi,allaccount,,,,,,,,,尚未確定(大於1M),
all,1,mabi,2019-12-01,,,,,,all,mabitwmabinogi,allitem,,extract,mabitwmabinogi,allitem,,,,,,,,,尚未確定(0M),
all,1,mabi,2019-12-01,,,,,,all,mabitwmabinogi,anewplayer,,extract,mabitwmabinogi,anewplayer,,,,,,,,,尚未確定(小於500K),
all,1,mabi,2019-12-01,,,,,,all,mabitwmabinogi,asset_now,,extract,mabitwmabinogi,asset_now,,,,,,,,,尚未確定(小於500K),
all,1,mabi,2019-12-01,,,,,,all,mabitwmabinogi,bank,,extract,mabitwmabinogi,bank,,,,,,,,,銀行認證(大於10M),
all,1,mabi,2019-12-01,,,,,,all,mabitwmabinogi,bank_slot,,extract,mabitwmabinogi,bank_slot,,,,,,,,,銀行相關?(大於100M),
all,1,mabi,2019-12-01,,,,,,all,mabitwmabinogi,bankitem,,extract,mabitwmabinogi,bankitem,,,,,,,,,尚未確定(0M),
all,1,mabi,2019-12-01,,,,,,all,mabitwmabinogi,bankitemquest,,extract,mabitwmabinogi,bankitemquest,,,,,,,,,尚未確定(0M),
all,1,mabi,2019-12-01,,,,,,all,mabitwmabinogi,bardboard,,extract,mabitwmabinogi,bardboard,,,,,,,,,尚未確定(大於1M),
all,1,mabi,2019-12-01,,,,,,all,mabitwmabinogi,bid,,extract,mabitwmabinogi,bid,,,,,,,,,尚未確定(小於500K),
all,1,mabi,2019-12-01,,,,,,all,mabitwmabinogi,bididpool,,extract,mabitwmabinogi,bididpool,,,,,,,,,尚未確定(0M),
all,1,mabi,2019-12-01,,,,,,all,mabitwmabinogi,botaccount,,extract,mabitwmabinogi,botaccount,,,,,,,,,尚未確定(小於500K),
all,1,mabi,2019-12-01,,,,,,all,mabitwmabinogi,botaccount2,,extract,mabitwmabinogi,botaccount2,,,,,,,,,尚未確定(小於500K),
all,1,mabi,2019-12-01,,,,,,all,mabitwmabinogi,botaccount3,,extract,mabitwmabinogi,botaccount3,,,,,,,,,尚未確定(小於500K),
all,1,mabi,2019-12-01,,,,,,all,mabitwmabinogi,castle,,extract,mabitwmabinogi,castle,,,,,,,,,尚未確定(小於500K),
all,1,mabi,2019-12-01,,,,,,all,mabitwmabinogi,castle_block,,extract,mabitwmabinogi,castle_block,,,,,,,,,尚未確定(0M),
all,1,mabi,2019-12-01,,,,,,all,mabitwmabinogi,castle_buildresource,,extract,mabitwmabinogi,castle_buildresource,,,,,,,,,尚未確定(0M),
all,1,mabi,2019-12-01,,,,,,all,mabitwmabinogi,castlebid,,extract,mabitwmabinogi,castlebid,,,,,,,,,尚未確定(0M),
all,1,mabi,2019-12-01,,,,,,all,mabitwmabinogi,castlebidder,,extract,mabitwmabinogi,castlebidder,,,,,,,,,尚未確定(0M),
all,1,mabi,2019-12-01,,,,,,all,mabitwmabinogi,castlebidder_history,,extract,mabitwmabinogi,castlebidder_history,,,,,,,,,尚未確定(小於500K),
all,1,mabi,2019-12-01,,,,,,all,mabitwmabinogi,character_arbeit,,extract,mabitwmabinogi,character_arbeit,,,,,,,,,角色arbeit?(大於10M),
all,1,mabi,2019-12-01,,,,,,all,mabitwmabinogi,character_deed,,extract,mabitwmabinogi,character_deed,,,,,,,,,角色契約?(大於100M),
all,1,mabi,2019-12-01,,,,,,all,mabitwmabinogi,character_joust,,extract,mabitwmabinogi,character_joust,,,,,,,,,角色騎士競技(大於10M),
all,1,mabi,2019-12-01,,,,,,all,mabitwmabinogi,character_naosupport,,extract,mabitwmabinogi,character_naosupport,,,,,,,,,角色娜歐的幫助(大於10M),
all,1,mabi,2019-12-01,,,,,,all,mabitwmabinogi,character_questreserved,,extract,mabitwmabinogi,character_questreserved,,,,,,,,,角色保留任務?(大於10M),
all,1,mabi,2019-12-01,,,,,,all,mabitwmabinogi,characterachievement,,extract,mabitwmabinogi,characterachievement,,,,,,,,,尚未確定(0M),
all,1,mabi,2019-12-01,,,,,,all,mabitwmabinogi,charidpool,,extract,mabitwmabinogi,charidpool,,,,,,,,,尚未確定(小於500K),
all,1,mabi,2019-12-01,,,,,,all,mabitwmabinogi,charitem,,extract,mabitwmabinogi,charitem,,,,,,,,,尚未確定(0M),
all,1,mabi,2019-12-01,,,,,,all,mabitwmabinogi,charitemego,,extract,mabitwmabinogi,charitemego,,,,,,,,,精靈武器相關(大於10M),
