TABLE_CATALOG,TABLE_SCHEMA,TABLE_NAME,TABLE_TYPE
mabitw1_mabinogi_20200818,dbo,castlebid,BASE TABLE
mabitw1_mabinogi_20200818,dbo,tmpquestdel_20150903_1,BASE TABLE
mabitw1_mabinogi_20200818,dbo,tmpitemquestiddel_20151029_2,BASE TABLE
mabitw1_mabinogi_20200818,dbo,tmpitemquestiddel_20160811_1,BASE TABLE
mabitw1_mabinogi_20200818,dbo,tmpMailboxitem_20161110_1,BASE TABLE
mabitw1_mabinogi_20200818,dbo,castlebidder,BASE TABLE
mabitw1_mabinogi_20200818,dbo,tmpitemquestdel_20150903_1,BASE TABLE
mabitw1_mabinogi_20200818,dbo,tmp_old_20110712,BASE TABLE
mabitw1_mabinogi_20200818,dbo,anewplayer,BASE TABLE
mabitw1_mabinogi_20200818,dbo,castlebidder_history,BASE TABLE
mabitw1_mabinogi_20200818,dbo,tmpitemquestiddel_20150903_1,BASE TABLE
mabitw1_mabinogi_20200818,dbo,bank,BASE TABLE
mabitw1_mabinogi_20200818,dbo,tmphouseitemLarge_20160811_1,BASE TABLE
mabitw1_mabinogi_20200818,dbo,tmphouseitemLarge_20161110_2,BASE TABLE
mabitw1_mabinogi_20200818,dbo,tmphouseitemSmall_20170323_2,BASE TABLE
mabitw1_mabinogi_20200818,dbo,charidpool,BASE TABLE
mabitw1_mabinogi_20200818,dbo,tmpMailboxitem_20151029_2,BASE TABLE
mabitw1_mabinogi_20200818,dbo,tmpMailboxitem_20160811_1,BASE TABLE
mabitw1_mabinogi_20200818,dbo,tmpMailboxitem_20161110_2,BASE TABLE
mabitw1_mabinogi_20200818,dbo,tmpMailboxitem_20170323_2,BASE TABLE
mabitw1_mabinogi_20200818,dbo,gameid,BASE TABLE
mabitw1_mabinogi_20200818,dbo,tmpquestdel_20150415_2,BASE TABLE
mabitw1_mabinogi_20200818,dbo,tmpmetadel_20160811_1,BASE TABLE
mabitw1_mabinogi_20200818,dbo,temp_donate,BASE TABLE
mabitw1_mabinogi_20200818,dbo,house,BASE TABLE
mabitw1_mabinogi_20200818,dbo,tmpitemquestdel_20150415_2,BASE TABLE
mabitw1_mabinogi_20200818,dbo,temp_farm_a,BASE TABLE
mabitw1_mabinogi_20200818,dbo,housebidder_history,BASE TABLE
mabitw1_mabinogi_20200818,dbo,tmpitemquestiddel_20150415_2,BASE TABLE
mabitw1_mabinogi_20200818,dbo,tmphouseitemSmall_20170323_3,BASE TABLE
mabitw1_mabinogi_20200818,dbo,itemidpool,BASE TABLE
mabitw1_mabinogi_20200818,dbo,tmpMailboxitem_20170323_3,BASE TABLE
mabitw1_mabinogi_20200818,dbo,LevelRank,BASE TABLE
mabitw1_mabinogi_20200818,dbo,PetAssetRank,BASE TABLE
mabitw1_mabinogi_20200818,dbo,tmpTGM_20170119,BASE TABLE
mabitw1_mabinogi_20200818,dbo,DeleteChar,BASE TABLE
mabitw1_mabinogi_20200818,dbo,AssetRank,BASE TABLE
mabitw1_mabinogi_20200818,dbo,ServerAssetInfo,BASE TABLE
mabitw1_mabinogi_20200818,dbo,tmphouseitemSmall_20170223_1,BASE TABLE
mabitw1_mabinogi_20200818,dbo,dtproperties,BASE TABLE
mabitw1_mabinogi_20200818,dbo,character_skill,BASE TABLE
mabitw1_mabinogi_20200818,dbo,tmpcharacter_meta_20200312,BASE TABLE
mabitw1_mabinogi_20200818,dbo,tmpMailboxitem_20170223_1,BASE TABLE
mabitw1_mabinogi_20200818,dbo,PrivateFarmPenalty,BASE TABLE
mabitw1_mabinogi_20200818,dbo,botaccount3,BASE TABLE
mabitw1_mabinogi_20200818,dbo,tmpquestdel_20161215_1,BASE TABLE
mabitw1_mabinogi_20200818,dbo,playtimeRank,BASE TABLE
mabitw1_mabinogi_20200818,dbo,tmpitemquestdel_20161215_1,BASE TABLE
mabitw1_mabinogi_20200818,dbo,Character,BASE TABLE
mabitw1_mabinogi_20200818,dbo,tmpitemquestiddel_20161215_1,BASE TABLE
mabitw1_mabinogi_20200818,dbo,HouseItemHuge,BASE TABLE
mabitw1_mabinogi_20200818,dbo,tmpquestdel_20170202_1,BASE TABLE
mabitw1_mabinogi_20200818,dbo,tmphouseitemLarge_20170223_2,BASE TABLE
mabitw1_mabinogi_20200818,dbo,HouseItemLarge,BASE TABLE
mabitw1_mabinogi_20200818,dbo,tmpjour_parse,BASE TABLE
mabitw1_mabinogi_20200818,dbo,tmpitemquestdel_20170202_1,BASE TABLE
mabitw1_mabinogi_20200818,dbo,tmpMailboxitem_20170223_2,BASE TABLE
mabitw1_mabinogi_20200818,dbo,HouseItemQuest,BASE TABLE
mabitw1_mabinogi_20200818,dbo,ACHIEVEMENT_CONVERT,BASE TABLE
