schemaname,tablename,rowcounts,totalspacemb,usedspacemb,unusedspacemb
dbo,account_pawncoin,0,0,0,0
dbo,allitem,0,0,0,0
dbo,aname,120,0,0,0
dbo,anewplayer,143,0,0,0
dbo,asset_now,1000,0,0,0
dbo,asset_old,1000,0,0,0
dbo,backup_bankitemlargeBugItem,52,0,0,0
dbo,backup_bankItemSmallBugItem63260_2,0,0,0,0
dbo,backup_BugCharacterAchieveMentData,5,0,0,0
dbo,backup_bugCharacterQuest,0,0,0,0
dbo,backup_bugCharItemQuestData,99,0,0,0
dbo,backup_bugCharStat,68,0,0,0
dbo,backup_bugMaceBankItem,131,0,0,0
dbo,backup_bugMaceCharItem,295,0,0,0
dbo,backup_bugMaceHouseItem,6,0,0,0
dbo,backup_bugMaceItem,454,0,0,0
dbo,backup_bugMaceMailItem,22,0,0,0
dbo,backup_bugSkillAP,68,0,0,0
dbo,backup_bugSkillList,111,0,0,0
dbo,backup_characterStat,34,0,0,0
dbo,backup_charitemlargeBugItem,440,0,0,0
dbo,backup_charItemQuestScroll,8698,0,0,0
dbo,backup_charItemSmallBugItem63260_2,477,0,0,0
dbo,backup_G14S4SkillInfo,12852,0,0,0
dbo,backup_houseItemlargeBugItem,0,0,0,0
dbo,backup_houseItemSmallBugItem63260_2,0,0,0,0
dbo,backup_mailBoxItemBugItem,0,0,0,0
dbo,backup_mailBoxItemBugItem63260_@,0,0,0,0
dbo,backup_mailBoxReceiveBugItem,0,0,0,0
dbo,backup_mailBoxReceiveBugItem63260_2,0,0,0,0
dbo,backup_MateBankItem,0,0,0,0
dbo,backup_MateCharItem,340,0,0,0
dbo,backup_MateHouseItem,0,0,0,0
dbo,backup_MateMailBoxItem,0,0,0,0
dbo,backup_MateMailBoxReceive,0,0,0,0
dbo,bak_bankItemLarge_20110819,26,0,0,0
dbo,bak_bugQuestCharacterQuest,0,0,0,0
dbo,bak_bugQuestCharItemQuest,234,0,0,0
dbo,bak_bugSkillAPInfo,14,0,0,0
dbo,bak_bugSkillData,14,0,0,0
dbo,bak_bugWeddingBankItem,20,0,0,0
dbo,bak_bugWeddingCharItem,0,0,0,0
dbo,bak_bugWeddingHouseItem,0,0,0,0
