TABLE_CATALOG,TABLE_SCHEMA,TABLE_NAME,COLUMN_NAME,ORDINAL_POSITION,COLUMN_DEFAULT,IS_NULLABLE,DATA_TYPE,CHARACTER_MAXIMUM_LENGTH,CHARACTER_OCTET_LENGTH,NUMERIC_PRECISION,NUMERIC_PRECISION_RADIX,NUMERIC_SCALE,DATETIME_PRECISION,CHARACTER_SET_CATALOG,CHARACTER_SET_SCHEMA,CHARACTER_SET_NAME,COLLATION_CATALOG,COLLATION_SCHEMA,COLLATION_NAME,DOMAIN_CATALOG,DOMAIN_SCHEMA,DOMAIN_NAME
messengerDB_20200818,dbo,mergeNewGameID,oldGameID,1,,NO,bigint,,,19.0,10.0,0.0,,,,,,,,,,
messengerDB_20200818,dbo,mergeNewGameID,newGameID,2,,NO,bigint,,,19.0,10.0,0.0,,,,,,,,,,
messengerDB_20200818,dbo,mergeNewGameID,oldGameName,3,,NO,varchar,50.0,50.0,,,,,,,cp950,,,Chinese_Taiwan_Stroke_CI_AS,,,
messengerDB_20200818,dbo,mergeNewGameID,newGameName,4,,NO,varchar,50.0,50.0,,,,,,,cp950,,,Chinese_Taiwan_Stroke_CI_AS,,,
messengerDB_20200818,dbo,mergeNewGameID,flag,5,,NO,tinyint,,,3.0,10.0,0.0,,,,,,,,,,
messengerDB_20200818,dbo,mergeNewGameID,oldServer,6,,NO,nvarchar,50.0,100.0,,,,,,,UNICODE,,,Chinese_Taiwan_Stroke_CI_AS,,,
messengerDB_20200818,dbo,mergeNewGameID,newserver,7,,NO,varchar,7.0,7.0,,,,,,,cp950,,,Chinese_Taiwan_Stroke_CI_AS,,,
messengerDB_20200818,dbo,mergeNewGameID,deleted,8,,NO,tinyint,,,3.0,10.0,0.0,,,,,,,,,,
messengerDB_20200818,dbo,mergeMessengerData,UserID,1,,NO,int,,,10.0,10.0,0.0,,,,,,,,,,
messengerDB_20200818,dbo,mergeMessengerData,oldserver,2,,NO,nvarchar,50.0,100.0,,,,,,,UNICODE,,,Chinese_Taiwan_Stroke_CI_AS,,,
messengerDB_20200818,dbo,mergeMessengerData,newserver,3,,NO,varchar,7.0,7.0,,,,,,,cp950,,,Chinese_Taiwan_Stroke_CI_AS,,,
messengerDB_20200818,dbo,mergeMessengerData,GlobalName,4,,NO,nvarchar,50.0,100.0,,,,,,,UNICODE,,,Chinese_Taiwan_Stroke_CI_AS,,,
messengerDB_20200818,dbo,mergeMessengerData,newGlobalName,5,,NO,varchar,58.0,58.0,,,,,,,cp950,,,Chinese_Taiwan_Stroke_CI_AS,,,
messengerDB_20200818,dbo,mergeMessengerData,DisplayTitle,6,,YES,nvarchar,50.0,100.0,,,,,,,UNICODE,,,Chinese_Taiwan_Stroke_CI_AS,,,
messengerDB_20200818,dbo,mergeMessengerData,newDisplayTitle,7,,NO,varchar,50.0,50.0,,,,,,,cp950,,,Chinese_Taiwan_Stroke_CI_AS,,,
messengerDB_20200818,dbo,mergeMessengerData,characterid,8,,NO,bigint,,,19.0,10.0,0.0,,,,,,,,,,
messengerDB_20200818,dbo,mergeMessengerData,newgameid,9,,NO,bigint,,,19.0,10.0,0.0,,,,,,,,,,
messengerDB_20200818,dbo,deletedCharacterList,account,1,,NO,nvarchar,32.0,64.0,,,,,,,UNICODE,,,Chinese_Taiwan_Stroke_CI_AS,,,
