schemaname,tablename,rowcounts,totalspacemb,usedspacemb,unusedspacemb
dbo,deletedCharacterList,0,0,0,0
dbo,lastCollectDeletedTime,0,0,0,0
dbo,MessengerMove,0,0,0,0
dbo,tmpRelation_FriendID_20200420,2974,0,0,0
dbo,tmpRelation_UserID_20200420,14882,0,0,0
dbo,tmpRelationGroup_20200326,3724,0,0,0
dbo,tmpRelationGroup_20200420,0,0,0,0
dbo,tmpuserid_del_20200420,12853,1,1,0
dbo,TMP_USERID_FOR_DEL,330388,4,4,0
dbo,TMP_GLOBALNAME_FOR_DEL,505052,18,18,0
dbo,mergeMessengerData,196179,23,23,0
dbo,tmpRelation_20200326,698399,33,33,0
dbo,tmpUser_20200420,2159016,169,169,0
dbo,mergeNewGameID,2498480,184,184,0
dbo,mergeNewGameID_ALL,2498480,370,369,0
dbo,User,2159884,527,328,199
dbo,RelationGroup,174794,982,47,934
dbo,Relation,11477470,1625,872,752
