tableName,Usage,code,process,column,timecoding,others
Character,角色資料,S,前一天在線,characterid,,角色資料，連接表格特殊處理
AccountCabinet,無資料,,,,,
ActiveUserMesoLog,活躍玩家、總體玩家總楓幣量統計,E,不備份,,,
AdminShopCommodity,不確定(只有一筆資料),,,,,
AdminShopCommodityAccumulatedCount,不確定(只有一筆資料),,,,,
AdminShopCommodityDailyCount,不確定(只有一筆資料),,,,,
AdminShopLog,無資料,,,,,
AlbaInfo,不確定,B,全部備份,,,
AmazingHyperUpgradeLog,無資料,,,,,綁itemSN
AndroidInfo,機器人資訊,B,全部備份,,%Y-%m-%d,
AntiMacroCount,自動偵測外掛記數,C,備份當天,lastupdatedate,%Y-%m-%d,
AntiMacroRecord,自動偵測外掛紀錄,C,備份當天,registerdate,%Y-%m-%d,
Avatar,紙娃娃系統資料,D,前一天在線,characterid,,
BeautyAlbum,美妝相簿,D,前一天在線,characterid,,
BeautyAlbumLimit,美妝相簿上限,D,前一天在線,characterid,%Y-%m-%d,
BuyCharacter,玩家購買統計,C,備份當天,buydate,%Y-%m-%d,
CashItem_EQP,裝備類Cash Item,B,全部備份,characterid,,
CashItem_EQP_Premium,無資料,,,,,綁itemSN
CashItem_PET,寵物Cash Item,B,全部備份,,,
CashItemAction,CashItem Action代碼的說明(部分、有亂碼),B,全部備份,,,綁cashitemsn 
CashItemBundle,消耗類現金道具(紀錄道具是否被封印),B,全部備份,,%Y-%m-%d,可使用usabletime
CashItemCoolTime,現金道具冷卻時間(如:瞬移之石),E,不備份,characterid,%Y-%m-%d,
CashItemLog,商城全紀錄(買、送禮、退貨…),C,備份當天,registerdate,%Y-%m-%d,綁cashitemsn 
CashItemMyInitial,不確定，廣播之類的東西?,B,全部備份,,,
CashitemOption,無資料,,,,,
CashItemOptionTW,不確定,B,全部備份,,,
CashItemRewardPoint,現金道具獎勵點數(楓點?)(~2012),,,,,
CharacterAutoBuff,不確定,B,全部備份,,,
CharacterBlackList,黑名單,D,前一天在線,characterid,,
CharacterBurningInfo,角色燃燒資訊,C,備份當天,enddate,%Y%m%d,活動類型
CharacterCard,角色卡,D*,前一天在線,accountid,,前一天上線之Account?
CharacterChecksum,外掛監控機制,D,前一天在線,characterid,,
CharacterCommerceItemRecord,航海貿易物品紀錄,D,前一天在線,characterid,,
CharacterCommerceRecord,航海貿易紀錄,D,前一天在線,characterid,,
CharacterCommerceVessel,航海貿易船隻資訊,D,前一天在線,characterid,%Y-%m-%d,也可用energyupdate
CharacterCrossBrigadeHonorInfo,十字軍、遠征點數,D,前一天在線,characterid,,
CharacterDps,角色最高傷害(?),E,,,,
CharacterExtendSP,角色額外技能點,D,前一天在線,characterid,,
CharacterHonorDiffInfo,角色名聲差異(內潛)資訊,D,前一天在線,characterid,,
CharacterHonorInfo,角色名聲(內潛)資訊,D,前一天在線,characterid,,
CharacterHonorRank,角色名聲排名(內潛),B,全部備份,,,
CharacterHonorWeeklyRank,角色名聲每週排名(內潛),B,全部備份,,,
CharacterLevel,無資料,,,,,
