tableName,Usage,code,process,column,timecoding,others
Account,帳號資料Table,D*,前一天在線,accountid,,
AccountBlockByLBD,因LBD凍結的帳號,C,備份當天,blockdate,%Y-%m-%d,
AccountBlockReason,凍結的帳號,C,備份當天,blockdate,%Y-%m-%d,
AccountBlockReasonDesc,凍結理由對照表,E,,,,不須備份
AccountConnectionInfo,無資料,,,,,
AccountCount,每日登入次數(統計),E,,,,全遊戲(統計)
AccountCreateBanWhiteList,無資料,,,,,
AccountInfo,不確定，可能已不更新,,,,,
AccountReliability,外掛偵測相關,D*,前一天在線,accountid,,不重要(?
AccountSDFlag,無資料,,,,,
AchievementCompleteCount,成就被完成統計,B,全備,,,
AchievementInsignia,帳號成就勳章,D*,前一天在線,accountid,,
AchievementMissionRecord,帳號成就的任務紀錄,D*,前一天在線,accountid,,
AchievementRecord,帳號成就的狀態,D*,前一天在線,accountid,,
AchievementScore,成就的分數對照表,E,,,,不須備份
AntiMacroBomb,無資料,,,,,
AttackBlockList,攻擊者封鎖名單(~2016),,,,,
AutoBlockLogByLevelUp,無資料,,,,,
BlackList,無資料,,,,,
BlazeEye_Issue_List,火焰眼睛發送名單(舊活動),,,,,
BlockCountIdentitySN,無資料,,,,,
BlockCountIdentitySNLog,無資料,,,,,
BlockReason,無資料,,,,,
CashItemEvent,現金道具活動(舊活動),,,,,
CashItemSSNLog,無資料,,,,,
CashPurchaseRecord,現金購買記錄,C,備份當天,lastupdatedate,%Y-%m-%d,
CashShopReward_List,現金商店獎賞(只有一筆資料),,,,,
CashShopReward_Use_Log,現金商店獎賞使用LOG(~2013),,,,,
CashShopReward_User,現金商店獎賞使用者(~2013),,,,,
Character,遊戲內有關角色的資料Table,D*,前一天在線,accountid,,
Character_Stat,遊戲內角色等級,D*,前一天在線,accountid,,
CharacterBurningInfo,角色燃燒資訊,C,備份當天,enddate,%Y-%m-%d,
CharacterMaxLevelTime,角色達到最高等級紀錄,C,備份當天,maxleveltime,%Y-%m-%d,
CharacterMesoInOutLog_MapleStoryTW,楓幣伺服器別的增減狀況,E,不備份,,,不須備份
CharacterMesoInOutLog_Type,上表之type對照表,E,不備份,,,不須備份
CharacterNameEvent,無資料,,,,,
CharacterRename,無資料,,,,,
CharacterWTSS,無資料,,,,,
ChatBlockList,聊天封鎖清單(~2012),,,,,
cidmax,暫存資料,,,,,
ClearanceSalePurchaseRecord,購買相關的暫存資料,,,,,
ClearanceSaleStock,無資料,,,,,
Connection,連線狀態(~2005),,,,,
Coupon_List,無資料,,,,,
Coupon_Use_Log,無資料,,,,,
Coupon_User,無資料,,,,,
CreateAccountCertification,無資料,,,,,
DeleteAccountLog,帳號刪除紀錄(~2005),,,,,
DeletedCharacterLog,角色刪除紀錄(~Now),C,備份當天,deleteddate,%Y-%m-%d,
DeleteMileagePurchaseRecordLog,里程購買刪除記錄,B,全備,,,
evtDragonLevel,無資料,,,,,
FreeCashItem,免費現金道具記錄(~2015),,,,,
GachaponCount,帳號轉蛋數量(~2018.01),C,備份當天,registerdate,%Y-%m-%d,
GameWorld,伺服器名稱對照表,E,不備份,,,不須備份
GroupProc,無資料,,,,,
HackLogControl,HackLog類別對照表,E,不備份,,,不須備份
HackLogPattern,HackLog相關(只有一筆資料),,,,,
HappyDay_GlobalGift,HappyDay 帳號獎勵,C,備份當天,receivedate,%Y-%m-%d,
HoldCharacterName,重啟被刪除的角色記錄,C,備份當天,reusedate,%Y-%m-%d,
HotBloodAccount,熱寫帳號(?)(暫存),,,,,
HyperTeleport_EVENT,超級傳送活動(過去活動),,,,,
IDERROR,帳號錯誤字元(已不更新),,,,,
IIR_LimitedMapList,掉寶、經驗限制的地圖列表,E,不備份,,,不須備份
ImitatedNPC,無資料,,,,,
IncubatorSSNLog,無資料,,,,,
IntegratedIncRate,掉寶經驗調整,E,不備份,,,不須備份
InvalidCharacterCodeChangeRecord,不雅角色名稱更名記錄,C,備份當天,registertime,%Y-%m-%d,
IPCheck,無資料,,,,,
IPList,無資料,,,,,
ItemExchange,客訴等物品交換記錄(~2010),,,,,
