gamename,dbname,tablename
maple,GameWorld00,BeautyAlbum
maple,GameWorld00,CashItem_EQP
maple,GameWorld00,CashItemBundle
maple,GameWorld00,CashItemLog
maple,GameWorld00,Character
maple,GameWorld00,CharacterStatInfo
maple,GameWorld00,DojangRanking
maple,GameWorld00,Friend
maple,GameWorld00,GuildMember
maple,GameWorld00,InventorySize
maple,GameWorld00,ItemLocker
maple,GameWorld00,ItemSlot_CON
maple,GameWorld00,ItemSlot_EQP
maple,GameWorld00,ItemSlot_ETC
maple,GameWorld00,ItemSlot_INS
maple,GameWorld00,ItemSlot_OPT
maple,GameWorld00,MesoExchangeLog
maple,GameWorld00,QuestCompleteNew
maple,GameWorld00,QuestCompleteNewByAccount
maple,GameWorld00,UnionWebRanking
maple,GameWorld01,BeautyAlbum
maple,GameWorld01,CashItem_EQP
maple,GameWorld01,CashItemBundle
maple,GameWorld01,CashItemLog
maple,GameWorld01,Character
maple,GameWorld01,CharacterStatInfo
maple,GameWorld01,DojangRanking
maple,GameWorld01,Friend
maple,GameWorld01,GuildMember
maple,GameWorld01,InventorySize
maple,GameWorld01,ItemLocker
maple,GameWorld01,ItemSlot_CON
maple,GameWorld01,ItemSlot_EQP
maple,GameWorld01,ItemSlot_ETC
maple,GameWorld01,ItemSlot_INS
maple,GameWorld01,ItemSlot_OPT
maple,GameWorld01,MesoExchangeLog
maple,GameWorld01,QuestCompleteNew
maple,GameWorld01,QuestCompleteNewByAccount
maple,GameWorld01,UnionWebRanking
maple,GameWorld02,BeautyAlbum
maple,GameWorld02,CashItem_EQP
maple,GameWorld02,CashItemBundle
maple,GameWorld02,CashItemLog
maple,GameWorld02,Character
maple,GameWorld02,CharacterStatInfo
maple,GameWorld02,DojangRanking
maple,GameWorld02,Friend
maple,GameWorld02,GuildMember
maple,GameWorld02,InventorySize
maple,GameWorld02,ItemLocker
maple,GameWorld02,ItemSlot_CON
maple,GameWorld02,ItemSlot_EQP
maple,GameWorld02,ItemSlot_ETC
maple,GameWorld02,ItemSlot_INS
maple,GameWorld02,ItemSlot_OPT
maple,GameWorld02,MesoExchangeLog
maple,GameWorld02,QuestCompleteNew
maple,GameWorld02,QuestCompleteNewByAccount
maple,GameWorld02,UnionWebRanking
maple,GameWorld03,BeautyAlbum
maple,GameWorld03,CashItem_EQP
maple,GameWorld03,CashItemBundle
maple,GameWorld03,CashItemLog
maple,GameWorld03,Character
maple,GameWorld03,CharacterStatInfo
maple,GameWorld03,DojangRanking
maple,GameWorld03,Friend
maple,GameWorld03,GuildMember
maple,GameWorld03,InventorySize
maple,GameWorld03,ItemLocker
maple,GameWorld03,ItemSlot_CON
maple,GameWorld03,ItemSlot_EQP
maple,GameWorld03,ItemSlot_ETC
maple,GameWorld03,ItemSlot_INS
maple,GameWorld03,ItemSlot_OPT
maple,GameWorld03,MesoExchangeLog
maple,GameWorld03,QuestCompleteNew
maple,GameWorld03,QuestCompleteNewByAccount
maple,GameWorld03,UnionWebRanking
maple,GameWorld04,BeautyAlbum
maple,GameWorld04,CashItem_EQP
maple,GameWorld04,CashItemBundle
maple,GameWorld04,CashItemLog
maple,GameWorld04,Character
maple,GameWorld04,CharacterStatInfo
maple,GameWorld04,DojangRanking
maple,GameWorld04,Friend
maple,GameWorld04,GuildMember
maple,GameWorld04,InventorySize
maple,GameWorld04,ItemLocker
maple,GameWorld04,ItemSlot_CON
maple,GameWorld04,ItemSlot_EQP
maple,GameWorld04,ItemSlot_ETC
maple,GameWorld04,ItemSlot_INS
maple,GameWorld04,ItemSlot_OPT
maple,GameWorld04,MesoExchangeLog
maple,GameWorld04,QuestCompleteNew
maple,GameWorld04,QuestCompleteNewByAccount
maple,GameWorld04,UnionWebRanking
maple,GameWorld06,BeautyAlbum
maple,GameWorld06,CashItem_EQP
maple,GameWorld06,CashItemBundle
maple,GameWorld06,CashItemLog
maple,GameWorld06,Character
maple,GameWorld06,CharacterStatInfo
maple,GameWorld06,DojangRanking
maple,GameWorld06,Friend
maple,GameWorld06,GuildMember
maple,GameWorld06,InventorySize
maple,GameWorld06,ItemLocker
maple,GameWorld06,ItemSlot_CON
maple,GameWorld06,ItemSlot_EQP
maple,GameWorld06,ItemSlot_ETC
maple,GameWorld06,ItemSlot_INS
maple,GameWorld06,ItemSlot_OPT
maple,GameWorld06,MesoExchangeLog
maple,GameWorld06,QuestCompleteNew
maple,GameWorld06,QuestCompleteNewByAccount
maple,GameWorld06,UnionWebRanking
maple,GameWorld45,BeautyAlbum
maple,GameWorld45,CashItem_EQP
maple,GameWorld45,CashItemBundle
maple,GameWorld45,CashItemLog
maple,GameWorld45,Character
maple,GameWorld45,CharacterStatInfo
maple,GameWorld45,Friend
maple,GameWorld45,GuildMember
maple,GameWorld45,InventorySize
maple,GameWorld45,ItemLocker
maple,GameWorld45,ItemSlot_CON
maple,GameWorld45,ItemSlot_EQP
maple,GameWorld45,ItemSlot_ETC
maple,GameWorld45,ItemSlot_INS
maple,GameWorld45,ItemSlot_OPT
maple,GameWorld45,QuestCompleteNew
maple,GameWorld45,QuestCompleteNewByAccount
maple,GameWorld45,UnionWebRanking
maple,GlobalAccount,Account
maple,GlobalAccount,AccountBlockByLBD
maple,GlobalAccount,AccountBlockReason
