TABLE_CATALOG,TABLE_SCHEMA,TABLE_NAME,COLUMN_NAME,ORDINAL_POSITION,COLUMN_DEFAULT,IS_NULLABLE,DATA_TYPE,CHARACTER_MAXIMUM_LENGTH,CHARACTER_OCTET_LENGTH,NUMERIC_PRECISION,NUMERIC_PRECISION_RADIX,NUMERIC_SCALE,DATETIME_PRECISION,CHARACTER_SET_CATALOG,CHARACTER_SET_SCHEMA,CHARACTER_SET_NAME,COLLATION_CATALOG,COLLATION_SCHEMA,COLLATION_NAME,DOMAIN_CATALOG,DOMAIN_SCHEMA,DOMAIN_NAME
Auction00,dbo,Auction_Familiar,AuctionID,1,,NO,int,,,10,10,0,,,,,,,,,,
Auction00,dbo,Auction_Familiar,FamiliarID,2,,NO,int,,,10,10,0,,,,,,,,,,
Auction00,dbo,Auction_Familiar,Grade,3,,NO,tinyint,,,3,10,0,,,,,,,,,,
Auction00,dbo,Auction_Familiar,Level,4,,NO,smallint,,,5,10,0,,,,,,,,,,
Auction00,dbo,Auction_Familiar,OptionLevel,5,,NO,smallint,,,5,10,0,,,,,,,,,,
Auction00,dbo,Auction_Familiar,SkillID,6,,NO,smallint,,,5,10,0,,,,,,,,,,
Auction00,dbo,Auction_Familiar,Option1,7,,YES,int,,,10,10,0,,,,,,,,,,
Auction00,dbo,Auction_Familiar,Option2,8,,YES,int,,,10,10,0,,,,,,,,,,
Auction00,dbo,Auction_Familiar,Option3,9,,YES,int,,,10,10,0,,,,,,,,,,
Auction00,dbo,Auction_OPT,AuctionID,1,,NO,int,,,10,10,0,,,,,,,,,,
Auction00,dbo,Auction_OPT,WorldID,2,,NO,int,,,10,10,0,,,,,,,,,,
Auction00,dbo,Auction_OPT,ItemID,3,,NO,int,,,10,10,0,,,,,,,,,,
Auction00,dbo,Auction_OPT,Grade,4,,NO,tinyint,,,3,10,0,,,,,,,,,,
Auction00,dbo,Auction_OPT,CHUC,5,,NO,tinyint,,,3,10,0,,,,,,,,,,
Auction00,dbo,Auction_OPT,Option1,6,,NO,smallint,,,5,10,0,,,,,,,,,,
Auction00,dbo,Auction_OPT,Option2,7,,NO,smallint,,,5,10,0,,,,,,,,,,
Auction00,dbo,Auction_OPT,Option3,8,,NO,smallint,,,5,10,0,,,,,,,,,,
Auction00,dbo,Auction_OPT,Socket1,9,,NO,smallint,,,5,10,0,,,,,,,,,,
Auction00,dbo,Auction_OPT,Socket2,10,,NO,smallint,,,5,10,0,,,,,,,,,,
Auction00,dbo,Auction_OPT,ItemSN,11,((0)),NO,bigint,,,19,10,0,,,,,,,,,,
Auction00,dbo,Auction_OPT,Option6,12,((0)),NO,smallint,,,5,10,0,,,,,,,,,,
Auction00,dbo,Auction_OPT,Option7,13,((0)),YES,smallint,,,5,10,0,,,,,,,,,,
Auction00,dbo,Auction_OPT,SoulSkill,14,((0)),YES,smallint,,,5,10,0,,,,,,,,,,
Auction00,dbo,Auction_OPT,SoulSocketID,15,((0)),YES,smallint,,,5,10,0,,,,,,,,,,
Auction00,dbo,Auction_OPT,SoulOption,16,((0)),YES,smallint,,,5,10,0,,,,,,,,,,
Auction00,dbo,Auction_OPT,ARC_Count,17,,YES,int,,,10,10,0,,,,,,,,,,
Auction00,dbo,Auction_OPT,I_ARC,18,,YES,smallint,,,5,10,0,,,,,,,,,,
