TABLE_CATALOG,TABLE_SCHEMA,TABLE_NAME,TABLE_TYPE
GameDB04,dbo,CharacterLevelUpTime_20190823,BASE TABLE
GameDB04,dbo,CharacterPlayTimeLog_20150428,BASE TABLE
GameDB04,dbo,CharacterPlayTimeLog_20160330,BASE TABLE
GameDB04,dbo,CharacterPlayTimeLog_20170304,BASE TABLE
GameDB04,dbo,CharacterPlayTimeLog_20180519,BASE TABLE
GameDB04,dbo,CharacterLevelUpTime_20160821,BASE TABLE
GameDB04,dbo,CharacterLevelUpTime_20160117,BASE TABLE
GameDB04,dbo,CharacterPlayTimeLog_20180130,BASE TABLE
GameDB04,dbo,MachineHuntingPlayTime_20191101,BASE TABLE
GameDB04,dbo,CharacterPlayTimeLog_20151022,BASE TABLE
GameDB04,dbo,CharacterPlayTimeLog_20171011,BASE TABLE
GameDB04,dbo,CharacterLevelUpTime_20170216,BASE TABLE
GameDB04,dbo,WeddingGift_CON,BASE TABLE
GameDB04,dbo,CharacterPlayTimeLog_20150806,BASE TABLE
GameDB04,dbo,CharacterPlayTimeLog_20181113,BASE TABLE
GameDB04,dbo,ItemSlot_CON,BASE TABLE
GameDB04,dbo,CharacterPlayTimeLog_20150624,BASE TABLE
GameDB04,dbo,CharacterPlayTimeLog_20161009,BASE TABLE
GameDB04,dbo,CharacterCrossBrigadeHonorInfo,BASE TABLE
GameDB04,dbo,CharacterLevelUpTime_20170130,BASE TABLE
GameDB04,dbo,CharacterLevelUpTime_20180405,BASE TABLE
GameDB04,dbo,PvPGameRecord,BASE TABLE
GameDB04,dbo,CashItemOptionTW,BASE TABLE
GameDB04,dbo,CharacterLevelUpTime_20150729,BASE TABLE
GameDB04,dbo,CharacterPlayTimeLog_20190422,BASE TABLE
GameDB04,dbo,CharacterPlayTimeLog_20180704,BASE TABLE
GameDB04,dbo,ItemPotSlot,BASE TABLE
GameDB04,dbo,CharacterLevelUpTime_20150311,BASE TABLE
GameDB04,dbo,CharacterPlayTimeLog_20150712,BASE TABLE
GameDB04,dbo,CharacterPlayTimeLog_20181001,BASE TABLE
GameDB04,dbo,CharacterLevelUpTime_20190606,BASE TABLE
GameDB04,dbo,CharacterLevelUpTime_20151130,BASE TABLE
GameDB04,dbo,CharacterPlayTimeLog_20161126,BASE TABLE
GameDB04,dbo,CharacterPlayTimeLog_20171127,BASE TABLE
GameDB04,dbo,CharacterPlayTimeLog_20190329,BASE TABLE
GameDB04,dbo,QuestCountDaily,BASE TABLE
GameDB04,dbo,MachineHuntingPlayTime_20191124,BASE TABLE
GameDB04,dbo,CharacterPlayTimeLog_20180907,BASE TABLE
GameDB04,dbo,CharacterLevelUpTime_20161109,BASE TABLE
GameDB04,dbo,CharacterPlayTimeLog_20190317,BASE TABLE
GameDB04,dbo,CharacterLevelUpTime_20150131,BASE TABLE
GameDB04,dbo,CharacterLevelUpTime_20190511,BASE TABLE
GameDB04,dbo,CharacterLevelUpTime_20191102,BASE TABLE
GameDB04,dbo,CharacterPlayTimeLog_20180818,BASE TABLE
GameDB04,dbo,MachineHuntingPlayTime_20190807,BASE TABLE
GameDB04,dbo,WeddingGift_ETC,BASE TABLE
GameDB04,dbo,CharacterPlayTimeLog_20170715,BASE TABLE
GameDB04,dbo,CharacterPlayTimeLog_20180108,BASE TABLE
GameDB04,dbo,ItemSlot_EQP,BASE TABLE
GameDB04,dbo,AmazingHyperUpgradeLog,BASE TABLE
GameDB04,dbo,CharacterLevelUpTime_20151011,BASE TABLE
GameDB04,dbo,CharacterLevelUpTime_20190125,BASE TABLE
GameDB04,dbo,CharacterPlayTimeLog_20190520,BASE TABLE
GameDB04,dbo,CharacterPlayTimeLog_20190718,BASE TABLE
GameDB04,dbo,CharacterPlayTimeLog_20150328,BASE TABLE
GameDB04,dbo,GuildPoint,BASE TABLE
GameDB04,dbo,CharacterPlayTimeLog_20160718,BASE TABLE
GameDB04,dbo,CharacterLevelUpTime_20151210,BASE TABLE
GameDB04,dbo,CharacterLevelUpTime_20190112,BASE TABLE
GameDB04,dbo,CharacterLevelUpTime_20190628,BASE TABLE
GameDB04,dbo,AndroidInfo,BASE TABLE
GameDB04,dbo,CharacterPlayTimeLog_20190915,BASE TABLE
GameDB04,dbo,CharacterLevelUpTime_20150516,BASE TABLE
GameDB04,dbo,CharacterPlayTimeLog_20160414,BASE TABLE
GameDB04,dbo,CharacterLevelUpTime_20170107,BASE TABLE
GameDB04,dbo,CharacterPlayTimeLog_20191125,BASE TABLE
GameDB04,dbo,CharacterPlayTimeLog_20150702,BASE TABLE
GameDB04,dbo,CharacterPlayTimeLog_20160620,BASE TABLE
GameDB04,dbo,CharacterLevelUpTime_20171103,BASE TABLE
GameDB04,dbo,MachineHuntingPlayTime_20190823,BASE TABLE
GameDB04,dbo,CharacterLevelUpTime_20150429,BASE TABLE
GameDB04,dbo,CharacterLevelUpTime_20160330,BASE TABLE
GameDB04,dbo,CharacterPlayTimeLog_20170305,BASE TABLE
GameDB04,dbo,CharacterLevelUpTime_20180519,BASE TABLE
GameDB04,dbo,CharacterPlayTimeLog_20160822,BASE TABLE
GameDB04,dbo,CharacterPlayTimeLog_20160118,BASE TABLE
GameDB04,dbo,CharacterPlayTimeLog_20151023,BASE TABLE
GameDB04,dbo,CharacterPlayTimeLog_20170217,BASE TABLE
GameDB04,dbo,CharacterPlayTimeLog_20180426,BASE TABLE
GameDB04,dbo,WeddingGift_INS,BASE TABLE
GameDB04,dbo,CharacterPlayTimeLog_20150807,BASE TABLE
GameDB04,dbo,CharacterLevelUpTime_20181113,BASE TABLE
GameDB04,dbo,ItemSlot_ETC,BASE TABLE
GameDB04,dbo,CharacterLevelUpTime_20150624,BASE TABLE
GameDB04,dbo,CharacterLevelUpTime_20161009,BASE TABLE
GameDB04,dbo,ExpChairRecord,BASE TABLE
GameDB04,dbo,CharacterPlayTimeLog_20170130,BASE TABLE
GameDB04,dbo,CharacterPlayTimeLog_20180405,BASE TABLE
GameDB04,dbo,CharacterPlayTimeLog_20150729,BASE TABLE
GameDB04,dbo,CharacterLevelUpTime_20190422,BASE TABLE
GameDB04,dbo,CharacterLevelUpTime_20180704,BASE TABLE
GameDB04,dbo,CharacterPlayTimeLog_20150312,BASE TABLE
GameDB04,dbo,CharacterLevelUpTime_20150712,BASE TABLE
GameDB04,dbo,CharacterPlayTimeLog_20181002,BASE TABLE
GameDB04,dbo,CharacterPlayTimeLog_20151130,BASE TABLE
GameDB04,dbo,CharacterLevelUpTime_20161126,BASE TABLE
GameDB04,dbo,CharacterPlayTimeLog_20171128,BASE TABLE
GameDB04,dbo,CharacterPlayTimeLog_20190330,BASE TABLE
GameDB04,dbo,HalloweenRankingInfo,BASE TABLE
GameDB04,dbo,NewYearCardRecord,BASE TABLE
GameDB04,dbo,MemoAccount,BASE TABLE
GameDB04,dbo,CharacterLevelUpTime_20180907,BASE TABLE
GameDB04,dbo,CharacterLevelUpTime_20190317,BASE TABLE
GameDB04,dbo,CharacterLevelUpTime_20190824,BASE TABLE
GameDB04,dbo,CharacterLevelUpTime_20150201,BASE TABLE
GameDB04,dbo,CharacterPlayTimeLog_20180131,BASE TABLE
GameDB04,dbo,CharacterPlayTimeLog_20191102,BASE TABLE
GameDB04,dbo,CharacterPlayTimeLog_20180819,BASE TABLE
GameDB04,dbo,CharacterPlayTimeLog_20190221,BASE TABLE
GameDB04,dbo,WeddingReservation,BASE TABLE
GameDB04,dbo,CharacterLevelUpTime_20170715,BASE TABLE
