TABLE_CATALOG,TABLE_SCHEMA,TABLE_NAME,TABLE_TYPE
GlobalAccount,dbo,tmp_e20171031_1,BASE TABLE
GlobalAccount,dbo,VIPAccount,BASE TABLE
GlobalAccount,dbo,temp_20141112_october_login_event,BASE TABLE
GlobalAccount,dbo,temp_20170222_GA_Reward_CharacterCard,BASE TABLE
GlobalAccount,dbo,MonsterBattleRank,BASE TABLE
GlobalAccount,dbo,Temp_500103_20180727,BASE TABLE
GlobalAccount,dbo,AccountBlockReasonDesc,BASE TABLE
GlobalAccount,dbo,temp_20170222_GA_Reward_V,BASE TABLE
GlobalAccount,dbo,CashPurchaseRecord,BASE TABLE
GlobalAccount,dbo,Temp_level33up_20180727,BASE TABLE
GlobalAccount,dbo,AchievementMissionRecord,BASE TABLE
GlobalAccount,dbo,evtDragonLevel,BASE TABLE
GlobalAccount,dbo,BlackList,BASE TABLE
GlobalAccount,dbo,AchievementRecord,BASE TABLE
GlobalAccount,dbo,temp_20161116_RewardList,BASE TABLE
GlobalAccount,dbo,Results,BASE TABLE
GlobalAccount,dbo,temp_UserPlayTimeLog_201606,BASE TABLE
GlobalAccount,dbo,temp_20161116_Gama_Reward,BASE TABLE
GlobalAccount,GameSvr,Temp_CharacterCard_20111123,BASE TABLE
GlobalAccount,dbo,MaplePointIncLog,BASE TABLE
GlobalAccount,dbo,temp_UserPlayTimeLog_201608,BASE TABLE
GlobalAccount,dbo,temp_20161116_ItemSlot_OPT_SoulRing,BASE TABLE
GlobalAccount,dbo,QuantityLimitEvent,BASE TABLE
GlobalAccount,dbo,NexonMembershipTemp,BASE TABLE
GlobalAccount,dbo,QuantityLimitEventStarted,BASE TABLE
GlobalAccount,dbo,tmp_e20160316_point_0302,BASE TABLE
GlobalAccount,dbo,test,BASE TABLE
GlobalAccount,dbo,temp_20190909_GA_Reward_5220040,BASE TABLE
GlobalAccount,dbo,DeleteAccountLog,BASE TABLE
GlobalAccount,dbo,tmp_e20160316_point_0302_1,BASE TABLE
GlobalAccount,dbo,PlayTime_MapleStoryTW,BASE TABLE
GlobalAccount,dbo,NexonMembership,BASE TABLE
GlobalAccount,dbo,QuantityLimitEventWinner,BASE TABLE
GlobalAccount,dbo,IPList,BASE TABLE
GlobalAccount,dbo,tmp_e20160316_point_0309,BASE TABLE
GlobalAccount,dbo,Temp_AccountID_20180627_1,BASE TABLE
GlobalAccount,dbo,temp_UserPlayTimeLog_201610,BASE TABLE
GlobalAccount,dbo,OTPShieldInfo,BASE TABLE
GlobalAccount,dbo,tmp_e20160316_point_0309_1,BASE TABLE
GlobalAccount,dbo,Temp_AccountID_20180627_2,BASE TABLE
GlobalAccount,dbo,tmp_e20170906_point,BASE TABLE
GlobalAccount,dbo,MapleFeed_FacebookAccount,BASE TABLE
GlobalAccount,dbo,FreeCashItem,BASE TABLE
GlobalAccount,dbo,tmp_e20170906_point_1,BASE TABLE
GlobalAccount,dbo,DeletedCharacterLog,BASE TABLE
GlobalAccount,dbo,NexonMembershipEmail,BASE TABLE
GlobalAccount,dbo,IntegratedIncRate,BASE TABLE
GlobalAccount,dbo,LiveValueInt,BASE TABLE
GlobalAccount,dbo,MachineBlackList,BASE TABLE
GlobalAccount,dbo,Temp_AccountID_Turn_20180716,BASE TABLE
GlobalAccount,dbo,Reward_User,BASE TABLE
GlobalAccount,dbo,PrizeEvent,BASE TABLE
GlobalAccount,dbo,HyperTeleport_EVENT,BASE TABLE
GlobalAccount,dbo,LiveValueString,BASE TABLE
GlobalAccount,dbo,CharacterBurningInfo,BASE TABLE
GlobalAccount,dbo,BlockCountIdentitySN,BASE TABLE
GlobalAccount,dbo,PrizeEventWinner,BASE TABLE
GlobalAccount,dbo,Temp_20150729_New_Miku_Event,BASE TABLE
GlobalAccount,dbo,20160803_GA_Reward,BASE TABLE
GlobalAccount,dbo,MapleFeed_TwitterAccount,BASE TABLE
GlobalAccount,dbo,MachineBlackListUpdateInfo,BASE TABLE
GlobalAccount,dbo,NexonMembershipIdentitySN,BASE TABLE
GlobalAccount,dbo,tmp_e20160804_point,BASE TABLE
GlobalAccount,dbo,BlockCountIdentitySNLog,BASE TABLE
GlobalAccount,dbo,CharacterNameEvent,BASE TABLE
GlobalAccount,dbo,temp_UserLoginCount_20160831,BASE TABLE
GlobalAccount,dbo,temp_20170118_Reward_Bug,BASE TABLE
GlobalAccount,dbo,ReservedDeleteCharacter,BASE TABLE
GlobalAccount,dbo,LiveValueSet,BASE TABLE
GlobalAccount,dbo,tmp_e20160804_point_1,BASE TABLE
GlobalAccount,dbo,MaplePointIncLog_Back_20170118,BASE TABLE
GlobalAccount,dbo,tmp_e20180227,BASE TABLE
GlobalAccount,dbo,TW_AnaliziesSource,BASE TABLE
GlobalAccount,dbo,tmp_e20180227_1,BASE TABLE
GlobalAccount,dbo,Temp_GameWorld00_20180627,BASE TABLE
GlobalAccount,dbo,CharacterWTSS,BASE TABLE
GlobalAccount,dbo,TW_AnaliziesTarget,BASE TABLE
GlobalAccount,dbo,SkillAttackControl,BASE TABLE
GlobalAccount,dbo,SlideNotice,BASE TABLE
GlobalAccount,dbo,MaplePoint,BASE TABLE
GlobalAccount,dbo,newaccount,BASE TABLE
GlobalAccount,dbo,Temp_GameWorld01_20180627,BASE TABLE
GlobalAccount,dbo,tempMergeIndexTableID_GW09_10_22,BASE TABLE
GlobalAccount,dbo,usercounttmp1,BASE TABLE
GlobalAccount,dbo,t,BASE TABLE
GlobalAccount,dbo,HappyDay_GlobalGift,BASE TABLE
GlobalAccount,dbo,LatestLogoutCharacter,BASE TABLE
GlobalAccount,dbo,tempMergeCharacterID_GW09_10_22,BASE TABLE
GlobalAccount,dbo,IIR_LimitedMapList,BASE TABLE
GlobalAccount,dbo,Temp_GameWorld02_20180627,BASE TABLE
GlobalAccount,dbo,MoneyStat,BASE TABLE
GlobalAccount,dbo,NGSMachineIDBlockList,BASE TABLE
GlobalAccount,dbo,memo_bolt,BASE TABLE
GlobalAccount,dbo,Temp_GameWorld03_20180627,BASE TABLE
GlobalAccount,dbo,ProcessHashList,BASE TABLE
GlobalAccount,dbo,DeleteMileagePurchaseRecordLog,BASE TABLE
GlobalAccount,dbo,temp_reward_happyday_list,BASE TABLE
GlobalAccount,dbo,temp_20191030_GA_Reward_Crash,BASE TABLE
GlobalAccount,dbo,temp_20151111_halloween_list,BASE TABLE
GlobalAccount,dbo,tmp_e20150819_point,BASE TABLE
GlobalAccount,dbo,temp_20170118_Reward_VPatch,BASE TABLE
GlobalAccount,dbo,temp_reward_happyday_list2,BASE TABLE
GlobalAccount,dbo,temp_20191023_GA_Reward_Name,BASE TABLE
GlobalAccount,dbo,IPCheck,BASE TABLE
GlobalAccount,dbo,tmp_e20150819_point_1,BASE TABLE
GlobalAccount,dbo,temp_20170208_GA_Reward_Burning,BASE TABLE
GlobalAccount,dbo,ProcessNameList,BASE TABLE
GlobalAccount,dbo,character_tmp_20170316,BASE TABLE
GlobalAccount,dbo,OTPSetLogNew2,BASE TABLE
GlobalAccount,dbo,Temp_GameWorld04_20180627,BASE TABLE
GlobalAccount,dbo,MastersRoadNpcRecord,BASE TABLE
GlobalAccount,dbo,CharacterRename,BASE TABLE
GlobalAccount,dbo,EscapedUser_201311,BASE TABLE
GlobalAccount,dbo,Temp_GameWorld06_20180627,BASE TABLE
GlobalAccount,dbo,Coupon_List,BASE TABLE
GlobalAccount,dbo,UserStat,BASE TABLE
GlobalAccount,dbo,MacroDetectBlockLog,BASE TABLE
