TABLE_CATALOG,TABLE_SCHEMA,TABLE_NAME,COLUMN_NAME,ORDINAL_POSITION,COLUMN_DEFAULT,IS_NULLABLE,DATA_TYPE,CHARACTER_MAXIMUM_LENGTH,CHARACTER_OCTET_LENGTH,NUMERIC_PRECISION,NUMERIC_PRECISION_RADIX,NUMERIC_SCALE,DATETIME_PRECISION,CHARACTER_SET_CATALOG,CHARACTER_SET_SCHEMA,CHARACTER_SET_NAME,COLLATION_CATALOG,COLLATION_SCHEMA,COLLATION_NAME,DOMAIN_CATALOG,DOMAIN_SCHEMA,DOMAIN_NAME
GlobalAccount,dbo,tmp_e20171031,AccountID,1,,YES,varchar,20,20,,,,,,,cp950,,,Chinese_Taiwan_Stroke_CI_AS,,,
GlobalAccount,dbo,tmp_e20171031,Price,2,,YES,int,,,10,10,0,,,,,,,,,,
GlobalAccount,dbo,VIPAccount,SN,1,,NO,int,,,10,10,0,,,,,,,,,,
GlobalAccount,dbo,VIPAccount,AccountID,2,,NO,int,,,10,10,0,,,,,,,,,,
GlobalAccount,dbo,VIPAccount,Grade,3,,NO,tinyint,,,3,10,0,,,,,,,,,,
GlobalAccount,dbo,VIPAccount,StartMonth,4,,NO,int,,,10,10,0,,,,,,,,,,
GlobalAccount,dbo,temp_october_login_event,email,1,,YES,varchar,-1,-1,,,,,,,cp950,,,Chinese_Taiwan_Stroke_CI_AS,,,
GlobalAccount,dbo,temp_october_login_event,over1hour,2,,YES,int,,,10,10,0,,,,,,,,,,
GlobalAccount,dbo,temp_october_login_event,logindays,3,,YES,int,,,10,10,0,,,,,,,,,,
GlobalAccount,dbo,temp_GA_Reward_CharacterCard,Email,1,,YES,varchar,-1,-1,,,,,,,cp950,,,Chinese_Taiwan_Stroke_CI_AS,,,
GlobalAccount,dbo,temp_GA_Reward_CharacterCard,WID,2,,YES,int,,,10,10,0,,,,,,,,,,
GlobalAccount,dbo,MonsterBattleRank,AccountID,1,,NO,int,,,10,10,0,,,,,,,,,,
GlobalAccount,dbo,MonsterBattleRank,WorldID,2,,NO,int,,,10,10,0,,,,,,,,,,
GlobalAccount,dbo,MonsterBattleRank,CharacterID,3,,NO,int,,,10,10,0,,,,,,,,,,
GlobalAccount,dbo,MonsterBattleRank,Point,4,,NO,int,,,10,10,0,,,,,,,,,,
GlobalAccount,dbo,MonsterBattleRank,Name,5,,NO,varchar,12,12,,,,,,,cp950,,,Chinese_Taiwan_Stroke_CI_AS,,,
GlobalAccount,dbo,MonsterBattleRank,MobID1,6,,NO,int,,,10,10,0,,,,,,,,,,
GlobalAccount,dbo,MonsterBattleRank,MobID2,7,,NO,int,,,10,10,0,,,,,,,,,,
GlobalAccount,dbo,MonsterBattleRank,MobID3,8,,NO,int,,,10,10,0,,,,,,,,,,
GlobalAccount,dbo,MonsterBattleRank,RegistDate,9,,NO,datetime,,,,,,3,,,,,,,,,
GlobalAccount,dbo,Temp,accountid,1,,NO,int,,,10,10,0,,,,,,,,,,
GlobalAccount,dbo,Temp,questid,2,,NO,int,,,10,10,0,,,,,,,,,,
GlobalAccount,dbo,Temp,record,3,,NO,varchar,255,255,,,,,,,cp950,,,Chinese_Taiwan_Stroke_CI_AS,,,
GlobalAccount,dbo,AccountBlockReasonDesc,BlockReason,1,,NO,tinyint,,,3,10,0,,,,,,,,,,
GlobalAccount,dbo,AccountBlockReasonDesc,Description,2,,NO,varchar,32,32,,,,,,,cp950,,,Chinese_Taiwan_Stroke_CI_AS,,,
