type,layers,gamename,startdate,enddate,parenthivedb,parentdbname,parenttablename,parentcolumnname,orihivedb,oridbname,oritablename,oricolumnname,hivedb,dbname,tablename,columnname,logstartdate,logenddate,dtbeforeday,dtafterday,logfilename,log,sql,memo,memo2
all,1,tdn,2020-01-16,,,,,,all,dnmembership,ablecroniclecharacters,,extract,dnmembership,ablecroniclecharacters,,,,,,,,,__(無說明)(小於1M),
all,1,tdn,2020-01-16,,,,,,all,dnmembership,accountauthenticationdelqueue,,extract,dnmembership,accountauthenticationdelqueue,,,,,,,,,帳號截除認證順序(小於1M),
all,1,tdn,2020-01-16,,,,,,all,dnmembership,accountconnectnoticequeue,,extract,dnmembership,accountconnectnoticequeue,,,,,,,,,__(無說明)(大於1M),
all,1,tdn,2020-01-16,,,,,,all,dnmembership,accounteffects,,extract,dnmembership,accounteffects,,,,,,,,,帳號單位套用效果(小於1M),
all,1,tdn,2020-01-16,,,,,,all,dnmembership,accountlocklogs,,extract,dnmembership,accountlocklogs,,,,,,,,,帳號鎖定Log(無資料),
all,1,tdn,2020-01-16,,,,,,all,dnmembership,accountperiodicreset,,extract,dnmembership,accountperiodicreset,,,,,,,,,__(無說明)(大於1M),
all,1,tdn,2020-01-16,,,,,,all,dnmembership,banofsale,,extract,dnmembership,banofsale,,,,,,,,,禁止販售商品(小於1M),
all,1,tdn,2020-01-16,,,,,,all,dnmembership,blockedipexceptions,,extract,dnmembership,blockedipexceptions,,,,,,,,,封鎖例外代替IP(無資料),
all,1,tdn,2020-01-16,,,,,,all,dnmembership,blockedips,,extract,dnmembership,blockedips,,,,,,,,,封鎖代替IP(小於1M),
all,1,tdn,2020-01-16,,,,,,all,dnmembership,canceledrestraints,,extract,dnmembership,canceledrestraints,,,,,,,,,最小制裁(小於1M),
all,1,tdn,2020-01-16,,,,,,all,dnmembership,characterdeleterevivelogs,,extract,dnmembership,characterdeleterevivelogs,,,,,,,,,角色刪除/復活Log(大於1M),
all,1,tdn,2020-01-16,,,,,,all,dnmembership,characternamechangelogs,,extract,dnmembership,characternamechangelogs,,,,,,,,,角色名字變更履歷(小於1M),
