TABLE_CATALOG,TABLE_SCHEMA,TABLE_NAME,COLUMN_NAME,ORDINAL_POSITION,COLUMN_DEFAULT,IS_NULLABLE,DATA_TYPE,CHARACTER_MAXIMUM_LENGTH,CHARACTER_OCTET_LENGTH,NUMERIC_PRECISION,NUMERIC_PRECISION_RADIX,NUMERIC_SCALE,DATETIME_PRECISION,CHARACTER_SET_CATALOG,CHARACTER_SET_SCHEMA,CHARACTER_SET_NAME,COLLATION_CATALOG,COLLATION_SCHEMA,COLLATION_NAME,DOMAIN_CATALOG,DOMAIN_SCHEMA,DOMAIN_NAME
DNMembership,dbo,ErrorLogs,errorLogSN,1,,NO,bigint,,,19.0,10.0,0.0,,,,,,,,,,
DNMembership,dbo,ErrorLogs,loginName,2,,NO,nvarchar,128.0,256.0,,,,,,,UNICODE,,,SQL_Latin1_General_CP1_CI_AS,,,
DNMembership,dbo,ErrorLogs,hostName,3,,NO,nvarchar,128.0,256.0,,,,,,,UNICODE,,,SQL_Latin1_General_CP1_CI_AS,,,
DNMembership,dbo,ErrorLogs,errorNumber,4,,NO,int,,,10.0,10.0,0.0,,,,,,,,,,
DNMembership,dbo,ErrorLogs,errorSeverity,5,,YES,int,,,10.0,10.0,0.0,,,,,,,,,,
DNMembership,dbo,ErrorLogs,errorState,6,,YES,int,,,10.0,10.0,0.0,,,,,,,,,,
DNMembership,dbo,ErrorLogs,errorProcedure,7,,YES,nvarchar,128.0,256.0,,,,,,,UNICODE,,,SQL_Latin1_General_CP1_CI_AS,,,
DNMembership,dbo,ErrorLogs,errorLine,8,,YES,int,,,10.0,10.0,0.0,,,,,,,,,,
DNMembership,dbo,ErrorLogs,errorMessage,9,,NO,nvarchar,-1.0,-1.0,,,,,,,UNICODE,,,SQL_Latin1_General_CP1_CI_AS,,,
DNMembership,dbo,ErrorLogs,occurredDate,10,,NO,datetime,,,,,,3.0,,,,,,,,,
DNMembership,dbo,PurchaseOrderDetails,PurchaseOrderDetailID,1,,NO,bigint,,,19.0,10.0,0.0,,,,,,,,,,
DNMembership,dbo,PurchaseOrderDetails,PurchaseOrderID,2,,NO,bigint,,,19.0,10.0,0.0,,,,,,,,,,
DNMembership,dbo,PurchaseOrderDetails,ProductID,3,,NO,int,,,10.0,10.0,0.0,,,,,,,,,,
DNMembership,dbo,PurchaseOrderDetails,ListPrice,4,,NO,int,,,10.0,10.0,0.0,,,,,,,,,,
DNMembership,dbo,PurchaseOrderDetails,RefundFlag,5,((0)),NO,bit,,,,,,,,,,,,,,,
DNMembership,dbo,PurchaseOrderDetails,RefundDate,6,,YES,datetime2,,,,,,0.0,,,,,,,,,
DNMembership,dbo,PurchaseOrderDetails,RefundableFlag,7,((0)),NO,bit,,,,,,,,,,,,,,,
DNMembership,dbo,AccountPeriodicReset,AccountID,1,,NO,int,,,10.0,10.0,0.0,,,,,,,,,,
DNMembership,dbo,AccountPeriodicReset,WorldID,2,,NO,int,,,10.0,10.0,0.0,,,,,,,,,,
DNMembership,dbo,AccountPeriodicReset,AccountPeriodicResetCode,3,,NO,tinyint,,,3.0,10.0,0.0,,,,,,,,,,
DNMembership,dbo,AccountPeriodicReset,AccountPeriodicResetValue,4,,NO,bigint,,,19.0,10.0,0.0,,,,,,,,,,
DNMembership,dbo,AccountPeriodicReset,LastModifyDate,5,,NO,smalldatetime,,,,,,0.0,,,,,,,,,
DNMembership,dbo,TableAuditLogs,tableAuditLogSN,1,,NO,bigint,,,19.0,10.0,0.0,,,,,,,,,,
DNMembership,dbo,TableAuditLogs,tableName,2,,NO,nvarchar,128.0,256.0,,,,,,,UNICODE,,,SQL_Latin1_General_CP1_CI_AS,,,
DNMembership,dbo,TableAuditLogs,operationCode,3,,NO,tinyint,,,3.0,10.0,0.0,,,,,,,,,,
DNMembership,dbo,TableAuditLogs,columnNames,4,,NO,nvarchar,-1.0,-1.0,,,,,,,UNICODE,,,SQL_Latin1_General_CP1_CI_AS,,,
DNMembership,dbo,TableAuditLogs,beforeImages,5,,NO,nvarchar,-1.0,-1.0,,,,,,,UNICODE,,,SQL_Latin1_General_CP1_CI_AS,,,
DNMembership,dbo,TableAuditLogs,modifier,6,,NO,nvarchar,50.0,100.0,,,,,,,UNICODE,,,SQL_Latin1_General_CP1_CI_AS,,,
DNMembership,dbo,TableAuditLogs,occurredDate,7,,NO,datetime,,,,,,3.0,,,,,,,,,
DNMembership,dbo,SelectedItems,SelectedItemID,1,,NO,bigint,,,19.0,10.0,0.0,,,,,,,,,,
DNMembership,dbo,SelectedItems,PurchaseOrderDetailID,2,,NO,bigint,,,19.0,10.0,0.0,,,,,,,,,,
DNMembership,dbo,SelectedItems,ItemID,3,,NO,int,,,10.0,10.0,0.0,,,,,,,,,,
DNMembership,dbo,SelectedItems,GiveFailFlag,4,((0)),NO,bit,,,,,,,,,,,,,,,
DNMembership,dbo,SelectedItems,ItemOption,5,,YES,tinyint,,,3.0,10.0,0.0,,,,,,,,,,
DNMembership,dbo,AccountEffects,AccountID,1,,NO,int,,,10.0,10.0,0.0,,,,,,,,,,
DNMembership,dbo,AccountEffects,EffectID,2,,NO,int,,,10.0,10.0,0.0,,,,,,,,,,
DNMembership,dbo,AccountEffects,ExpireDate,3,,YES,datetime2,,,,,,7.0,,,,,,,,,
DNMembership,dbo,EventConditionForPetal,EventConditionID,1,,NO,int,,,10.0,10.0,0.0,,,,,,,,,,
DNMembership,dbo,EventConditionForPetal,RegisterDate,2,(getdate()),NO,datetime2,,,,,,0.0,,,,,,,,,
DNMembership,dbo,EventConditionForPetal,FirstPetalAmount,3,,YES,int,,,10.0,10.0,0.0,,,,,,,,,,
DNMembership,dbo,EventConditionForPetal,PetalIncomeCountLimit,4,,YES,int,,,10.0,10.0,0.0,,,,,,,,,,
DNMembership,dbo,EventConditionForPetal,ConsecutionBonusCount,5,,YES,int,,,10.0,10.0,0.0,,,,,,,,,,
DNMembership,dbo,EventConditionForPetal,ConsecutionBonusPetalAmount,6,,YES,int,,,10.0,10.0,0.0,,,,,,,,,,
DNMembership,dbo,VIX_EventScheduleDetailForPetal,AccountID,1,,NO,int,,,10.0,10.0,0.0,,,,,,,,,,
DNMembership,dbo,VIX_EventScheduleDetailForPetal,EventConditionID,2,,YES,int,,,10.0,10.0,0.0,,,,,,,,,,
DNMembership,dbo,VIX_EventScheduleDetailForPetal,Cnt,3,,YES,bigint,,,19.0,10.0,0.0,,,,,,,,,,
DNMembership,dbo,SecondAuthLogs,LogDate,1,,NO,datetime2,,,,,,0.0,,,,,,,,,
