schemaname,tablename,columnname,datatype,rowcounts,totalspaceb
dbo,CouponKeys,CouponID,int,22728092,6040879104
dbo,CouponKeys,CouponInProductID,int,22728092,6040879104
dbo,CouponKeys,CouponKey,nvarchar,22728092,6040879104
dbo,CouponKeys,DeleteFlag,bit,22728092,6040879104
dbo,CouponKeys,UsedAccountID,int,22728092,6040879104
dbo,CouponKeys,UsedCharacterID,bigint,22728092,6040879104
dbo,CouponKeys,UsedDate,datetime2,22728092,6040879104
dbo,CouponKeys,UsedFlag,bit,22728092,6040879104
dbo,Accounts,AccountID,int,1163626,1197522944
dbo,Accounts,AccountKey,bigint,1163626,1197522944
dbo,Accounts,AccountLevelCode,tinyint,1163626,1197522944
dbo,Accounts,AccountName,nvarchar,1163626,1197522944
dbo,Accounts,BirthDate,date,1163626,1197522944
dbo,Accounts,ChannelPartnerCode,tinyint,1163626,1197522944
dbo,Accounts,CharacterCreateLimit,tinyint,1163626,1197522944
dbo,Accounts,CharacterMaxCount,tinyint,1163626,1197522944
dbo,Accounts,CharacterSortCode,tinyint,1163626,1197522944
dbo,Accounts,ConnectNoticeFlag,bit,1163626,1197522944
dbo,Accounts,GameOption,binary,1163626,1197522944
dbo,Accounts,GamePadOption,binary,1163626,1197522944
dbo,Accounts,GenderCode,tinyint,1163626,1197522944
dbo,Accounts,JoinIP,int,1163626,1197522944
dbo,Accounts,KeySettingOption,binary,1163626,1197522944
dbo,Accounts,LastCharacterCreateDate,date,1163626,1197522944
dbo,Accounts,LastLoginDate,datetime2,1163626,1197522944
dbo,Accounts,LastLoginIP,int,1163626,1197522944
dbo,Accounts,LastLogoutDate,datetime2,1163626,1197522944
dbo,Accounts,LastSecondAuthNotifyDate,date,1163626,1197522944
dbo,Accounts,LastSessionID,int,1163626,1197522944
dbo,Accounts,LockFlag,bit,1163626,1197522944
dbo,Accounts,NationalityCode,tinyint,1163626,1197522944
dbo,Accounts,NewbieRewardDate,datetime2,1163626,1197522944
dbo,Accounts,NewbieRewardFlag,bit,1163626,1197522944
dbo,Accounts,Passphrase,binary,1163626,1197522944
dbo,Accounts,PublisherCode,tinyint,1163626,1197522944
dbo,Accounts,RegisterDate,datetime2,1163626,1197522944
dbo,Accounts,ReturnRewardFlag,bit,1163626,1197522944
dbo,Accounts,SecondAuthCode,tinyint,1163626,1197522944
dbo,Accounts,SecondAuthFailCount,tinyint,1163626,1197522944
dbo,Accounts,SecondAuthLockFlag,bit,1163626,1197522944
dbo,Accounts,SecondAuthPassphrase,binary,1163626,1197522944
dbo,Accounts,SecondAuthResetDate,smalldatetime,1163626,1197522944
dbo,Accounts,TotalDT,int,1163626,1197522944
dbo,PurchaseOrders,CharacterID,bigint,5731069,1129766912
dbo,PurchaseOrders,ContextKey,varchar,5731069,1129766912
dbo,PurchaseOrders,CouponKey,nvarchar,5731069,1129766912
dbo,PurchaseOrders,GiftExpireDate,smalldatetime,5731069,1129766912
dbo,PurchaseOrders,GiftFlag,bit,5731069,1129766912
dbo,PurchaseOrders,GiftMemo,nvarchar,5731069,1129766912
dbo,PurchaseOrders,GiftReceiveDate,datetime2,5731069,1129766912
dbo,PurchaseOrders,GiftReceiveFlag,bit,5731069,1129766912
dbo,PurchaseOrders,GiftRejectDate,datetime2,5731069,1129766912
dbo,PurchaseOrders,GiftRejectFlag,bit,5731069,1129766912
dbo,PurchaseOrders,GiftSenderName,nvarchar,5731069,1129766912
dbo,PurchaseOrders,IP,int,5731069,1129766912
dbo,PurchaseOrders,NewFlag,bit,5731069,1129766912
dbo,PurchaseOrders,OrderDate,datetime2,5731069,1129766912
dbo,PurchaseOrders,OrderKey,varchar,5731069,1129766912
dbo,PurchaseOrders,OrderResult,int,5731069,1129766912
dbo,PurchaseOrders,OrderRollbackResult,int,5731069,1129766912
