TABLE_CATALOG,TABLE_SCHEMA,TABLE_NAME,COLUMN_NAME,ORDINAL_POSITION,COLUMN_DEFAULT,IS_NULLABLE,DATA_TYPE,CHARACTER_MAXIMUM_LENGTH,CHARACTER_OCTET_LENGTH,NUMERIC_PRECISION,NUMERIC_PRECISION_RADIX,NUMERIC_SCALE,DATETIME_PRECISION,CHARACTER_SET_CATALOG,CHARACTER_SET_SCHEMA,CHARACTER_SET_NAME,COLLATION_CATALOG,COLLATION_SCHEMA,COLLATION_NAME,DOMAIN_CATALOG,DOMAIN_SCHEMA,DOMAIN_NAME
DNStaging,dbo,FieldLogs,LogDate,1,,NO,datetime,,,,,,3.0,,,,,,,,,
DNStaging,dbo,FieldLogs,FarmID,2,,NO,int,,,10.0,10.0,0.0,,,,,,,,,,
DNStaging,dbo,FieldLogs,FieldIndex,3,,NO,smallint,,,5.0,10.0,0.0,,,,,,,,,,
DNStaging,dbo,FieldLogs,CharacterID,4,,NO,bigint,,,19.0,10.0,0.0,,,,,,,,,,
DNStaging,dbo,FieldLogs,ItemID,5,,NO,int,,,10.0,10.0,0.0,,,,,,,,,,
DNStaging,dbo,FieldLogs,ElapsedTime,6,,NO,int,,,10.0,10.0,0.0,,,,,,,,,,
DNStaging,dbo,ST_DailySalesByCharacterProduct,BasisDate,1,,NO,date,,,,,,0.0,,,,,,,,,
DNStaging,dbo,ST_DailySalesByCharacterProduct,ProductID,2,,NO,int,,,10.0,10.0,0.0,,,,,,,,,,
DNStaging,dbo,ST_DailySalesByCharacterProduct,WorldID,3,,NO,int,,,10.0,10.0,0.0,,,,,,,,,,
DNStaging,dbo,ST_DailySalesByCharacterProduct,JobCode,4,,NO,tinyint,,,3.0,10.0,0.0,,,,,,,,,,
DNStaging,dbo,ST_DailySalesByCharacterProduct,CharacterLevel,5,,NO,tinyint,,,3.0,10.0,0.0,,,,,,,,,,
DNStaging,dbo,ST_DailySalesByCharacterProduct,PayMethodCode,6,,NO,tinyint,,,3.0,10.0,0.0,,,,,,,,,,
DNStaging,dbo,ST_DailySalesByCharacterProduct,PetalIncomeCode,7,,NO,tinyint,,,3.0,10.0,0.0,,,,,,,,,,
DNStaging,dbo,ST_DailySalesByCharacterProduct,UniqueCharacterCount,8,,NO,int,,,10.0,10.0,0.0,,,,,,,,,,
DNStaging,dbo,ST_DailySalesByCharacterProduct,SaleCount,9,,NO,int,,,10.0,10.0,0.0,,,,,,,,,,
DNStaging,dbo,ST_DailySalesByCharacterProduct,SaleAmount,10,,NO,int,,,10.0,10.0,0.0,,,,,,,,,,
DNStaging,dbo,ST_DailySalesByCharacterProduct,NationalityCode,11,,YES,tinyint,,,3.0,10.0,0.0,,,,,,,,,,
DNStaging,dbo,ST_DailySalesByCharacterProduct,UniqueAccountCount,12,,YES,int,,,10.0,10.0,0.0,,,,,,,,,,
DNStaging,dbo,ST_JobAndLevelType5,BasisDate,1,,NO,date,,,,,,0.0,,,,,,,,,
DNStaging,dbo,ST_JobAndLevelType5,WorldID,2,,NO,int,,,10.0,10.0,0.0,,,,,,,,,,
DNStaging,dbo,ST_JobAndLevelType5,JobCode,3,,NO,tinyint,,,3.0,10.0,0.0,,,,,,,,,,
DNStaging,dbo,ST_JobAndLevelType5,CharacterLevel,4,,NO,tinyint,,,3.0,10.0,0.0,,,,,,,,,,
DNStaging,dbo,ST_JobAndLevelType5,CharacterCount,5,,NO,int,,,10.0,10.0,0.0,,,,,,,,,,
DNStaging,dbo,PetalOutgo,PetalOutgoID,1,,NO,int,,,10.0,10.0,0.0,,,,,,,,,,
DNStaging,dbo,PetalOutgo,PetalIncomeID,2,,NO,bigint,,,19.0,10.0,0.0,,,,,,,,,,
DNStaging,dbo,PetalOutgo,PetalOutgoCode,3,,NO,tinyint,,,3.0,10.0,0.0,,,,,,,,,,
DNStaging,dbo,PetalOutgo,PurchaseOrderID,4,,YES,bigint,,,19.0,10.0,0.0,,,,,,,,,,
DNStaging,dbo,PetalOutgo,PetalAmount,5,,NO,int,,,10.0,10.0,0.0,,,,,,,,,,
DNStaging,dbo,PetalOutgo,OutgoDate,6,,NO,datetime2,,,,,,0.0,,,,,,,,,
DNStaging,dbo,PetalOutgo,PetalOutgoFKey,7,,YES,bigint,,,19.0,10.0,0.0,,,,,,,,,,
DNStaging,dbo,PointLogs,LogDate,1,,NO,datetime2,,,,,,0.0,,,,,,,,,
DNStaging,dbo,PointLogs,CharacterID,2,,NO,bigint,,,19.0,10.0,0.0,,,,,,,,,,
DNStaging,dbo,PointLogs,PointCode,3,,NO,tinyint,,,3.0,10.0,0.0,,,,,,,,,,
DNStaging,dbo,PointLogs,PointBefore,4,,NO,bigint,,,19.0,10.0,0.0,,,,,,,,,,
DNStaging,dbo,PointLogs,PointAfter,5,,NO,bigint,,,19.0,10.0,0.0,,,,,,,,,,
DNStaging,dbo,PointLogs,MapID,6,,NO,int,,,10.0,10.0,0.0,,,,,,,,,,
DNStaging,dbo,PointLogs,IP,7,,NO,int,,,10.0,10.0,0.0,,,,,,,,,,
DNStaging,dbo,PointLogs,PointLogCode,8,,YES,tinyint,,,3.0,10.0,0.0,,,,,,,,,,
DNStaging,dbo,ErrorLogs,errorLogSN,1,,NO,bigint,,,19.0,10.0,0.0,,,,,,,,,,
DNStaging,dbo,ErrorLogs,loginName,2,,NO,nvarchar,128.0,256.0,,,,,,,UNICODE,,,SQL_Latin1_General_CP1_CI_AS,,,
DNStaging,dbo,ErrorLogs,hostName,3,,NO,nvarchar,128.0,256.0,,,,,,,UNICODE,,,SQL_Latin1_General_CP1_CI_AS,,,
DNStaging,dbo,ErrorLogs,errorNumber,4,,NO,int,,,10.0,10.0,0.0,,,,,,,,,,
DNStaging,dbo,ErrorLogs,errorSeverity,5,,YES,int,,,10.0,10.0,0.0,,,,,,,,,,
DNStaging,dbo,ErrorLogs,errorState,6,,YES,int,,,10.0,10.0,0.0,,,,,,,,,,
DNStaging,dbo,ErrorLogs,errorProcedure,7,,YES,nvarchar,128.0,256.0,,,,,,,UNICODE,,,SQL_Latin1_General_CP1_CI_AS,,,
DNStaging,dbo,ErrorLogs,errorLine,8,,YES,int,,,10.0,10.0,0.0,,,,,,,,,,
DNStaging,dbo,ErrorLogs,errorMessage,9,,NO,nvarchar,-1.0,-1.0,,,,,,,UNICODE,,,SQL_Latin1_General_CP1_CI_AS,,,
DNStaging,dbo,ErrorLogs,occurredDate,10,,NO,datetime,,,,,,3.0,,,,,,,,,
DNStaging,dbo,ST_DailyLevelSurvival,BasisDate,1,,NO,date,,,,,,0.0,,,,,,,,,
DNStaging,dbo,ST_DailyLevelSurvival,CharacterLevel,2,,NO,tinyint,,,3.0,10.0,0.0,,,,,,,,,,
DNStaging,dbo,ST_DailyLevelSurvival,CreateMonth,3,,NO,date,,,,,,0.0,,,,,,,,,
DNStaging,dbo,ST_DailyLevelSurvival,RU,4,,NO,int,,,10.0,10.0,0.0,,,,,,,,,,
DNStaging,dbo,ST_DailyLevelSurvival,UVDay,5,,NO,int,,,10.0,10.0,0.0,,,,,,,,,,
DNStaging,dbo,ST_DailyLevelSurvival,UVMonth,6,,NO,int,,,10.0,10.0,0.0,,,,,,,,,,
DNStaging,dbo,ST_DailyLevelSurvival,UVWeek,7,,NO,int,,,10.0,10.0,0.0,,,,,,,,,,
DNStaging,dbo,ST_DailyLevelSurvival,RevisitCount,8,,YES,int,,,10.0,10.0,0.0,,,,,,,,,,
DNStaging,dbo,ST_DailyLevelSurvival,NationalityCode,9,,YES,tinyint,,,3.0,10.0,0.0,,,,,,,,,,
DNStaging,dbo,ST_WeeklyRevisit,AccountRegisterDate,1,,NO,date,,,,,,0.0,,,,,,,,,
DNStaging,dbo,ST_WeeklyRevisit,BasisDate,2,,NO,date,,,,,,0.0,,,,,,,,,
DNStaging,dbo,ST_WeeklyRevisit,RevisitCount,3,,NO,int,,,10.0,10.0,0.0,,,,,,,,,,
DNStaging,dbo,ST_WeeklyRevisit,RevisitRatio,4,,NO,decimal,,,9.0,10.0,6.0,,,,,,,,,,
DNStaging,dbo,ST_WeeklyRevisit,NationalityCode,5,,YES,tinyint,,,3.0,10.0,0.0,,,,,,,,,,
DNStaging,dbo,FriendsBuffer,CharacterID,1,,NO,bigint,,,19.0,10.0,0.0,,,,,,,,,,
