type,layers,gamename,startdate,enddate,parenthivedb,parentdbname,parenttablename,parentcolumnname,orihivedb,oridbname,oritablename,oricolumnname,hivedb,dbname,tablename,columnname,logstartdate,logenddate,logfilename,log,sql,memo,memo2
all,1,tdn,2020-01-16,,,,,,all,DNStaging,AchieveMissionsBuffer,,extract,DNStaging,AchieveMissionsBuffer,,,,,,,達成成就同步作業Table,
all,1,tdn,2020-01-16,,,,,,all,DNStaging,AppellationsBuffer,,extract,DNStaging,AppellationsBuffer,,,,,,,稱號同步作業Table,
all,1,tdn,2020-01-16,,,,,,all,DNStaging,CharactersBuffer,,extract,DNStaging,CharactersBuffer,,,,,,,ETL用為了儲存為了儲存角色資訊,
all,1,tdn,2020-01-16,,,,,,all,DNStaging,CodeKinds,,extract,DNStaging,CodeKinds,,,,,,,號碼種類定義,
all,1,tdn,2020-01-16,,,,,,all,DNStaging,Codes,,extract,DNStaging,Codes,,,,,,,特定號碼種類裡的所屬個別號碼定義,
all,1,tdn,2020-01-16,,,,,,all,DNStaging,DailyCharacterStatus,,extract,DNStaging,DailyCharacterStatus,,,,,,,每日角色狀態,
all,1,tdn,2020-01-16,,,,,,all,DNStaging,DailyETLJobHistory,,extract,DNStaging,DailyETLJobHistory,,,,,,,SSIS-DailyETLJob時間紀錄,
all,1,tdn,2020-01-16,,,,,,all,DNStaging,DailyMarketPrices,,extract,DNStaging,DailyMarketPrices,,,,,,,以日計算交易所時勢,
all,1,tdn,2020-01-16,,,,,,all,DNStaging,DailyPVPLadderKillDeathByJob,,extract,DNStaging,DailyPVPLadderKillDeathByJob,,,,,,,PVP天梯裡相對職業類別殺人,
all,1,tdn,2020-01-16,,,,,,all,DNStaging,DailyPVPLadderScores,,extract,DNStaging,DailyPVPLadderScores,,,,,,,每日PVP天梯戰績,
all,1,tdn,2020-01-16,,,,,,all,DNStaging,DailyPVPLadderScoresByJob,,extract,DNStaging,DailyPVPLadderScoresByJob,,,,,,,__(無說明),
all,1,tdn,2020-01-16,,,,,,all,DNStaging,DailySnapshotErrorLog,,extract,DNStaging,DailySnapshotErrorLog,,,,,,,SSIS-DailySnapShot錯誤Log,
all,1,tdn,2020-01-16,,,,,,all,DNStaging,DailySnapshotHistory,,extract,DNStaging,DailySnapshotHistory,,,,,,,SSIS-DailySnapShot時間紀錄,
all,1,tdn,2020-01-16,,,,,,all,DNStaging,DailyUVAccounts,,extract,DNStaging,DailyUVAccounts,,,,,,,日UV,
all,1,tdn,2020-01-16,,,,,,all,DNStaging,DarkLairRank,,extract,DNStaging,DarkLairRank,,,,,,,暗黑空間累積排行,
all,1,tdn,2020-01-16,,,,,,all,DNStaging,DatabaseVersion,,extract,DNStaging,DatabaseVersion,,,,,,,__(位在列表),
all,1,tdn,2020-01-16,,,,,,all,DNStaging,DimAccounts,,extract,DNStaging,DimAccounts,,,,,,,登入帳號,
all,1,tdn,2020-01-16,,,,,,all,DNStaging,DimAppellations,,extract,DNStaging,DimAppellations,,,,,,,稱號,
all,1,tdn,2020-01-16,,,,,,all,DNStaging,DimCharacterAbilities,,extract,DNStaging,DimCharacterAbilities,,,,,,,角色能力值,
all,1,tdn,2020-01-16,,,,,,all,DNStaging,DimCharacters,,extract,DNStaging,DimCharacters,,,,,,,角色,
all,1,tdn,2020-01-16,,,,,,all,DNStaging,DimItems,,extract,DNStaging,DimItems,,,,,,,道具,
all,1,tdn,2020-01-16,,,,,,all,DNStaging,DimJobs,,extract,DNStaging,DimJobs,,,,,,,角色職業,
all,1,tdn,2020-01-16,,,,,,all,DNStaging,DimMaps,,extract,DNStaging,DimMaps,,,,,,,地圖,
all,1,tdn,2020-01-16,,,,,,all,DNStaging,DimMissions,,extract,DNStaging,DimMissions,,,,,,,成就,
all,1,tdn,2020-01-16,,,,,,all,DNStaging,DimProducts,,extract,DNStaging,DimProducts,,,,,,,商品,
all,1,tdn,2020-01-16,,,,,,all,DNStaging,DimQuests,,extract,DNStaging,DimQuests,,,,,,,任務,
all,1,tdn,2020-01-16,,,,,,all,DNStaging,DimRequestBoards,,extract,DNStaging,DimRequestBoards,,,,,,,委託告示板,
all,1,tdn,2020-01-16,,,,,,all,DNStaging,DimSkills,,extract,DNStaging,DimSkills,,,,,,,技能,
all,1,tdn,2020-01-16,,,,,,all,DNStaging,DimStages,,extract,DNStaging,DimStages,,,,,,,關卡,
all,1,tdn,2020-01-16,,,,,,all,DNStaging,DimWorlds,,extract,DNStaging,DimWorlds,,,,,,,世界伺服器,
all,1,tdn,2020-01-16,,,,,,all,DNStaging,ETLDataSources,,extract,DNStaging,ETLDataSources,,,,,,,ETL對象資料正本,
all,1,tdn,2020-01-16,,,,,,all,DNStaging,ETLLogs,,extract,DNStaging,ETLLogs,,,,,,,ETL,
all,1,tdn,2020-01-16,,,,,,all,DNStaging,ETLTransferLogs,,extract,DNStaging,ETLTransferLogs,,,,,,,__(無說明),
all,1,tdn,2020-01-16,,,,,,all,DNStaging,ErrorLogs,,extract,DNStaging,ErrorLogs,,,,,,,依據SP的TRYCATCH區域裡抓到的錯誤追蹤,
all,1,tdn,2020-01-16,,,,,,all,DNStaging,EventResults,,extract,DNStaging,EventResults,,,,,,,活動第一輪中獎者與最終中獎者,
