TABLE_CATALOG,TABLE_SCHEMA,TABLE_NAME,TABLE_TYPE
DNStaging,dbo,FieldLogs,BASE TABLE
DNStaging,dbo,ST_DailySalesByCharacterProduct,BASE TABLE
DNStaging,dbo,ST_JobAndLevelType5,BASE TABLE
DNStaging,dbo,PetalOutgo,BASE TABLE
DNStaging,dbo,PointLogs,BASE TABLE
DNStaging,dbo,ErrorLogs,BASE TABLE
DNStaging,dbo,ST_DailyLevelSurvival,BASE TABLE
DNStaging,dbo,ST_WeeklyRevisit,BASE TABLE
DNStaging,dbo,FriendsBuffer,BASE TABLE
DNStaging,dbo,ST_DailyMapStay,BASE TABLE
DNStaging,dbo,CharacterLoginLogs,BASE TABLE
DNStaging,dbo,ST_MonthlySalesAmountRange,BASE TABLE
DNStaging,dbo,PurchaseOrderDetails,BASE TABLE
DNStaging,dbo,ST_DailyStageEnd,BASE TABLE
DNStaging,dbo,TableAuditLogs,BASE TABLE
DNStaging,dbo,ST_MonthlySalesByCharacter,BASE TABLE
DNStaging,dbo,PurchaseOrders,BASE TABLE
DNStaging,dbo,RepetitionQuestCompleteLogs,BASE TABLE
DNStaging,dbo,ST_DailyTeacher1,BASE TABLE
DNStaging,dbo,ST_MonthlySalesByCharacterProduct,BASE TABLE
DNStaging,dbo,SelectedItems,BASE TABLE
DNStaging,dbo,ST_DailyTeacher2,BASE TABLE
DNStaging,dbo,ST_MonthlySalesByProduct,BASE TABLE
DNStaging,dbo,HiddenCashShopLogs,BASE TABLE
DNStaging,dbo,WorldPointRanking,BASE TABLE
DNStaging,dbo,ST_DailyPVP,BASE TABLE
DNStaging,dbo,DimMissions,BASE TABLE
DNStaging,dbo,DailyCharacterStatus,BASE TABLE
DNStaging,dbo,DailyPVPLadderScoresByJob,BASE TABLE
DNStaging,dbo,FieldDeleteLogs,BASE TABLE
DNStaging,dbo,CharacterLevelLogs,BASE TABLE
DNStaging,dbo,FieldAttachmentDeleteLogs,BASE TABLE
DNStaging,dbo,ST_DailyPVPLadder2,BASE TABLE
DNStaging,dbo,DailyPVPLadderScores,BASE TABLE
DNStaging,dbo,CodeKinds,BASE TABLE
DNStaging,dbo,MobileAuthenticationLogs,BASE TABLE
DNStaging,dbo,DailyPVPLadderKillDeathByJob,BASE TABLE
DNStaging,dbo,Codes,BASE TABLE
DNStaging,dbo,CashRebirthCoinLogs,BASE TABLE
DNStaging,dbo,BoardGamesLogs,BASE TABLE
DNStaging,dbo,CoinLogs,BASE TABLE
DNStaging,dbo,ST_DailyNewbieAfterMonthCharacterLevel,BASE TABLE
DNStaging,dbo,CUCountLogs,BASE TABLE
DNStaging,dbo,TempAccounts,BASE TABLE
DNStaging,dbo,DailySnapshotErrorLog,BASE TABLE
DNStaging,dbo,FatigueLogs,BASE TABLE
DNStaging,dbo,SecondAuthLogsBuffer,BASE TABLE
DNStaging,dbo,StageRewardLogs,BASE TABLE
DNStaging,dbo,SkillLogs,BASE TABLE
DNStaging,dbo,ST_MonthlyUV,BASE TABLE
DNStaging,dbo,FairyLevelLogs,BASE TABLE
DNStaging,dbo,ST_DailyGameMoney,BASE TABLE
DNStaging,dbo,ItemAttributeLogs,BASE TABLE
DNStaging,dbo,ProcedureExecStats,BASE TABLE
DNStaging,dbo,DimCharacterAbilities,BASE TABLE
DNStaging,dbo,SS_AchieveMissionCounts,BASE TABLE
DNStaging,dbo,IndexUsages,BASE TABLE
DNStaging,dbo,WeeklyRank_NestClearTime,BASE TABLE
DNStaging,dbo,StageDamageLogs,BASE TABLE
DNStaging,dbo,PastWeeklyRank_NestClearTime,BASE TABLE
DNStaging,dbo,SS_AchieveMissions,BASE TABLE
DNStaging,dbo,SS_AppellationCounts,BASE TABLE
DNStaging,dbo,ST_WeeklyStageEnd,BASE TABLE
DNStaging,dbo,ST_WeeklyUV,BASE TABLE
DNStaging,dbo,CollectionAlbumPieceLogs,BASE TABLE
DNStaging,dbo,AccountLogoutLogs,BASE TABLE
DNStaging,dbo,SS_Appellations,BASE TABLE
DNStaging,dbo,CharacterLogoutLogs,BASE TABLE
DNStaging,dbo,PotenBonusLogs,BASE TABLE
DNStaging,dbo,Mon_GameMoney1,BASE TABLE
DNStaging,dbo,ETLLogs,BASE TABLE
DNStaging,dbo,SS_PVPScores,BASE TABLE
DNStaging,dbo,PartyLogs,BASE TABLE
