TABLE_CATALOG,TABLE_SCHEMA,TABLE_NAME,TABLE_TYPE
DNStaging,dbo,ItemLogs_20190510,BASE TABLE
DNStaging,dbo,CharacterLoginLogs_20191028,BASE TABLE
DNStaging,dbo,MissionAchieveLogs_20191012,BASE TABLE
DNStaging,dbo,RequestBoardLogs_20200107,BASE TABLE
DNStaging,dbo,CUCountLogs_20131231,BASE TABLE
DNStaging,dbo,CashRebirthCoinLogs_20170202,BASE TABLE
DNStaging,dbo,MissionAchieveLogs_20191117,BASE TABLE
DNStaging,dbo,CUCountLogs_20131103,BASE TABLE
DNStaging,dbo,ItemLogs_20190806,BASE TABLE
DNStaging,dbo,StageEndLogs_20191125,BASE TABLE
DNStaging,dbo,SkillLogs_20191223,BASE TABLE
DNStaging,dbo,StageDamageLogs_20200114,BASE TABLE
DNStaging,dbo,PCRoomCharacterLogoutLogs_20200104,BASE TABLE
DNStaging,dbo,CharacterLoginLogs_20191216,BASE TABLE
DNStaging,dbo,MissionAchieveLogs_20191022,BASE TABLE
DNStaging,dbo,CUCountLogs_20170303,BASE TABLE
DNStaging,dbo,FieldLogs,BASE TABLE
DNStaging,dbo,QuestCompleteLogs_20190813,BASE TABLE
DNStaging,dbo,StageRewardLogs_20191220,BASE TABLE
DNStaging,dbo,TestETLLogs_20200111,BASE TABLE
DNStaging,dbo,CUCountLogs_20150725,BASE TABLE
DNStaging,dbo,MapStayLogs_20191106,BASE TABLE
DNStaging,dbo,MissionAchieveLogs_20191027,BASE TABLE
DNStaging,dbo,V_PromiseLogs,VIEW
DNStaging,dbo,CUCountLogs_20140405,BASE TABLE
DNStaging,dbo,FieldLogs_20191129,BASE TABLE
DNStaging,dbo,CharacterAwakenForceLevelLogs_20200101,BASE TABLE
DNStaging,dbo,StageRewardLogs_20191217,BASE TABLE
DNStaging,dbo,FieldAttachmentDeleteLogs_20191213,BASE TABLE
DNStaging,dbo,CUCountLogs_20170612,BASE TABLE
DNStaging,dbo,MapStayLogs_20191111,BASE TABLE
DNStaging,dbo,CUCountLogs_20160331,BASE TABLE
DNStaging,dbo,TestItemLogs_20200108,BASE TABLE
DNStaging,dbo,PointLogs_20191101,BASE TABLE
DNStaging,dbo,CashRebirthCoinLogs_20171011,BASE TABLE
DNStaging,dbo,CashRebirthCoinLogs_20190322,BASE TABLE
DNStaging,dbo,CharacterActionLogs_20200119,BASE TABLE
DNStaging,dbo,RequestBoardLogs_20191229,BASE TABLE
DNStaging,dbo,FieldDeleteLogs_20191210,BASE TABLE
DNStaging,dbo,HeroLevelLogs_20191118,BASE TABLE
DNStaging,dbo,MissionAchieveLogs_20190812,BASE TABLE
DNStaging,dbo,CUCountLogs_20180303,BASE TABLE
DNStaging,dbo,CharacterAwakenForceLevelLogs_20191126,BASE TABLE
DNStaging,dbo,CUCountLogs_20150705,BASE TABLE
DNStaging,dbo,V_WeeklyRank_PVPKillDeath_3,VIEW
DNStaging,dbo,MailLogs_20191026,BASE TABLE
DNStaging,dbo,PointLogs_20191114,BASE TABLE
DNStaging,dbo,PCRoomCharacterLoginLogs_20200116,BASE TABLE
