TABLE_CATALOG,TABLE_SCHEMA,TABLE_NAME,COLUMN_NAME,ORDINAL_POSITION,COLUMN_DEFAULT,IS_NULLABLE,DATA_TYPE,CHARACTER_MAXIMUM_LENGTH,CHARACTER_OCTET_LENGTH,NUMERIC_PRECISION,NUMERIC_PRECISION_RADIX,NUMERIC_SCALE,DATETIME_PRECISION,CHARACTER_SET_CATALOG,CHARACTER_SET_SCHEMA,CHARACTER_SET_NAME,COLLATION_CATALOG,COLLATION_SCHEMA,COLLATION_NAME,DOMAIN_CATALOG,DOMAIN_SCHEMA,DOMAIN_NAME
DNWorld,dbo,VIX_CashRebirthCoinTotals,CharacterID,1,,NO,bigint,,,19.0,10.0,0.0,,,,,,,,,,
DNWorld,dbo,VIX_CashRebirthCoinTotals,RemainCoinCount,2,,YES,int,,,10.0,10.0,0.0,,,,,,,,,,
DNWorld,dbo,VIX_CashRebirthCoinTotals,cnt,3,,YES,bigint,,,19.0,10.0,0.0,,,,,,,,,,
DNWorld,dbo,QuickSlots_255748_BK,CharacterID,1,,NO,bigint,,,19.0,10.0,0.0,,,,,,,,,,
DNWorld,dbo,QuickSlots_255748_BK,QuickSlotIndex,2,,NO,tinyint,,,3.0,10.0,0.0,,,,,,,,,,
DNWorld,dbo,QuickSlots_255748_BK,ObjectTypeCode,3,,NO,tinyint,,,3.0,10.0,0.0,,,,,,,,,,
DNWorld,dbo,QuickSlots_255748_BK,ObjectValue,4,,NO,bigint,,,19.0,10.0,0.0,,,,,,,,,,
DNWorld,dbo,EventRaidSchedules,EventRaidID,1,,NO,int,,,10.0,10.0,0.0,,,,,,,,,,
DNWorld,dbo,EventRaidSchedules,ScheduleID,2,,NO,tinyint,,,3.0,10.0,0.0,,,,,,,,,,
DNWorld,dbo,EventRaidSchedules,StartDate,3,,NO,datetime,,,,,,3.0,,,,,,,,,
DNWorld,dbo,EventRaidSchedules,EndDate,4,,NO,datetime,,,,,,3.0,,,,,,,,,
DNWorld,dbo,PVPLadderScoresByJobPast,CharacterID,1,,NO,bigint,,,19.0,10.0,0.0,,,,,,,,,,
DNWorld,dbo,PVPLadderScoresByJobPast,JobCode,2,,NO,tinyint,,,3.0,10.0,0.0,,,,,,,,,,
DNWorld,dbo,PVPLadderScoresByJobPast,Win,3,,NO,int,,,10.0,10.0,0.0,,,,,,,,,,
DNWorld,dbo,PVPLadderScoresByJobPast,Lose,4,,NO,int,,,10.0,10.0,0.0,,,,,,,,,,
DNWorld,dbo,PVPLadderScoresByJobPast,Draw,5,,NO,int,,,10.0,10.0,0.0,,,,,,,,,,
DNWorld,dbo,PVPLadderScoresByJobPast,PVPLadderCode,6,,NO,tinyint,,,3.0,10.0,0.0,,,,,,,,,,
DNWorld,dbo,VIX_GuildMemberTotals,GuildID,1,,NO,int,,,10.0,10.0,0.0,,,,,,,,,,
DNWorld,dbo,VIX_GuildMemberTotals,GuildMemberCount,2,,YES,bigint,,,19.0,10.0,0.0,,,,,,,,,,
DNWorld,dbo,GuildPointLogs2,LogDate,1,,NO,datetime2,,,,,,0.0,,,,,,,,,
DNWorld,dbo,GuildPointLogs2,CharacterID,2,,NO,bigint,,,19.0,10.0,0.0,,,,,,,,,,
DNWorld,dbo,GuildPointLogs2,GuildPointCode,3,,NO,tinyint,,,3.0,10.0,0.0,,,,,,,,,,
DNWorld,dbo,GuildPointLogs2,GuildID,4,,NO,int,,,10.0,10.0,0.0,,,,,,,,,,
DNWorld,dbo,GuildPointLogs2,PointB4,5,,NO,int,,,10.0,10.0,0.0,,,,,,,,,,
DNWorld,dbo,GuildPointLogs2,Point,6,,NO,int,,,10.0,10.0,0.0,,,,,,,,,,
DNWorld,dbo,GuildPointLogs2,GuildItemID,7,,YES,int,,,10.0,10.0,0.0,,,,,,,,,,
DNWorld,dbo,CompleteEventQuest,CharacterID,1,,NO,bigint,,,19.0,10.0,0.0,,,,,,,,,,
DNWorld,dbo,CompleteEventQuest,EventQuestID,2,,NO,int,,,10.0,10.0,0.0,,,,,,,,,,
DNWorld,dbo,CompleteEventQuest,EventQuestExpireDate,3,,NO,smalldatetime,,,,,,0.0,,,,,,,,,
DNWorld,dbo,CompleteEventQuest,CompleteCount,4,,NO,smallint,,,5.0,10.0,0.0,,,,,,,,,,
DNWorld,dbo,ErrorLogs,errorLogSN,1,,NO,bigint,,,19.0,10.0,0.0,,,,,,,,,,
DNWorld,dbo,ErrorLogs,loginName,2,,NO,nvarchar,128.0,256.0,,,,,,,UNICODE,,,SQL_Latin1_General_CP1_CI_AS,,,
DNWorld,dbo,ErrorLogs,hostName,3,,NO,nvarchar,128.0,256.0,,,,,,,UNICODE,,,SQL_Latin1_General_CP1_CI_AS,,,
DNWorld,dbo,ErrorLogs,errorNumber,4,,NO,int,,,10.0,10.0,0.0,,,,,,,,,,
DNWorld,dbo,ErrorLogs,errorSeverity,5,,YES,int,,,10.0,10.0,0.0,,,,,,,,,,
DNWorld,dbo,ErrorLogs,errorState,6,,YES,int,,,10.0,10.0,0.0,,,,,,,,,,
DNWorld,dbo,ErrorLogs,errorProcedure,7,,YES,nvarchar,128.0,256.0,,,,,,,UNICODE,,,SQL_Latin1_General_CP1_CI_AS,,,
DNWorld,dbo,ErrorLogs,errorLine,8,,YES,int,,,10.0,10.0,0.0,,,,,,,,,,
DNWorld,dbo,ErrorLogs,errorMessage,9,,NO,nvarchar,-1.0,-1.0,,,,,,,UNICODE,,,SQL_Latin1_General_CP1_CI_AS,,,
DNWorld,dbo,ErrorLogs,occurredDate,10,,NO,datetime,,,,,,3.0,,,,,,,,,
DNWorld,dbo,PVPLadderKillDeathByJobPast,CharacterID,1,,NO,bigint,,,19.0,10.0,0.0,,,,,,,,,,
DNWorld,dbo,PVPLadderKillDeathByJobPast,JobCode,2,,NO,tinyint,,,3.0,10.0,0.0,,,,,,,,,,
DNWorld,dbo,PVPLadderKillDeathByJobPast,KOWin,3,,NO,int,,,10.0,10.0,0.0,,,,,,,,,,
DNWorld,dbo,PVPLadderKillDeathByJobPast,KOLose,4,,NO,int,,,10.0,10.0,0.0,,,,,,,,,,
DNWorld,dbo,AssignMissionDetailsForWorld,AccountID,1,,NO,int,,,10.0,10.0,0.0,,,,,,,,,,
DNWorld,dbo,AssignMissionDetailsForWorld,MissionTypeCode,2,,NO,tinyint,,,3.0,10.0,0.0,,,,,,,,,,
DNWorld,dbo,AssignMissionDetailsForWorld,MissionIndex,3,,NO,tinyint,,,3.0,10.0,0.0,,,,,,,,,,
DNWorld,dbo,AssignMissionDetailsForWorld,MissionID,4,,NO,int,,,10.0,10.0,0.0,,,,,,,,,,
DNWorld,dbo,AssignMissionDetailsForWorld,MissionCounter,5,,NO,int,,,10.0,10.0,0.0,,,,,,,,,,
DNWorld,dbo,AssignMissionDetailsForWorld,AchieveFlag,6,,NO,bit,,,,,,,,,,,,,,,
DNWorld,dbo,ExpItems,ExpItemID,1,,NO,int,,,10.0,10.0,0.0,,,,,,,,,,
DNWorld,dbo,ExpItems,CharacterID,2,,NO,bigint,,,19.0,10.0,0.0,,,,,,,,,,
DNWorld,dbo,ExpItems,MaterializedItemID,3,,NO,bigint,,,19.0,10.0,0.0,,,,,,,,,,
DNWorld,dbo,ExpItems,ItemSerial,4,,NO,bigint,,,19.0,10.0,0.0,,,,,,,,,,
DNWorld,dbo,ExpItems,ItemID,5,,NO,int,,,10.0,10.0,0.0,,,,,,,,,,
DNWorld,dbo,ExpItems,AccumulateExp,6,((0)),NO,int,,,10.0,10.0,0.0,,,,,,,,,,
DNWorld,dbo,ExpItems,MaxAccumulateExp,7,((0)),NO,int,,,10.0,10.0,0.0,,,,,,,,,,
DNWorld,dbo,ExpItems,ItemUseFlag,8,((0)),NO,bit,,,,,,,,,,,,,,,
DNWorld,dbo,ExpItems,ItemUseDate,9,,YES,datetime2,,,,,,0.0,,,,,,,,,
DNWorld,dbo,MercenaryMissions,CharacterID,1,,NO,bigint,,,19.0,10.0,0.0,,,,,,,,,,
DNWorld,dbo,MercenaryMissions,MercenaryMissionNo,2,,NO,int,,,10.0,10.0,0.0,,,,,,,,,,
DNWorld,dbo,MercenaryMissions,MercenaryMissionStatusCode,3,,NO,tinyint,,,3.0,10.0,0.0,,,,,,,,,,
DNWorld,dbo,MercenaryMissions,MercenaryMissionRegisterDate,4,,NO,datetime,,,,,,3.0,,,,,,,,,
